"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"UVA ITALIA 500GR","25,98","","","9","73,08","","-63,35"
"UVA VITORIA 500GR","39,60","","","10","67,40","","-54,76"
"TOMATE KG","261,57","1,350","4,86","7,073","26,03","","107,79"
"LARANJA BAHIA KG","155,23","0,700","5,61","2,585","20,71","","40,72"
"PIMENTAO VERMELHO KG","107,63","0,650","9,54","1,235","18,12","","-22,57"
"MACA GALA/FUJI KG","492,40","0,250","1,54","2,618","17,20","","211,99"
"MANGA KG","413,80","1,800","6,30","3,861","13,51","","167,23"
"MAMAO KG","315,75","","","2,365","12,01","","166,22"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","332,44","","","1","12,00","18,25","70,44"
"KIWI KG","79,20","","","0,615","11,96","","28,66"
"MARACUJA KG","158,01","","","1,075","9,68","","81,69"
"GENGIBRE KG","10,80","1,500","24,71","0,565","9,31","","-30,94"
"LARANJA PERA KG","152,73","2,550","7,39","2,635","7,62","","49,05"
"MORGOTE KG","89,58","3,900","18,29","1,565","7,34","","21,50"
"PIMENTAO AMARELO KG","20,39","0,300","1,98","0,775","5,12","","4,30"
"CENOURA KG","137,63","0,100","0,30","1,785","5,03","","67,05"
"SALSINHA VERDE 1UN","149,50","","","5","5,00","","94,50"
"TOMATE CEREJA 250GR","6,99","","","2","5,00","","-0,51"
"MACA PINK KG","35,92","","","0,395","4,90","","8,62"
"GOIABA KG","45,71","","","0,780","4,38","","22,70"
"ABACATE KG","79,22","2,950","8,44","1,520","4,26","","20,96"
"AMEIXA KG","145,35","7,950","39,75","0,850","4,25","","23,79"
"ABOBRINHA KG","40,96","1,700","5,19","1,270","3,87","","2,85"
"ALFACE AMERICANA 1UN","29,94","1","2,50","1","2,50","","9,94"
"PIMENTAO VERDE KG","22,33","0,100","0,40","0,620","2,48","","10,43"
"BATATA KG","519,98","","","0,835","2,10","","189,10"
"BATATA DOCE ROXA KG","92,08","","","0,690","1,98","","30,66"
"PERA KG","108,44","3,150","18,63","0,295","1,74","","27,42"
"COCO SECO KG","5,69","0,600","2,56","0,375","1,60","","-1,90"
"ALFACE LISA 1UN","17,45","","","1","1,50","","4,45"
"CEBOLA CONSERVA KG","18,94","0,200","0,45","0,645","1,44","","6,43"
"MACA VERDE KG","47,84","","","0,110","1,38","","11,11"
"TOMATE SALADETE KG","255,94","5,500","22,00","0,216","0,86","","91,12"
"CEBOLA ROXA KG","21,11","","","0,280","0,83","","9,77"
"BATATA ROSA KG","","","","0,250","0,69","","-0,69"
"ABOBORA SECA KG","","0,650","1,63","0,200","0,50","","-2,13"
"BERINGELA KG","1,43","","","0,045","0,27","","-0,07"
"PESSEGO KG","","","","0,035","0,14","","-0,14"
"MELAO AMARELO KG","44,05","","","0,035","0,12","","20,20"
"BANANA CATURRA KG","1.520,15","","","","","5,81","585,92"
"MELANCIA KG","540,28","29,060","37,70","","","","70,77"
"OVOS VERMELHOS DROSCZAKA 12UN","366,30","","","","","","91,77"
"OVOS VERMELHOS NEGOSEK 12UN","326,48","","","","","","116,48"
"LIMAO KG","290,97","7,900","18,02","","","","148,34"
"MORANGO BDJ 500GR","224,85","","","","","","74,85"
"CEBOLA KG","204,50","0,600","1,15","","","","94,52"
"ALFACE CRESPA 1UN","185,42","4","7,00","","","","48,42"
"BANANA PRATA KG","176,43","","","","","","58,54"
"MILHO VERDE BDJ 1UN","175,78","1","5,50","","","","49,28"
"PEPINO JAPONES KG","166,97","3,900","13,10","","","","56,48"
"ALHO KG","151,14","","","","","","64,48"
"BROCOLIS AMERICANO 1UN","119,80","2","6,00","","","","40,48"
"PEPINO KG","118,58","3,350","8,95","","","","52,60"
"REPOLHO 1UN","111,75","12","30,60","","","","3,37"
"UVA THOMPSON 500GR","104,93","","","","","","41,08"
"ABACAXI GRANDE 1UN","103,92","","","","","","35,89"
"TOMATE CORACAO BOI BDJ 700GR","95,88","","","","","","35,88"
"OVOS VERMELHOS DROSCZAKA 30UN","91,96","","","","","","25,28"
"TOMATE CEREJA BDJ 500GR","89,91","","","","","","35,91"
"UVA ROSADA BJ500GR","73,90","","","","","","21,88"
"ABACAXI PEROLA 1UN","71,92","","","","","","23,04"
"ALHO PRISA FIGURA 150GR","71,92","","","","","","24,80"
"OVOS VERMELHOS NEGOSEK 6UN","71,88","","","","","","25,13"
"ALHO AGRO NASCENTE 500GR","44,97","","","","","","19,38"
"MORANGO BDJ 200GR","44,95","","","","","","13,70"
"UVA PRETA 500GR","41,97","","","","","","12,27"
"CEBOLINHA VERDE 1UN","39,80","8","8,00","","","","11,80"
"COUVE FLOR 1UN","34,95","","","","","","7,45"
"CEBOLA REDE PRISA 1KG","31,96","","","","","","14,76"
"COUVE MANTEIGA 1UN","27,93","","","","","","6,93"
"BETERRABA KG","24,17","9,800","39,78","","","","-34,54"
"COCO VERDE 1UN","19,80","2","15,36","","","","-10,92"
"ACELGA UN 1UN","17,45","1","3,18","","","","-1,63"
"CEBOLA REDE AGRO NASCENTE 500GR","17,45","","","","","","7,70"
"ALFACE ROXA 1UN","11,37","1","2,50","","","","1,37"
"UVA UVARIA SEM SEMENTE 500GR","9,90","","","","","","3,90"
"CEBOLA VERDESUL 500GR","2,79","","","","","","1,39"
"BATATA SALSA BDJ 500GR","","2","7,22","","","","-7,22"
"CHUCHU KG","","","","","","",""
"BETERRABA MACO UN","","1","4,00","","","","-4,00"
,"10.306,69",,"390,13",,"367,91","24,06","3.291,16"
