"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MILHO VERDE BDJ 1UN","135,83","2","11,00","7","38,50","","-7,17"
"BATATA KG","630,45","","","14,151","36,09","","205,44"
"UVA VITORIA 500GR","","","","4","26,04","","-26,04"
"MACA VERDE KG","56,39","0,500","6,28","1,585","19,91","","-11,50"
"SALSINHA VERDE 1UN","137,54","3","3,00","15","15,00","","73,54"
"MELANCIA KG","598,74","6,500","13,00","6,219","12,44","","118,78"
"BANANA PRATA KG","181,14","","","2,640","12,33","","47,81"
"MAMAO KG","276,76","11,750","62,51","1,930","10,27","","73,35"
"MACA PINK KG","29,65","0,300","3,72","0,790","9,80","","-2,35"
"GENGIBRE KG","6,84","","","0,550","9,06","","-7,50"
"COUVE MANTEIGA 1UN","","","","3","9,00","","-9,00"
"UVA THOMPSON 500GR","205,35","","","1","8,83","","76,58"
"LARANJA BAHIA KG","97,35","0,550","4,41","1,090","8,73","","27,79"
"MAMAO HAVAI 1UN","6,99","7","28,63","2","8,18","","-33,91"
"MORGOTE KG","38,91","1,650","8,14","1,330","7,59","","0,73"
"KIWI KG","33,72","","","0,385","7,48","","9,82"
"BETERRABA KG","19,33","1,050","3,66","1,860","6,47","","-4,28"
"PEPINO JAPONES KG","121,74","1,750","7,38","1,299","6,42","","51,58"
"ABACAXI PEROLA 1UN","35,96","2","12,02","1","6,01","","-6,21"
"PEPINO KG","88,93","1,100","2,94","2,070","5,53","","34,79"
"ALFACE CRESPA 1UN","168,35","4","10,00","2","5,00","","28,35"
"ALFACE AMERICANA 1UN","58,38","2","5,00","2","5,00","","18,38"
"ALFACE LISA 1UN","3,49","","","2","5,00","","-4,01"
"VAGEM BDJ 1UN","","","","2","5,00","","-5,00"
"TOMATE KG","249,99","1,350","6,95","0,905","4,87","","90,35"
"ABACATE KG","92,06","5,950","16,66","1,585","4,33","","40,67"
"MANGA KG","314,41","1","3,50","0,935","3,32","","140,39"
"ABOBRINHA KG","30,07","7,600","23,19","1,020","3,11","","-14,28"
"COCO SECO KG","14,55","0,600","2,56","0,625","2,67","","0,57"
"BATATA DOCE ROXA KG","65,49","0,550","1,58","0,800","2,30","","23,63"
"GOIABA KG","81,90","1,050","6,25","0,360","2,25","","24,33"
"CENOURA KG","182,24","0,350","1,05","0,781","2,20","","86,70"
"MARACUJA KG","119,56","","","0,106","0,96","","63,67"
"PIMENTAO AMARELO KG","35,14","2,700","17,85","0,130","0,86","","1,92"
"UVA ROSADA KG","6,17","","","0,112","0,84","","1,77"
"BATATA ROSA KG","10,56","","","0,225","0,62","","1,91"
"MELAO AMARELO KG","33,42","","","0,153","0,52","","13,81"
"BERINGELA KG","","0,250","1,50","0,050","0,30","","-1,80"
"ABOBORA SECA KG","2,45","","","0,085","0,21","","0,70"
"LIMAO KG","237,37","","","0,047","0,13","","133,14"
"ABOBORA CABOTIA KG","10,67","0,700","1,90","0,025","0,07","","1,42"
"BANANA CATURRA KG","1.339,41","0,900","2,70","","","","483,88"
"MACA GALA/FUJI KG","454,32","0,550","3,98","","","","174,66"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","368,23","","","","","","103,23"
"OVOS VERMELHOS DROSCZAKA 12UN","361,02","","","","","","95,73"
"TOMATE SALADETE KG","317,12","2,250","9,00","","","","120,52"
"CEBOLA KG","254,13","1","1,92","","","","111,87"
"BROCOLIS AMERICANO 1UN","253,98","10","30,00","","","","89,14"
"OVOS VERMELHOS NEGOSEK 12UN","227,49","","","","","","80,49"
"AMEIXA KG","191,17","5,850","31,25","","","","72,63"
"MORANGO BDJ 500GR","149,90","1","10,00","","","","39,90"
"LARANJA PERA KG","144,94","2,150","6,20","","","","46,81"
"TOMATE CORACAO BOI BDJ 700GR","111,86","2","10,00","","","","31,86"
"ALHO KG","97,06","","","","","","42,54"
"CEBOLA REDE PRISA 1KG","95,88","","","","","","44,28"
"OVOS VERMELHOS NEGOSEK 6UN","89,85","","","","","","33,60"
"PERA KG","85,75","9,100","49,58","","","","-7,63"
"UVA PRETA 500GR","83,94","","","","","","24,54"
"COUVE FLOR 1UN","83,88","4","21,92","","","","-3,78"
"REPOLHO 1UN","81,78","1","2,44","","","","25,66"
"PESSEGO KG","75,84","16,150","64,60","","","","-32,80"
"ABACAXI GRANDE 1UN","64,95","","","","","","20,65"
"PIMENTAO VERMELHO KG","54,48","0,600","7,33","","","","18,86"
"ALHO AGRO NASCENTE 500GR","44,97","","","","","","19,38"
"MORANGO BDJ 200GR","44,95","1","6,25","","","","7,45"
"UVA UVARIA SEM SEMENTE 500GR","36,63","","","","","","12,63"
"ALHO SUPER NATURAL 150GR","34,95","","","","","","11,50"
"PIMENTAO VERDE KG","31,69","0,300","1,20","","","","17,69"
"CEBOLA CONSERVA KG","29,19","","","","","","12,82"
"UVA ITALIA 500GR","25,98","","","","","","9,72"
"TAMARA TUNISIA 200GR","23,97","","","","","","7,14"
"UVA ROSADA BJ500GR","17,98","1","4,73","","","","3,79"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,34"
"ALFACE ROXA 1UN","15,16","1","2,50","","","","2,66"
"TOMATE CEREJA 250GR","13,98","","","","","","8,98"
"CEBOLA ROXA KG","13,04","","","","","","6,88"
"BATATA SALSA BDJ 500GR","12,98","2","7,22","","","","-3,66"
