"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA ARGENTINA KG","","0,400","5,94","3,265","48,45","","-54,39"
"TOMATE KG","279,90","0,550","3,39","4,783","31,62","","19,61"
"TANGERINA KG","","5,450","32,75","3,250","19,53","","-52,28"
"MARACUJA KG","39,10","","","1,710","17,46","","1,57"
"ALHO KG","173,88","","","0,847","12,71","","63,72"
"PIMENTAO AMARELO KG","43,68","0,400","4,08","1,136","11,60","","5,59"
"MELANCIA KG","261,85","23,880","19,10","12,919","10,34","","88,54"
"GOIABA KG","17,97","0,900","2,89","2,935","10,10","","-3,69"
"BATATA DOCE ROXA KG","102,19","0,200","0,90","2,140","9,63","","24,83"
"LIMAO KG","222,43","1,500","3,43","4,108","8,96","","113,67"
"MACA VERDE KG","102,30","","","0,590","7,88","","14,06"
"MANGA KG","268,23","1,050","5,25","1,387","6,94","","85,59"
"TOMATE CEREJA BDJ 500GR","19,98","","","1","6,00","","1,98"
"UVA BRANCA KG","78,55","0,850","4,25","0,904","4,52","","26,09"
"GENGIBRE KG","35,15","","","0,245","4,04","","8,47"
"CENOURA KG","204,78","","","0,924","3,88","","53,98"
"PEPINO KG","93,30","0,900","3,92","0,845","3,68","","15,22"
"ABOBRINHA KG","109,30","","","0,305","2,12","","19,04"
"MAMAO KG","184,47","13,100","70,87","0,240","1,20","","25,08"
"COCO SECO KG","14,40","0,850","2,87","0,335","1,13","","3,03"
"PERA KG","49,33","0,200","1,64","0,135","1,11","","7,75"
"ABACATE KG","81,59","0,700","1,67","0,325","0,78","","36,51"
"BANANA PRATA KG","141,80","","","0,155","0,72","","46,32"
"CEBOLA CONSERVA KG","9,68","","","0,320","0,66","","4,05"
"LARANJA BAHIA KG","30,21","0,900","6,39","0,090","0,64","","5,29"
"ABOBORA SECA KG","","","","0,065","0,16","","-0,16"
"BANANA CATURRA KG","1.128,51","","","","","","371,19"
"TOMATE SALADETE KG","678,70","1,310","9,23","","","","147,32"
"OVOS VERMELHOS DROSCZAKA 12UN","554,40","","","","","","93,45"
"BATATA KG","521,76","","","","","","152,16"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","506,49","","","","","","92,49"
"MACA GALA/FUJI KG","341,10","0,150","0,94","","","","156,15"
"OVOS VERMELHOS DROSCZAKA 30UN","321,86","","","","","","88,48"
"BROCOLIS AMERICANO 1UN","254,57","","","","","","89,83"
"CEBOLA KG","234,55","1,450","3,83","","","","54,24"
"ALFACE CRESPA 1UN","209,33","5","12,50","","","","46,83"
"SALSINHA VERDE 1UN","170,43","2","2,00","","","","111,43"
"OVOS VERMELHOS NEGOSEK 12UN","161,86","","","","","","43,36"
"MORANGO BDJ 200GR","141,14","","","","","","41,14"
"LARANJA PERA KG","120,18","1,800","5,94","","","","34,17"
"PEPINO JAPONES KG","108,38","0,200","1,02","","","","29,79"
"OVOS VERMELHOS NEGOSEK 6UN","99,70","","","","","","25,95"
"MILHO VERDE BDJ 1UN","93,56","1","5,50","","","","22,06"
"CHUCHU KG","89,29","3","7,44","","","","39,23"
"COUVE FLOR 1UN","83,88","3","16,82","","","","-0,16"
"BROCOLIS/COUVE FLOR BJ1UN","76,89","2","10,02","","","","11,82"
"PIMENTAO VERMELHO KG","72,03","3,350","30,18","","","","10,70"
"CEBOLA REDE PRISA 1KG","71,91","","","","","","33,21"
"ALFACE AMERICANA 1UN","69,86","1","2,50","","","","31,24"
"REPOLHO 1UN","65,89","2","8,72","","","","6,76"
"ALHO PRISA FIGURA 150GR","62,93","","","","","","21,70"
"UVA THOMPSON 500GR","59,96","","","","","","25,72"
"MORGOTE KG","56,48","","","","","","29,72"
"MACA PINK KG","49,75","","","","","","18,72"
"ABACAXI GRANDE 1UN","48,18","3","18,53","","","","4,61"
"AMEIXA BDJ 1UN","44,94","1","4,50","","","","13,44"
"PIMENTAO VERDE KG","39,87","0,550","2,09","","","","18,04"
"CEBOLINHA VERDE 1UN","35,82","14","14,00","","","","3,82"
"UVA ROSADA BJ500GR","33,46","","","","","","9,42"
"MELAO AMARELO KG","32,49","1,850","5,55","","","","8,06"
"TOMATE CEREJA BDJ 300G 1UN","32,39","","","","","","2,71"
"KIWI BDJ 1UN","29,98","","","","","","14,84"
"ALHO AGRO NASCENTE 500GR","29,98","","","","","","12,92"
"ABACAXI PEROLA 1UN","26,97","","","","","","6,55"
"UVA ITALIA 500GR","25,98","","","","","","11,46"
"RUCULA 1UN","23,94","","","","","","5,94"
"UVA PRETA KG","22,36","0,350","1,75","","","","8,17"
"CEBOLA ROXA KG","20,25","0,600","1,91","","","","7,62"
"ALFACE ROXA 1UN","18,95","1","2,50","","","","3,95"
"UVA PRETA 500GR","13,99","","","","","","4,09"
"AMEIXA KG","7,43","","","","","","2,78"
"ESPINAFRE 1UN","","","","","","",""
"UVA VITORIA 500GR","","","","","","",""
"ALFACE LISA 1UN","","2","5,00","","","","-5,00"
"BETERRABA KG","","6,700","27,54","","","","-27,54"
,"9.456,44",,"369,35",,"225,86","0,00","2.494,05"
