"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","1.099,86","0,300","1,22","","","","349,74"
"OVOS VERMELHOS DROSCZAKA 30UN","311,82","","","","","","19,32"
"MACA GALA/FUJI KG","308,27","3,380","26,97","","","","74,62"
"PESSEGO KG","307,73","14","52,90","","","","92,96"
"BATATA KG","304,71","0,450","1,15","","","","78,01"
"OVOS VERMELHOS DROSCZAKA 12UN","303,62","","","","","","18,62"
"MELANCIA KG","262,41","10,050","21,71","","","","34,57"
"TOMATE SALADETE KG","234,75","35,600","284,80","","","","-319,17"
"MAMAO KG","216,08","4,100","34,44","","","","41,80"
"TOMATE KG","212,17","5,750","20,76","","","","87,59"
"AMEIXA KG","212,04","0,780","4,43","","","","145,18"
"CEBOLA KG","198,68","2","4,12","","","","76,28"
"MANGA KG","181,99","19,175","72,21","","","","-11,44"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","176,43","","","","","","3,93"
"ALHO KG","162,76","","","","","","63,00"
"LIMAO KG","157,70","2,500","8,70","","","","67,98"
"LARANJA PERA KG","157,55","3,300","9,31","","","","59,21"
"OVOS VERMELHOS NEGOSEK 12UN","153,86","","","","","","48,86"
"UVA ROSADA BJ500GR","144,54","2","11,62","","","","34,18"
"LARANJA BAHIA KG","139,63","3,050","23,92","","","","41,51"
"PEPINO JAPONES KG","139,10","6,650","40,62","","","","-5,36"
"BANANA PRATA KG","134,20","0,100","0,47","","","","44,05"
"MORANGO BDJ 200GR","107,99","9","56,25","","","19,80","-17,01"
"UVA ITALIA 500GR","103,92","3","26,47","","","","7,77"
"UVA ROSADA KG","94,85","1,950","20,83","","","","24,57"
"ALFACE CRESPA 1UN","92,61","7","16,50","","","","2,61"
"MAMAO HAVAI 1UN","90,87","3","12,39","","","","24,79"
"CENOURA KG","90,30","0,400","1,11","","","","24,37"
"MACA PINK KG","88,16","1,150","16,49","","","","1,40"
"UVA VITORIA 500GR","79,20","1","6,38","","","","21,78"
"BROCOLIS AMERICANO 1UN","79,14","10","36,50","","","","-15,76"
"ABACAXI PEROLA 1UN","71,92","","","","","","31,92"
"BATATA DOCE ROXA KG","71,03","1,900","5,95","","","","27,95"
"PERA KG","59,56","2,700","35,05","","","","-20,98"
"UVA THOMPSON 500GR","56,68","1","7,54","","","","11,44"
"MELAO AMARELO KG","55,73","","","","","","25,22"
"ABACAXI GRANDE 1UN","54,47","4","24,00","","","","-11,53"
"MARACUJA KG","54,23","0,950","14,58","","","","-2,18"
"REPOLHO 1UN","53,46","8","24,40","","","","-13,64"
"PIMENTAO VERMELHO KG","51,24","1,300","13,26","","","","11,71"
"ALHO PRISA FIGURA 150GR","44,95","","","","","","15,50"
"OVOS VERMELHOS NEGOSEK 6UN","41,91","","","","","","6,81"
"CEBOLA REDE PRISA 1KG","39,95","","","","","","18,45"
"PIMENTAO VERDE KG","37,49","0,100","0,50","","","","18,00"
"SALSINHA VERDE 1UN","35,88","4","7,76","","","","4,84"
"PIMENTAO AMARELO KG","34,03","","","","","","16,58"
"COUVE FLOR 1UN","32,85","19","82,46","","","","-71,31"
"VAGEM KG","31,08","","","","","","4,17"
"BATATA SALSA KG","27,56","4,900","19,60","","","","-11,09"
"MACA VERDE KG","26,93","0,150","1,84","","","","5,66"
"UVA BRASIL BDJ 500GR","24,89","8","70,80","","","","-63,61"
"PEPINO KG","22,33","1,450","4,47","","","","6,37"
"ABOBRINHA KG","20,53","2,700","5,40","","","","6,90"
"CEREJA NATUA BDJ 250GR","19,90","8","71,36","","","","-60,38"
"MILHO VERDE BDJ 1UN","15,98","2","7,92","","","","0,49"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,34"
"ALFACE AMERICANA 1UN","15,96","5","12,50","","","","-6,54"
"MORANGO BDJ 500GR","14,99","","","","","","4,99"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","5,40"
"CEBOLA CONSERVA KG","13,87","0,050","0,11","","","","5,96"
"MELAO CAIPIRA KG","13,69","8","60,01","","","","-54,89"
"ESCAROLA 1UN","13,47","2","6,00","","","","-1,53"
"CEBOLA ROXA KG","12,62","0,500","3,55","","","","0,03"
"MORGOTE KG","9,65","3,400","19,11","","","","-14,94"
"ABACAXI HAVAI 1UN","8,39","","","","","","2,77"
"TOMATE CEREJA BDJ 300G 1UN","7,98","","","","","","2,26"
"COUVE MANTEIGA 1UN","7,98","4","12,00","","","","-10,02"
"COCO SECO KG","7,38","","","","","","2,49"
"MANGA ESPADA KG","6,99","8,950","47,53","","","","-45,85"
"ALHO SUPER NATURAL 150GR","6,99","","","","","","2,30"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","3,08"
"ACELGA UN 1UN","4,99","2","8,00","","","","-7,01"
"GENGIBRE KG","4,83","0,150","1,40","","","","0,05"
"BETERRABA KG","4,39","7,200","22,46","","","","-20,65"
"RUCULA 1UN","3,99","3","9,00","","","","-8,01"
"ALFACE ROXA 1UN","3,79","2","5,00","","","","-3,71"
"NECTARINA KG","3,60","6,100","27,46","","","","-24,94"
"ALFACE LISA 1UN","3,49","4","10,00","","","","-9,01"
"CHUCHU KG","1,40","4,350","7,35","","","","-6,54"
"CARAMBOLA KG","","1,295","15,30","","","","-15,30"
"ABOBORA CABOTIA KG","","1,450","3,94","","","","-3,94"
".MACA NECTAR PC850GR","","1","6,66","","","","-6,66"
"BATATA ROSA KG","","5,350","13,38","","","","-13,38"
"COCO VERDE 1UN","","3","15,00","","","","-15,00"
"ROMA KG","","0,750","18,34","","","","-18,34"
"KIWI KG","","1,100","30,83","","","","-30,83"
"TOMATE CEREJA 250GR","","","","","","",""
"GOIABA KG","","7,450","59,08","","","","-59,08"
,"7.539,91",,"1.623,17",,"0,00","19,80","735,75"
