"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","976,27","","","42","525,00","","-461,23"
"CEBOLA KG","468,37","1,200","5,38","111,087","497,67","","-334,81"
"TOMATE SALADETE KG","577,79","0,900","9,71","45,374","488,68","","-338,67"
"OVOS VERMELHOS DROSCZAKA 30UN","229,90","","","22","366,74","","-303,54"
"BATATA KG","1.572,77","5,700","37,22","46,460","298,74","","205,13"
"MACA ARGENTINA KG","31,58","","","18,495","200,30","","-187,72"
"ALHO KG","180,40","","","15,830","198,67","","-106,55"
"MACA VERDE KG","13,25","","","15,130","188,67","","-185,15"
"ALHO PRISA FIGURA 150GR","80,91","","","37","186,85","","-159,67"
"OVOS VERMELHOS NEGOSEK 12UN","167,86","","","20","180,00","","-138,14"
"PINHAO KG","174,57","","","22,010","176,08","","-110,65"
"ABOBRINHA KG","86,69","2,950","20,73","22,425","157,65","","-162,01"
"MORANGO BDJ 500GR","","","","20","140,00","","-140,00"
"MANGA KG","123,41","4,150","21,50","26,789","138,77","","-116,96"
"PIMENTAO VERMELHO KG","198,88","","","8,614","134,98","","-116,68"
"COCO SECO KG","22,52","5,150","23,43","28,725","130,70","","-145,78"
"OVOS VERMELHOS DROSCZAKA 12UN","505,54","","","17","127,50","","33,04"
"KIWI KG","79,18","2,650","23,83","13,705","123,21","","-122,66"
"MARACUJA KG","61,52","3,147","21,56","17,585","120,46","","-123,08"
"CENOURA KG","353,98","0,100","0,55","21,228","116,75","","39,92"
"LARANJA BAHIA KG","22,05","4","15,08","30,255","114,06","","-124,42"
"BANANA CATURRA KG","1.218,69","38,650","73,51","55,279","105,03","","331,84"
"GENGIBRE KG","28,92","1,550","16,79","9,615","104,13","","-106,53"
"ABACAXI GRANDE 1UN","","","","18","100,62","","-100,62"
"AMENDOIM COM CASCA KG","52,45","","","8,350","100,28","","-91,70"
"MELANCIA KG","98,37","","","32,261","97,43","","-77,73"
"PIMENTAO VERDE KG","48,91","0,250","1,87","11,270","92,98","","-73,18"
"MORANGO BDJ 200GR","118,80","","","12","84,00","","-49,20"
"LIMAO KG","123,31","1,400","4,14","28,276","83,41","","-36,40"
"BANANA PRATA KG","60,51","","","19,530","83,00","","-59,28"
"TOMATE KG","764,35","8,469","77,94","8,875","81,56","","45,25"
"MELAO AMARELO KG","46,09","","","17,005","80,94","","-66,24"
