"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","1.647,92","25,900","152,53","","","","250,36"
"BANANA CATURRA KG","1.191,02","","","","","","645,73"
"TOMATE SALADETE KG","850,71","3,150","24,19","","","11,09","283,18"
"TOMATE KG","641,84","4,250","29,58","","","","160,90"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","588,79","","","","","","76,29"
"CENOURA KG","538,69","","","","","2,82","216,72"
"CEBOLA KG","445,28","3,450","15,40","","","1,71","155,38"
"OVOS VERMELHOS DROSCZAKA 12UN","439,60","","","","","10,99","139,60"
"OVOS VERMELHOS DROSCZAKA 30UN","436,81","","","","","","120,08"
"BATATA SALSA KG","371,08","0,950","4,28","","","7,25","130,30"
"OVOS VERMELHOS NEGOSEK 12UN","323,73","","","","","","80,73"
"MACA GALA/FUJI KG","322,49","0,050","0,25","","","","158,63"
"CAQUI KG","294,35","1,550","9,30","","","","64,01"
"PINHAO KG","287,90","","","","","","82,83"
"PONKAN KG","272,89","5,951","12,65","","","","181,14"
"BATATA REDE 3KG","272,79","","","","","","51,87"
"REPOLHO 1UN","258,63","","","","","","79,80"
"MORANGO BDJ 200GR","247,50","","","","","","72,50"
"BROCOLIS AMERICANO 1UN","237,66","","","","","","55,09"
"MANGA KG","229,64","13,250","71,00","","","","3,74"
"ALHO KG","194,44","","","","","1,79","84,77"
"ALFACE CRESPA 1UN","182,34","","","","","","44,34"
"ABACAXI GRANDE 1UN","142,89","","","","","","70,12"
"MAMAO KG","140,67","3,100","14,39","","","","44,60"
"ABACAXI PEROLA 1UN","135,83","","","","","","56,95"
"PIMENTAO AMARELO KG","124,96","0,250","3,36","","","","33,58"
"SALSINHA VERDE 1UN","119,40","","","","","1,99","59,40"
"LIMAO KG","115,37","0,300","0,77","","","","55,72"
"OVOS VERMELHOS NEGOSEK 6UN","110,33","","","","","","29,58"
"ALHO PRISA FIGURA 150GR","107,88","","","","","","36,24"
"UVA THOMPSON 500GR","104,93","","","","","","46,10"
"ABOBRINHA KG","100,89","5,900","22,51","","","","7,49"
"PIMENTAO VERMELHO KG","94,50","0,100","0,96","","","","24,08"
"LARANJA PERA KG","93,37","12,300","34,81","","","","5,62"
"UVA ITALIA 500GR","90,93","1","8,36","","","","24,05"
"MARACUJA KG","82,57","0,400","2,74","","","","20,41"
"ABACATE KG","80,53","8,300","20,76","","","","19,62"
"MELANCIA KG","77,15","51,350","155,08","","","","-141,74"
"PERA KG","73,87","","","","","","41,28"
"BATATA DOCE ROXA KG","72,36","0,750","1,88","","","","26,26"
"CEBOLA REDE PRISA 1KG","71,91","","","","","","18,81"
"BANANA PRATA KG","71,41","0,200","0,93","","","","25,50"
"PEPINO JAPONES KG","70,48","4,950","26,58","","","","5,67"
"BROCOLIS/COUVE FLOR BJ1UN","69,90","","","","","","10,94"
"MELAO AMARELO KG","67,11","1,850","8,81","","","","12,60"
"PIMENTAO VERDE KG","63,97","0,100","0,69","","","","30,88"
"PEPINO KG","61,03","2,250","11,96","","","","8,43"
"UVA ROSADA BJ500GR","59,40","","","","","","9,47"
"TOMATE CEREJA BDJ 300G 1UN","53,91","","","","","","15,30"
"MACA ARGENTINA KG","51,10","","","","","","20,35"
"FLOR ANTHURIUM P15 1UN","43,99","","","","","","13,95"
"ALFACE AMERICANA 1UN","43,41","1","3,00","","","","13,41"
"KIWI KG","39,81","1,100","9,89","","","","0,75"
"FLOR CYCLAMEN FLOR P14 1UN","34,90","","","","","","12,87"
"FLOR GLOXINIA P14 1UN","29,90","","","","","","8,34"
"FLOR KALANCHOE DOBRADO P15 1UN","28,99","","","","","","10,23"
"LARANJA BAHIA KG","28,89","5,600","19,32","","","","-9,66"
"CHUCHU KG","27,02","8","16,24","","","","-0,23"
"BETERRABA KG","24,85","4,350","19,58","","","","-10,73"
"MILHO VERDE BDJ 1UN","23,96","1","3,60","","","","5,96"
"CEBOLA ROXA KG","23,91","","","","","","7,05"
"FLOR CACTUS MINI P06 1UN","19,96","","","","","","7,08"
"CEBOLA CONSERVA KG","19,43","0,400","1,79","","","","5,19"
"MACA VERDE KG","18,52","","","","","","4,92"
"COCO SECO KG","18,27","","","","","","6,77"
"GENGIBRE KG","18,00","1,750","18,95","","","","-9,98"
"CEBOLINHA VERDE 1UN","17,91","6","10,62","","","","-8,60"
"CEBOLA REDE AGRO NASCENTE 500GR","17,45","","","","","","5,95"
"COUVE FLOR 1UN","15,98","","","","","","3,36"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,34"
"ALFACE ROXA 1UN","15,96","2","6,00","","","","-2,04"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","6,28"
"AMENDOIM COM CASCA KG","14,53","","","","","","2,88"
"UVA VITORIA 500GR","12,99","","","","","","4,28"
"UVA NUBIA BDJ 500GR","12,99","","","","","","4,86"
"ALFACE LISA 1UN","11,97","7","21,00","","","","-18,03"
"ABOBORA MORANGA KG","11,48","","","","","","3,39"
"FLOR VIOLETA P11 1UN","9,99","","","","","","3,22"
"JILO BDJ 200GR 1UN","9,90","1","7,23","","","","-4,56"
"BATATA DOCE BRANCA KG","7,43","0,250","1,80","","","","0,22"
"RABANETE UN 1UN","6,99","","","","","","1,99"
"BERGAMOTA DECOPOM KG","5,98","","","","","","1,22"
"ABOBORA CABOTIA KG","3,34","","","","","","1,38"
"MORANGO BDJ 500GR","","","","","","",""
"UVA BRANCA KG","","","","","","",""
"GOIABA KG","","","","","","",""
"KIWI BDJ 1UN","","3","27,03","","","","-27,03"
"ABOBORA SECA KG","","4,500","10,30","","","","-10,30"
"MIX LEGUMES 1UN","","2","12,04","","","","-12,04"
"PIMENTA DEDO MOCA BDJ 150GR 1UN","","1","7,23","","","","-7,23"
"UVA PRETA 500GR","","4","39,60","","","","-39,60"
,"13.434,42",,"868,99",,"0,00","37,64","3.736,16"
