"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA PINK KG","140,35","0,150","2,15","6,140","88,05","","-61,70"
"MARACUJA KG","112,43","0,600","8,71","5,300","81,36","","-61,37"
"TOMATE SALADETE KG","238,38","1,550","8,66","6,485","51,88","","0,65"
"BATATA KG","508,55","2,500","6,13","20,169","49,41","","131,80"
"PERA KG","62,35","2,900","37,64","3,625","47,05","","-69,97"
"ABACAXI GRANDE 1UN","113,42","1","6,00","6","36,00","","-6,58"
"UVA ITALIA KG","","","","2,717","32,60","","-32,60"
"UVA ROSADA KG","194,15","0,250","2,00","3,630","30,86","","43,77"
"MORGOTE KG","","1,500","8,43","4,620","25,96","","-34,39"
"CENOURA KG","144,95","0,500","1,54","7,376","24,93","","23,53"
"GOIABA KG","","","","3,110","24,66","","-24,66"
"BETERRABA KG","35,04","2,150","6,30","7,720","22,62","","-14,44"
"ROMA KG","","1","24,45","0,865","21,15","","-45,60"
"MANGA ESPADA KG","24,89","","","3,855","20,47","","-14,48"
"KIWI KG","","","","0,706","19,78","","-19,78"
"PIMENTAO AMARELO KG","25,27","0,300","2,49","1,903","19,41","","-12,06"
"TOMATE KG","318,18","6,600","30,02","4,625","19,29","","108,23"
"PIMENTAO VERMELHO KG","127,74","0,200","1,71","1,795","18,33","","34,50"
"NECTARINA KG","","","","3,865","17,39","","-17,39"
"GENGIBRE KG","8,96","","","1,760","16,47","","-13,76"
"AMEIXA KG","359,86","1,200","7,18","2,875","15,81","","212,19"
"MELANCIA KG","372,02","8,450","18,26","6,838","14,77","","95,84"
"MAMAO KG","386,64","2,300","19,02","1,740","14,63","","104,27"
"PEPINO KG","17,94","2,300","7,08","3,905","12,03","","-9,90"
"CEBOLA CONSERVA KG","23,29","4,350","9,75","5,250","11,76","","-11,29"
"ABACAXI HAVAI 1UN","","","","2","11,24","","-11,24"
"LARANJA PERA KG","160,42","4,600","14,63","3,610","10,18","","42,63"
"PEPINO JAPONES KG","115,57","2,450","18,50","2,330","9,86","","17,55"
"MELAO AMARELO KG","18,57","","","2,770","9,81","","-2,22"
"TOMATE CEREJA BDJ 300G 1UN","11,97","","","3","8,58","","-5,19"
"BATATA DOCE ROXA KG","61,55","","","2,710","8,48","","16,92"
"BANANA PRATA KG","184,31","","","1,805","8,43","","52,72"
"VAGEM KG","15,59","2,300","16,80","1,085","7,92","","-20,64"
"PIMENTAO VERDE KG","40,64","0,800","3,20","1,736","6,94","","14,08"
"MACA VERDE KG","33,30","0,350","4,29","0,480","5,88","","-0,90"
"PESSEGO KG","256,64","14,350","43,05","1,400","4,20","","112,89"
"MAMAO HAVAI 1UN","111,84","1","4,43","1","4,13","","32,70"
"CHUCHU KG","","","","2,126","3,59","","-3,59"
"ABOBORA SECA KG","4,39","","","1,385","3,46","","-1,82"
"MANGA KG","227,15","1,400","5,38","0,816","3,13","","67,68"
"BATATA SALSA KG","59,77","1,600","6,40","0,743","2,97","","9,04"
"CEBOLA ROXA KG","23,45","","","0,335","2,38","","4,27"
