"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"UVA VITORIA 500GR","","","","8","63,20","","-63,20"
"MACA ARGENTINA KG","132,43","0,850","10,32","4,475","54,33","","-13,02"
"TOMATE KG","366,23","1,850","9,13","7,965","49,06","","71,18"
"MELANCIA KG","175,10","7,200","8,64","36,760","44,11","","-26,32"
"BATATA DOCE BRANCA KG","40,82","0,150","0,99","2,860","18,90","","-13,31"
"CEBOLA KG","265,16","","","5,838","15,06","","65,21"
"CENOURA KG","223,41","0,899","6,59","1,875","10,13","","37,30"
"LARANJA BAHIA KG","87,46","7,450","68,24","1,095","10,03","","-40,92"
"PERA KG","158,84","6,500","37,70","1,720","9,98","","-7,70"
"MELAO AMARELO KG","59,76","","","1,910","9,02","","10,38"
"CEBOLINHA VERDE 1UN","17,91","1","1,76","5","8,75","","-8,39"
"UVA ITALIA 500GR","64,95","","","1","8,71","","12,69"
"HORTELA BDJ 30GR 1UN","","","","1","8,71","","-8,71"
"MARACUJA KG","62,59","0,606","3,94","1,250","8,13","","8,16"
"BATATA DOCE ROXA KG","96,38","","","1,800","7,97","","29,53"
"GENGIBRE KG","33,23","1,050","10,33","0,590","7,68","","-0,54"
"UVA NUBIA BDJ 500GR","83,92","","","1","7,55","","15,97"
"BETERRABA KG","44,07","","","1,505","6,79","","8,00"
"MAMAO KG","131,92","5,500","28,66","0,960","5,76","","32,17"
"PIMENTAO VERDE KG","56,32","1,550","14,15","0,605","5,52","","2,05"
"REPOLHO 1UN","153,78","","","1","4,99","","38,06"
"AMEIXA BDJ 1UN","37,45","1","4,50","1","4,50","","5,95"
"CEBOLA CONSERVA KG","5,21","","","1,395","3,84","","-2,22"
"PONKAN KG","52,92","3","13,38","0,820","3,66","","6,33"
"ABOBRINHA KG","95,02","1,800","6,01","1,075","3,20","","22,34"
"ALFACE LISA 1UN","27,93","1","3,00","1","3,00","","0,93"
"GOIABA KG","46,35","0,629","2,46","0,635","2,48","","15,25"
"SALSINHA VERDE 1UN","83,58","2","2,00","2","2,00","","37,58"
"CAQUI KG","173,37","7","49,99","0,250","1,79","","-18,79"
"CHUCHU KG","19,60","1,950","2,69","1,200","1,66","","6,39"
"UVA BRANCA KG","","","","0,300","1,50","","-1,50"
"COCO SECO KG","14,26","","","0,430","1,45","","5,53"
"ABOBORA CABOTIA KG","20,76","","","0,335","0,94","","5,19"
"LARANJA PERA KG","152,45","1,350","4,18","0,210","0,68","","42,48"
"CEBOLA ROXA KG","13,06","0,150","0,75","0,130","0,65","","2,27"
"LIMAO KG","217,71","0,350","0,98","0,168","0,47","","114,14"
"ABOBORA SECA KG","","","","0,150","0,38","","-0,38"
"ALHO KG","126,61","","","0,031","0,34","","69,78"
"ABACATE KG","72,99","3,150","8,13","0,085","0,22","","12,87"
"BANANA CATURRA KG","1.317,35","","","","","","312,75"
"BATATA KG","916,25","","","","","","317,08"
"OVOS VERMELHOS DROSCZAKA 12UN","735,29","","","","","","210,68"
"TOMATE SALADETE KG","627,25","0,400","3,29","","","","115,51"
"OVOS VERMELHOS DROSCZAKA 30UN","476,04","","","","","","108,54"
"MACA GALA/FUJI KG","326,54","0,370","2,06","","","","141,62"
"OVOS VERMELHOS NEGOSEK 12UN","251,79","","","","","","62,79"
"BROCOLIS AMERICANO 1UN","230,67","","","","","","83,41"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","197,89","","","","","","38,39"
"ALFACE CRESPA 1UN","195,51","","","","","","48,51"
"UVA THOMPSON 500GR","190,48","","","","","","69,71"
"MANGA KG","190,01","2,950","17,51","","","","36,11"
"MILHO VERDE BDJ 1UN","174,75","4","22,00","","","","15,25"
"MORANGO BDJ 200GR","168,30","3","18,75","","","","43,30"
"PIMENTAO VERMELHO KG","145,37","0,780","11,24","","","","29,18"
"BATATA REDE 3KG","143,82","","","","","","57,54"
"PEPINO JAPONES KG","133,84","","","","","","48,27"
"BANANA PRATA KG","129,47","","","","","","42,95"
"ALHO PRISA FIGURA 150GR","98,89","","","","","","34,10"
"BROCOLIS/COUVE FLOR BJ1UN","97,86","","","","","","27,74"
"CEBOLA REDE PRISA 1KG","95,88","","","","","","44,28"
"OVOS VERMELHOS NEGOSEK 6UN","90,86","1","4,75","","","","19,61"
"ABACAXI PEROLA 1UN","89,87","1","5,81","","","","8,53"
"MACA VERDE KG","76,88","0,150","2,09","","","","11,84"
"UVA NUBIA KG","69,74","0,100","1,33","","","","13,73"
"ALFACE AMERICANA 1UN","64,87","1","3,00","","","","22,87"
"PEPINO KG","63,76","2,850","7,33","","","","29,08"
"MINI MELANCIA KG","60,60","","","","","","16,46"
"PIMENTAO AMARELO KG","54,55","","","","","","16,07"
"ABACAXI GRANDE 1UN","51,96","3","19,53","","","","6,39"
"KIWI BDJ 1UN","51,96","","","","","","15,92"
"COUVE FLOR 1UN","46,94","","","","","","13,99"
"TOMATE CEREJA BDJ 300G 1UN","35,94","","","","","","15,24"
"ALFACE ROXA 1UN","31,92","2","6,00","","","","1,92"
"COUVE PICADA BDJ 1UN","29,94","","","","","","14,44"
"UVA ROSADA BJ500GR","29,66","","","","","","4,10"
"VAGEM BDJ 1UN","19,80","","","","","","13,80"
"BATATA SALSA BDJ 500GR","19,47","","","","","","5,37"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,34"
"RUCULA 1UN","15,96","","","","","","3,96"
"CAQUI FUYU KG","14,98","","","","","","5,14"
"UVA PRETA 500GR","13,99","","","","","","4,09"
"MACA PINK KG","13,73","","","","","","5,17"
"BATATA SALSA KG","8,91","","","","","","2,75"
"UVA ROSADA KG","7,01","","","","","","2,96"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","2,38"
,"11.243,06",,"423,21",,"397,14","0,00","2.621,59"
