"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"UVA NUBIA KG","9,00","","","2,665","35,50","","-33,56"
"CAQUI KG","18,01","6,400","45,70","4,670","33,34","","-74,02"
"BATATA KG","810,82","","","8,323","29,55","","174,31"
"BANANA PRATA KG","158,16","","","6,235","29,12","","23,35"
"LARANJA BAHIA KG","149,09","3,400","28,18","2,945","24,41","","19,18"
"TOMATE KG","422,15","6","24,00","5,380","21,52","","141,05"
"MANGA KG","190,66","5,150","31,39","3,105","18,63","","-5,53"
"GENGIBRE KG","47,75","0,550","5,41","1,740","17,12","","3,04"
"CENOURA KG","356,35","","","1,631","11,96","","83,65"
"GOIABA KG","19,54","1,650","6,44","2,710","10,57","","-8,36"
"BATATA DOCE BRANCA KG","20,15","","","1,305","9,41","","-3,93"
"PIMENTAO VERDE KG","49,15","2,300","20,63","1,026","9,20","","-10,13"
"BETERRABA KG","67,39","3,050","14,27","1,955","9,15","","-1,14"
"ALECRIM BDJ 50GR","","","","1","8,71","","-8,71"
"MARACUJA KG","58,85","","","1,270","8,26","","8,46"
"MAMAO KG","185,60","3,550","19,56","1,295","7,76","","36,82"
"CEBOLA CONSERVA KG","21,84","1,150","3,65","2,720","7,48","","-8,50"
"BATATA SALSA BDJ 500GR","","1","3,60","2","7,20","","-10,80"
"PIMENTAO AMARELO KG","46,17","0,600","10,29","0,465","6,53","","-10,46"
"UVA ROSADA BJ500GR","17,98","","","1","6,39","","-1,19"
"MELANCIA KG","252,54","32,200","98,85","2,030","6,23","","-88,12"
"VAGEM BDJ 1UN","9,90","","","2","6,00","","0,90"
"BROCOLIS/COUVE FLOR BJ1UN","27,96","2","10,02","1","5,01","","-7,11"
"PEPINO KG","70,26","2,165","6,76","1,735","4,46","","11,83"
"MACA ARGENTINA KG","110,16","0,850","10,40","0,365","4,43","","26,39"
"SALSINHA VERDE 1UN","97,51","3","3,00","4","4,00","","41,51"
"CEBOLINHA VERDE 1UN","9,95","","","2","3,50","","-2,30"
"PIMENTAO VERMELHO KG","84,68","0,250","2,75","0,302","3,33","","31,75"
"MACA VERDE KG","30,41","0,500","6,96","0,205","2,85","","-4,30"
"CEBOLA ROXA KG","27,54","2,350","11,59","0,280","1,38","","-4,86"
"ABACATE KG","74,05","0,850","2,19","0,525","1,35","","25,39"
"LIMAO KG","172,90","2,300","6,47","0,424","1,19","","84,13"
"COCO SECO KG","9,40","","","0,310","1,05","","3,54"
"BATATA REDE 3KG","135,83","","","0,200","1,01","","50,23"
"MELAO AMARELO KG","64,16","","","0,180","0,85","","17,09"
"CHUCHU KG","64,75","4,115","6,66","0,514","0,71","","38,57"
"ABOBORA CABOTIA KG","8,70","","","0,210","0,59","","1,98"
"ALHO KG","165,65","","","0,045","0,50","","69,30"
"MACA GALA/FUJI KG","347,74","0,500","2,74","0,055","0,30","","152,95"
"BANANA CATURRA KG","1.349,03","0,350","1,21","","","","345,69"
"TOMATE SALADETE KG","783,01","2,894","20,37","","","","274,53"
"OVOS VERMELHOS DROSCZAKA 12UN","560,49","","","","","","161,16"
"OVOS VERMELHOS DROSCZAKA 30UN","547,58","","","","","","110,08"
"CEBOLA KG","335,51","5,650","20,96","","","","101,71"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","287,84","","","","","","55,84"
"MORANGO BDJ 200GR","227,70","2","12,50","","","","71,45"
"ALFACE CRESPA 1UN","212,74","8","21,00","","","","28,24"
"BATATA SALSA KG","201,49","","","","","","40,67"
"LARANJA PERA KG","147,67","3,300","10,53","","","","42,74"
"REPOLHO 1UN","139,80","1","5,04","","","","33,50"
"PERA KG","134,89","11,700","67,86","","","","-30,91"
"OVOS VERMELHOS NEGOSEK 12UN","131,89","","","","","","32,89"
"OVOS VERMELHOS NEGOSEK 6UN","129,24","","","","","","34,24"
"UVA ITALIA 500GR","116,91","","","","","","38,52"
"PEPINO JAPONES KG","111,35","1,200","5,82","","","","28,24"
"BATATA DOCE ROXA KG","110,56","1,550","4,26","","","","44,16"
"ALHO PRISA FIGURA 150GR","98,89","","","","","","34,10"
"ABACAXI PEROLA 1UN","83,90","","","","","","16,52"
"ABOBRINHA KG","75,43","4,550","16,87","","","","-8,91"
"BROCOLIS AMERICANO 1UN","62,91","","","","","","22,77"
"UVA PRETA 500GR","55,96","","","","","","16,36"
"ALFACE AMERICANA 1UN","54,89","1","3,00","","","","18,89"
"ABACAXI GRANDE 1UN","51,96","2","15,37","","","","1,15"
"PONKAN KG","42,35","3,650","13,77","","","","8,60"
