"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA ARGENTINA KG","15,32","0,450","6,68","5,815","86,29","","-89,08"
"BATATA KG","629,60","","","16,850","44,99","","160,39"
"MILHO VERDE BDJ 1UN","199,75","","","3","16,50","","45,75"
"MARACUJA KG","103,58","0,250","2,70","1,460","15,78","","28,84"
"BANANA PRATA KG","226,82","","","3,295","15,39","","59,90"
"TANGERINA KG","","6,250","39,96","2,400","14,42","","-54,38"
"MELAO AMARELO KG","48,99","4,250","12,75","4,465","13,40","","-1,71"
"OVOS VERMELHOS NEGOSEK 6UN","41,93","","","3","12,00","","1,93"
"TOMATE SALADETE KG","473,90","0,350","1,68","2,420","11,57","","136,83"
"MANGA KG","437,84","2,650","12,60","1,946","9,73","","118,68"
"PEPINO JAPONES KG","81,79","0,250","1,28","1,790","9,13","","19,14"
"CHUCHU KG","20,44","12,500","68,38","1,530","8,37","","-73,16"
"UVA ITALIA 500GR","77,94","","","1","7,55","","25,09"
"ALFACE CRESPA 1UN","142,09","11","27,50","3","7,50","","4,59"
"ALFACE LISA 1UN","27,92","5","12,50","3","7,50","","-12,08"
"CEBOLINHA VERDE 1UN","29,85","3","3,00","7","7,00","","4,85"
"MACA PINK KG","","","","0,550","6,83","","-6,83"
"CEBOLA KG","267,65","","","3,720","6,62","","125,49"
"PIMENTAO VERMELHO KG","67,86","1,800","17,60","0,792","6,29","","13,72"
"GENGIBRE KG","20,16","3","49,41","0,365","6,01","","-49,69"
"TOMATE CORACAO BOI BDJ 700GR","143,82","","","1","5,00","","48,82"
"BROCOLIS AMERICANO 1UN","144,78","","","1","4,47","","42,07"
"CEBOLA ROXA KG","26,25","0,850","2,70","1,345","4,28","","5,36"
"ABOBRINHA KG","89,17","2,450","13,68","0,870","3,71","","2,37"
"CENOURA KG","149,39","","","1,170","3,66","","62,40"
"PIMENTAO AMARELO KG","75,52","0,300","3,12","0,200","2,08","","31,06"
"COCO SECO KG","16,29","3,495","11,36","0,640","2,08","","-5,27"
"PERA KG","98,71","1,400","11,48","0,235","1,93","","12,04"
"LIMAO KG","271,04","1,100","2,84","0,555","1,43","","147,44"
"CEBOLA CONSERVA KG","5,43","0,300","0,62","0,415","0,85","","1,17"
"BATATA ROSA KG","","6,850","18,84","0,130","0,36","","-19,20"
"ABOBORA SECA KG","1,94","","","0,050","0,13","","0,60"
"BANANA CATURRA KG","1.228,97","0,450","1,50","","","","404,72"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","612,54","","","","","","79,54"
"MACA GALA/FUJI KG","502,83","0,500","3,02","","","","224,72"
"MELANCIA KG","414,52","5,800","4,64","","","","201,38"
"OVOS VERMELHOS DROSCZAKA 12UN","376,20","","","","","","93,92"
"TOMATE KG","368,12","3,750","15,71","","","","104,48"
"MAMAO KG","256,66","","","","","","129,80"
"OVOS VERMELHOS DROSCZAKA 30UN","245,99","","","","","","64,72"
"UVA THOMPSON 500GR","224,85","","","","","","104,97"
"OVOS VERMELHOS NEGOSEK 12UN","219,80","","","","","","69,80"
"AMEIXA BDJ 1UN","215,05","1","4,50","","","","80,05"
"MORANGO BDJ 200GR","188,79","","","","","","57,54"
"LARANJA PERA KG","180,39","3,200","10,56","","","","50,53"
"SALSINHA VERDE 1UN","169,57","1","1,00","","","","111,57"
"BATATA DOCE ROXA KG","135,31","3,650","17,16","","","","27,06"
"ALHO PRISA FIGURA 150GR","134,85","","","","","","46,50"
"LARANJA BAHIA KG","133,57","0,950","7,52","","","","37,81"
"REPOLHO 1UN","130,75","2","7,87","","","","26,65"
"ALHO KG","125,10","","","","","","51,81"
"COUVE FLOR 1UN","95,77","3","16,95","","","","-0,58"
"PEPINO KG","92,00","3,250","13,70","","","","13,20"
"UVA BRANCA KG","90,46","","","","","","20,54"
"ALFACE AMERICANA 1UN","84,83","5","12,50","","","","30,83"
"UVA ROSADA BJ500GR","80,91","","","","","","24,93"
"CEBOLA REDE PRISA 1KG","79,90","","","","","","36,90"
"ABACAXI GRANDE 1UN","64,95","2","12,02","","","","22,88"
"TOMATE CEREJA BDJ 500GR","59,94","1","6,00","","","","17,94"
"GOIABA KG","45,40","5,200","16,77","","","","5,75"
"ABACAXI PEROLA 1UN","35,96","2","15,28","","","","-9,88"
"UVA PRETA KG","32,60","","","","","","14,47"
"TOMATE CEREJA BDJ 300G 1UN","31,91","","","","","","7,16"
"ALHO AGRO NASCENTE 500GR","29,98","","","","","","12,92"
".FLOR CROTON 1UN","29,90","","","","","","2,17"
"MACA VERDE KG","27,19","","","","","","6,19"
"ALFACE ROXA 1UN","26,53","3","7,50","","","","1,53"
"MORGOTE KG","24,06","","","","","","12,66"
"UVA VITORIA 500GR","23,98","","","","","","5,40"
"PIMENTAO VERDE KG","22,73","2,250","11,95","","","","-0,44"
"RUCULA 1UN","19,95","","","","","","4,95"
"BROCOLIS/COUVE FLOR BJ1UN","13,98","","","","","","3,94"
"ABACATE KG","11,83","","","","","","5,41"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","3,08"
"AMEIXA KG","6,39","","","","","","2,39"
"BETERRABA KG","3,69","6,350","26,10","","","","-24,81"
"BATATA REDE 2KG","2,99","","","","","","1,14"
,"10.844,44",,"532,93",,"342,85","0,00","2.975,37"
