"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA DOCE BRANCA KG","7,79","","","4,565","30,17","","-28,82"
"TOMATE KG","591,45","3,700","20,49","4,944","25,91","","199,27"
"MANGA KG","370,08","12,100","68,60","3,515","17,58","","42,72"
"LARANJA BAHIA KG","176,17","4,800","45,87","1,585","16,59","","-31,81"
"BANANA PRATA KG","249,20","","","3,395","15,85","","66,86"
"PIMENTAO VERDE KG","74,97","1,500","11,07","2,300","14,95","","-4,16"
"GENGIBRE KG","24,23","2,600","33,82","1,105","14,38","","-38,16"
"MAMAO KG","314,74","","","1,808","10,47","","160,27"
"CENOURA KG","240,23","","","2,102","9,08","","78,58"
"GOIABA KG","9,93","","","1,555","7,46","","-4,01"
"PEPINO JAPONES KG","46,56","3,300","14,25","1,860","7,42","","-7,89"
"BETERRABA KG","72,50","4,650","20,98","1,630","7,35","","-2,62"
"PIMENTAO AMARELO KG","31,24","0,500","4,53","0,714","6,47","","1,34"
"CEBOLA ROXA KG","44,02","","","1,250","6,28","","6,12"
"MARACUJA KG","76,33","","","0,935","6,18","","19,85"
"ABACATE KG","43,86","6,200","16,06","2,195","5,77","","-1,08"
"MACA GALA/FUJI KG","369,79","5,050","28,89","0,851","5,44","","113,12"
"BROCOLIS/COUVE FLOR BJ1UN","55,92","2","10,10","1","5,05","","0,55"
"LARANJA PERA KG","85,99","3,450","11,22","1,415","4,60","","14,53"
"ALHO KG","172,38","","","0,280","4,20","","71,81"
"ALFACE CRESPA 1UN","247,38","2","6,00","1","3,00","","52,38"
"SALSINHA VERDE 1UN","111,44","","","3","3,00","","52,44"
"CHUCHU KG","27,81","4,050","8,98","1,055","2,57","","0,37"
"PERA KG","88,08","4,760","24,27","0,590","2,47","","4,71"
"MELANCIA KG","367,90","26,100","31,32","1,932","2,32","","52,45"
"COCO SECO KG","20,99","","","0,520","1,76","","8,49"
"MELAO AMARELO KG","49,35","","","0,190","0,78","","14,54"
"PEPINO KG","90,49","1,150","3,33","0,075","0,30","","27,56"
"BANANA CATURRA KG","1.098,24","","","","","","229,34"
"BATATA KG","990,12","","","","","","382,18"
"OVOS VERMELHOS DROSCZAKA 30UN","640,83","","","","","","150,83"
"OVOS VERMELHOS DROSCZAKA 12UN","604,45","","","","","","170,80"
"TOMATE SALADETE KG","543,10","5,150","27,68","","","","114,03"
"OVOS VERMELHOS NEGOSEK 12UN","431,64","","","","","","107,64"
"LIMAO KG","325,41","0,600","1,62","","","","176,27"
"CEBOLA KG","220,03","0,900","2,38","","","","65,26"
"MORANGO BDJ 200GR","207,90","","","","","","76,65"
"PIMENTAO VERMELHO KG","168,57","1,590","20,63","","","","37,68"
"UVA ITALIA 500GR","167,84","","","","","","40,08"
"BROCOLIS AMERICANO 1UN","160,77","6","26,89","","","","30,91"
"MILHO VERDE BDJ 1UN","153,78","4","22,00","","","","10,78"
"REPOLHO 1UN","153,78","","","","","","28,62"
"CAQUI KG","147,09","6,850","48,91","","","","-40,38"
"OVOS VERMELHOS NEGOSEK 6UN","124,21","1","4,75","","","","29,21"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","123,93","","","","","","22,43"
"MACA VERDE KG","122,84","2,200","30,60","","","","-8,34"
"ABACAXI GRANDE 1UN","116,91","1","6,51","","","","51,81"
"AMEIXA BDJ 1UN","112,35","","","","","","44,85"
"KIWI BDJ 1UN","103,92","","","","","","31,84"
"CEBOLA REDE PRISA 1KG","95,88","","","","","","44,28"
"UVA THOMPSON 500GR","89,94","","","","","","35,10"
"ALFACE AMERICANA 1UN","89,82","","","","","","35,82"
"COUVE FLOR 1UN","83,88","6","33,00","","","","-15,32"
"ALHO PRISA FIGURA 150GR","80,91","","","","","","27,90"
"ABACAXI PEROLA 1UN","79,90","3","13,20","","","","16,24"
"BATATA DOCE ROXA KG","78,22","","","","","","28,65"
"UVA ROSADA BJ500GR","77,90","","","","","","14,00"
"ABOBRINHA KG","73,32","3,150","10,23","","","","22,77"
"TOMATE CEREJA BDJ 300G 1UN","71,88","","","","","","27,58"
"UVA PRETA 500GR","69,95","","","","","","20,45"
"MACA ARGENTINA KG","60,79","","","","","","19,70"
"PONKAN KG","51,11","1,200","5,36","","","","18,41"
"ALHO AGRO NASCENTE 150GR","47,94","","","","","","16,02"
"ALFACE LISA 1UN","47,88","2","6,00","","","","5,88"
"ALFACE ROXA 1UN","39,90","1","3,00","","","","6,90"
"BATATA SALSA BDJ 500GR","38,94","2","7,20","","","","3,51"
"CEBOLA CONSERVA KG","26,21","0,250","0,69","","","","7,45"
"MELAO ORANGE KG","22,86","","","","","","8,88"
"BATATA DOCE SALMAO KG","22,63","","","","","","8,80"
"CEBOLINHA VERDE 1UN","21,89","","","","","","7,83"
"MANJERICAO BDJ 30GR","19,98","","","","","","2,56"
"RUCULA 1UN","19,95","","","","","","4,95"
"VAGEM BDJ 1UN","19,80","","","","","","13,80"
"UVA NUBIA BDJ 500GR","12,99","","","","","","5,44"
"ALECRIM BDJ 50GR","9,99","","","","","","1,28"
"ESPINAFRE 1UN","9,98","2","8,00","","","","-6,02"
"AMEIXA KG","8,23","","","","","","3,08"
".TEMP.AGRO NASCENTE P/CARNEIR 500GR","4,99","","","","","","1,36"
"CEBOLA REDE AGRO NASCENTE 500GR","3,49","","","","","","1,19"
"ABOBORA SECA KG","1,20","","","","","","0,45"
"TOMATE CAQUI KG","1,07","","","","","","0,34"
"OREGANO BDJ 50GR","","","","","","",""
"HORTELA BDJ 30GR 1UN","","","","","","",""
"UVA VITORIA 500GR","","","","","","",""
"ACELGA UN 1UN","","6","35,46","","","","-35,46"
,"12.161,95",,"673,89",,"237,40","0,00","2.975,72"
