"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","615,56","","","17,400","43,50","","157,96"
"TANGERINA KG","6,20","6,800","49,03","5,560","40,09","","-87,89"
"BANANA PRATA KG","150,15","","","5,335","24,91","","24,90"
"BANANA CATURRA KG","1.363,62","0,350","1,17","6,835","22,83","","423,91"
"UVA ROSADA BJ500GR","44,95","","","4","21,28","","-2,93"
"MANGA KG","392,32","2,500","10,00","4,660","18,64","","136,28"
"ABACAXI GRANDE 1UN","48,06","1","6,01","3","18,03","","-0,02"
"AMEIXA BDJ 1UN","131,33","","","4","18,00","","32,33"
"PITAYA 1UN","14,97","6","11,52","9","17,28","","-19,59"
"BETERRABA KG","9,90","1,800","7,40","3,890","15,99","","-19,88"
"CEBOLA KG","211,12","0,500","0,86","8,963","14,70","","80,22"
"PIMENTAO VERDE KG","42,53","2,850","13,41","3,100","11,78","","-4,56"
"COUVE FLOR 1UN","69,90","4","22,52","2","11,10","","-19,58"
"MACA PINK KG","","","","0,890","11,04","","-11,04"
"PERA KG","31,77","1,800","14,76","1,275","10,46","","-8,79"
"PIMENTAO VERMELHO KG","30,94","2,450","25,46","1,003","10,42","","-23,44"
"MELANCIA KG","359,59","22,350","17,88","12,417","9,93","","107,48"
"MACA VERDE KG","49,54","","","0,785","9,86","","3,06"
"CEBOLA CONSERVA KG","3,47","0,200","0,41","4,690","9,61","","-8,33"
"BATATA DOCE ROXA KG","122,38","2,550","12,27","1,855","8,92","","5,74"
"GOIABA KG","11,28","5,750","19,78","2,230","7,67","","-21,73"
"MARACUJA KG","100,49","0,200","2,16","0,995","6,94","","49,06"
"MACA ARGENTINA KG","7,66","","","0,465","6,90","","-4,95"
"GENGIBRE KG","17,28","","","0,395","6,51","","-4,66"
"TOMATE KG","195,61","2,200","6,49","2,134","6,30","","84,69"
"MACA GALA/FUJI KG","442,62","","","1,052","6,26","","216,78"
"ALFACE LISA 1UN","13,96","1","2,50","2","5,00","","-3,54"
"ALHO PRISA FIGURA 150GR","114,18","","","1","4,95","","33,12"
"ABOBORA SECA KG","4,09","0,200","0,50","1,925","4,81","","-3,78"
"ABOBRINHA KG","80,81","2,250","9,59","1,080","4,60","","23,54"
"CHUCHU KG","88,80","0,450","2,46","0,715","3,91","","34,34"
"PEPINO KG","65,89","1,400","5,80","0,905","3,75","","11,20"
"ABACATE KG","","3,200","9,54","1,185","3,53","","-13,07"
"SALSINHA VERDE 1UN","210,49","","","3","3,00","","136,49"
"COCO SECO KG","45,10","","","0,730","2,37","","19,37"
"TOMATE SALADETE KG","531,80","3,550","14,83","0,516","2,16","","197,11"
"ALHO KG","77,47","","","0,080","1,30","","29,63"
"PEPINO JAPONES KG","111,81","0,250","1,27","0,210","1,07","","37,85"
"CEBOLA ROXA KG","23,47","0,300","0,95","0,205","0,61","","10,00"
"OVOS VERMELHOS DROSCZAKA 12UN","534,60","","","","","","138,78"
"OVOS VERMELHOS NEGOSEK 12UN","362,67","","","","","","115,17"
"OVOS VERMELHOS DROSCZAKA 30UN","344,85","","","","","","101,10"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","335,79","","","","","","76,79"
"MAMAO KG","296,37","3,100","16,77","","","","156,19"
"MORANGO BDJ 200GR","265,86","3","18,75","","","","65,86"
"LIMAO KG","246,21","0,100","0,26","","","","138,24"
"MILHO VERDE BDJ 1UN","199,75","","","","","","62,25"
"LARANJA PERA KG","169,13","4,150","13,38","","","","41,79"
"BROCOLIS AMERICANO 1UN","154,02","2","8,88","","","","29,72"
"ALFACE CRESPA 1UN","139,60","8","20,00","","","","19,60"
"UVA THOMPSON 500GR","130,41","","","","","","61,05"
"REPOLHO 1UN","129,74","4","14,00","","","","24,60"
"TOMATE CORACAO BOI BDJ 700GR","127,84","","","","","","47,84"
"ALFACE AMERICANA 1UN","124,69","","","","","","46,69"
"CENOURA KG","121,29","0,200","0,56","","","","64,84"
"LARANJA BAHIA KG","116,01","4,550","32,27","","","","16,10"
"UVA ITALIA 500GR","103,92","","","","","","43,52"
"ABACAXI PEROLA 1UN","96,31","1","4,89","","","","36,21"
"UVA VITORIA 500GR","83,93","","","","","","21,26"
"OVOS VERMELHOS NEGOSEK 6UN","61,54","","","","","","17,54"
"CEBOLINHA VERDE 1UN","46,56","7","7,00","","","","15,56"
"ALFACE ROXA 1UN","41,69","2","5,00","","","","9,19"
"TOMATE CEREJA BDJ 500GR","39,96","","","","","","15,96"
"UVA BRANCA KG","39,59","","","","","","16,42"
"AMEIXA KG","36,72","2,850","14,25","","","","-0,52"
"PIMENTAO AMARELO KG","26,55","0,750","7,79","","","","3,47"
"ALHO AGRO NASCENTE 150GR","23,97","","","","","","8,01"
"UVA PRETA KG","22,64","","","","","","10,05"
"CEBOLA REDE PRISA 1KG","15,98","","","","","","7,38"
"MORANGO BDJ 500GR","14,99","","","","","","4,99"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","6,46"
"MORGOTE KG","13,02","","","","","","6,86"
"BATATA ROSA KG","12,19","5,050","13,89","","","","-12,53"
"AMEIXA BENASSI BDJ 500GR","9,99","","","","","","4,06"
"UVA UVARIA SEM SEMENTE 500GR","9,90","","","","","","3,90"
"ALHO SUPER NATURAL 150GR","6,99","","","","","","2,30"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","3,08"
"ALFACE HIDROPONICA 1UN","4,99","","","","","","2,24"
".TEMP.AGRO NASCENTE P/CARNEIR 500GR","4,99","","","","","","1,36"
