"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"TOMATE KG","356,53","7,100","41,07","9,350","56,66","","25,59"
"MAMAO KG","302,48","12,100","80,18","7,893","54,07","","12,38"
"BANANA CATURRA KG","1.658,75","0,600","2,28","11,402","43,33","","349,97"
"TANGERINA KG","","2,350","14,12","4,950","29,75","","-43,87"
"TOMATE CEREJA BDJ 300G 1UN","53,91","","","7","28,21","","-10,57"
"PONKAN KG","83,89","6,600","38,82","3,220","19,71","","-21,27"
"BANANA PRATA KG","176,53","0,200","0,93","4","18,68","","38,96"
"GENGIBRE KG","26,16","0,400","5,20","1,435","18,67","","-13,02"
"CENOURA KG","217,14","0,950","4,33","3,861","17,76","","46,42"
"MELAO AMARELO KG","60,31","2,200","8,58","4,045","16,71","","-6,56"
"BETERRABA KG","57,96","","","2,475","11,14","","9,50"
"LARANJA BAHIA KG","195,50","5,050","42,90","1,360","11,08","","-8,81"
"BATATA DOCE ROXA KG","190,21","","","1,655","7,33","","59,51"
"UVA PRETA KG","10,98","","","1,214","6,07","","-1,20"
"PEPINO JAPONES KG","105,78","0,850","3,39","1,385","5,53","","29,20"
"OVOS VERMELHOS NEGOSEK 6UN","168,74","","","1","4,75","","40,49"
"BROCOLIS AMERICANO 1UN","160,77","5","22,57","1","4,52","","30,64"
"CHUCHU KG","19,37","5,200","12,69","1,360","3,32","","-6,50"
"ALFACE LISA 1UN","31,92","5","15,00","1","3,00","","-10,08"
"COUVE PICADA BDJ 1UN","24,95","","","1","3,00","","8,45"
"UVA BRANCA KG","4,42","","","0,494","2,47","","-0,51"
"LARANJA PERA KG","249,27","1,900","6,25","0,730","2,41","","76,56"
"MARACUJA KG","100,54","","","0,400","2,16","","38,54"
"ALHO KG","174,31","","","0,140","2,10","","74,33"
"ABACATE KG","79,48","1,200","3,16","0,800","2,10","","22,17"
"PIMENTAO VERMELHO KG","104,48","1","9,29","0,167","1,55","","41,22"
"PEPINO KG","69,59","2,240","7,54","0,450","1,34","","20,13"
"PIMENTAO VERDE KG","62,08","1,100","6,17","0,220","1,19","","18,34"
"ABOBRINHA KG","109,43","3,100","11,56","0,310","1,11","","18,77"
"MELANCIA KG","445,66","17,500","21,00","0,832","1,00","2,84","89,89"
"SALSINHA VERDE 1UN","81,59","3","3,00","1","1,00","","36,59"
"MACA GALA/FUJI KG","374,97","0,850","5,78","0,100","0,69","","132,77"
"PIMENTAO AMARELO KG","80,35","0,500","5,63","0,035","0,47","","22,15"
"ABOBORA SECA KG","3,95","","","0,110","0,28","","1,19"
"GOIABA KG","41,60","2,200","9,96","0,030","0,14","","-1,15"
"BATATA KG","809,39","","","","","","220,28"
"TOMATE SALADETE KG","719,18","2,900","17,71","","","","196,02"
"OVOS VERMELHOS DROSCZAKA 12UN","675,29","","","","","","104,68"
"MANGA KG","580,13","12,400","62,00","","","","149,51"
"OVOS VERMELHOS DROSCZAKA 30UN","509,78","","","","","","69,78"
"MORANGO BDJ 200GR","347,50","","","","","","116,25"
"CEBOLA KG","307,41","1,450","4,13","","","","81,60"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","305,82","","","","","","59,82"
"LIMAO KG","291,33","2,600","7,03","","","","148,53"
"OVOS VERMELHOS NEGOSEK 12UN","263,78","","","","","","65,78"
"REPOLHO 1UN","251,64","","","","","","72,97"
"ALFACE CRESPA 1UN","230,22","12","36,00","","","","20,22"
"CAQUI KG","218,22","2,850","20,36","","","","42,46"
"MILHO VERDE BDJ 1UN","205,32","2","11,00","","","","40,32"
"UVA ITALIA 500GR","181,86","","","","","","83,12"
"UVA THOMPSON 500GR","160,93","","","","","","59,33"
"AMEIXA BDJ 1UN","117,86","1","4,50","","","","41,36"
"UVA ROSADA BJ500GR","116,87","","","","","","26,84"
"ALHO PRISA FIGURA 150GR","107,88","","","","","","37,20"
"BROCOLIS/COUVE FLOR BJ1UN","104,85","7","35,53","","","","-6,29"
"ABACAXI GRANDE 1UN","103,92","2","13,02","","","","38,82"
"CEBOLA REDE PRISA 1KG","103,87","","","","","","47,97"
"UVA PRETA 500GR","97,93","","","","","","28,63"
"PERA KG","96,91","3,100","14,73","","","","16,29"
"ABACAXI PEROLA 1UN","93,88","1","6,77","","","","27,20"
"KIWI BDJ 1UN","79,92","","","","","","13,52"
"COUVE FLOR 1UN","69,90","","","","","","15,30"
"ALFACE AMERICANA 1UN","64,87","4","12,00","","","","13,87"
"ALHO AGRO NASCENTE 500GR","59,96","","","","","","25,12"
"MACA VERDE KG","58,62","","","","","","10,62"
"ALFACE ROXA 1UN","51,67","2","6,00","","","","6,67"
"ALHO AGRO NASCENTE 150GR","31,96","","","","","","10,68"
"COCO SECO KG","24,41","1,650","5,58","","","","5,57"
"BATATA DOCE BRANCA KG","24,25","","","","","","4,19"
