"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA PRATA KG","144,97","1,100","5,14","19,315","90,20","","-47,20"
"BATATA KG","625,60","","","25,140","63,10","","166,39"
"TOMATE KG","283,87","7,650","22,84","7,935","22,69","","121,15"
"MACA PINK KG","25,08","1,300","16,13","0,985","12,22","","-18,90"
"MAMAO KG","361,33","9","48,69","1,780","9,63","","154,60"
"UVA VITORIA 500GR","45,87","","","1","8,71","","2,33"
"MELANCIA KG","544,23","73,660","88,39","7,192","8,63","5,62","-11,54"
"LARANJA PERA KG","118,53","4,700","14,10","2,705","8,12","","24,99"
"ALFACE CRESPA 1UN","233,83","9","22,50","3","7,50","","36,33"
"GENGIBRE KG","36,56","","","0,435","7,16","","2,92"
"BETERRABA KG","39,11","1,450","5,96","1,423","5,85","","4,30"
"CENOURA KG","156,95","0,100","0,39","1,450","5,66","","68,93"
"ABACAXI PEROLA 1UN","113,87","2","11,20","1","5,60","","23,76"
"BATATA DOCE ROXA KG","98,59","0,300","1,35","1,200","4,66","","24,82"
"MACA VERDE KG","39,16","","","0,345","4,33","","5,87"
"BERINGELA KG","","0,250","1,50","0,600","3,60","","-5,10"
"MACA GALA/FUJI KG","430,95","0,700","4,25","0,566","3,41","","168,46"
"MANGA KG","236,10","4,900","18,70","0,818","3,26","","74,21"
"CEBOLA CONSERVA KG","17,66","","","1,380","3,09","","5,15"
"CEBOLINHA VERDE 1UN","23,88","10","10,00","2","2,00","","-0,12"
"BATATA ROSA KG","5,94","2,050","5,64","0,600","1,65","","-6,81"
"SALSINHA VERDE 1UN","155,48","7","7,00","1","1,00","","95,48"
"MELAO AMARELO KG","20,49","","","0,113","0,34","","9,88"
"COCO SECO KG","38,90","1,350","4,39","0,102","0,33","","14,77"
"ABOBORA SECA KG","","0,300","0,75","0,100","0,25","","-1,00"
"CEBOLA ROXA KG","16,57","","","0,065","0,19","","8,14"
"BANANA CATURRA KG","1.194,78","","","","","","399,02"
"OVOS VERMELHOS NEGOSEK 12UN","373,66","","","","","","123,66"
"TOMATE SALADETE KG","344,83","1,700","5,78","","","","155,08"
"OVOS VERMELHOS DROSCZAKA 12UN","343,53","","","","","","83,24"
"LIMAO KG","276,95","0,100","0,28","","","","154,98"
"MORANGO BDJ 500GR","265,39","","","","","","85,39"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","258,38","1","12,00","","","","42,38"
"OVOS VERMELHOS DROSCZAKA 30UN","239,10","","","","","","56,99"
"TOMATE CORACAO BOI BDJ 700GR","207,74","1","5,00","","","","72,74"
"CEBOLA KG","206,89","2","3,34","","","","100,65"
"MILHO VERDE BDJ 1UN","151,81","3","16,50","","","","30,81"
"AMEIXA KG","151,20","7,425","37,13","","","","19,36"
"MARACUJA KG","125,87","2","13,94","","","","62,43"
"ABACAXI GRANDE 1UN","116,91","","","","","","62,82"
"BROCOLIS AMERICANO 1UN","110,27","3","10,41","","","","21,15"
"REPOLHO 1UN","109,78","8","28,06","","","","3,87"
"PEPINO JAPONES KG","100,22","1,400","7,85","","","","23,79"
"OVOS VERMELHOS NEGOSEK 6UN","95,84","1","4,00","","","","27,84"
"UVA THOMPSON 500GR","89,94","","","","","","42,54"
"ALHO PRISA FIGURA 150GR","89,90","","","","","","31,00"
"MORANGO BDJ 200GR","80,91","","","","","","24,66"
"ALHO KG","80,51","","","","","","32,26"
"ALFACE AMERICANA 1UN","79,84","1","2,50","","","","37,34"
"LARANJA BAHIA KG","79,12","1,400","9,54","","","","24,63"
"PEPINO KG","73,61","3,245","10,45","","","","20,51"
"PIMENTAO VERMELHO KG","72,39","1,350","18,82","","","","0,82"
"ABOBRINHA KG","71,80","2,100","11,67","","","","11,25"
"PIMENTAO AMARELO KG","68,30","4,750","66,22","","","","-47,32"
"UVA ROSADA BJ500GR","62,93","","","","","","25,69"
"COUVE FLOR 1UN","62,91","","","","","","13,73"
"CHUCHU KG","49,06","1,200","5,77","","","","19,45"
"ABACATE KG","45,53","6,700","19,97","","","","-1,08"
"ALHO AGRO NASCENTE 500GR","44,97","","","","","","19,38"
"TOMATE CEREJA BDJ 500GR","39,96","","","","","","15,96"
"UVA ITALIA 500GR","38,97","","","","","","16,32"
"KIWI KG","37,11","","","","","","19,03"
"PIMENTAO VERDE KG","34,54","1,300","5,84","","","","15,00"
"CEBOLA REDE PRISA 1KG","31,96","","","","","","14,76"
"GOIABA KG","30,12","8,500","27,61","","","","-10,72"
"PITAYA 1UN","29,94","","","","","","18,42"
"BATATA SALSA BDJ 500GR","25,96","6","21,62","","","","-14,47"
"PERA KG","20,82","1,550","10,31","","","","3,28"
"ALFACE ROXA 1UN","15,16","1","2,50","","","","2,66"
"ALFACE LISA 1UN","13,96","5","12,50","","","","-8,54"
"COUVE MANTEIGA 1UN","11,97","2","5,00","","","","-0,53"
"MORGOTE KG","10,25","2,765","12,97","","","","-7,58"
"COUVE PICADA BDJ 1UN","9,98","","","","","","3,98"
"BATATA SALSA KG","9,16","","","","","","2,82"
"ACELGA UN 1UN","8,97","7","22,26","","","","-22,83"
"MACA ARGENTINA KG","7,66","","","","","","1,95"
"MAMAO HAVAI 1UN","6,99","","","","","","2,90"
"CEBOLA REDE AGRO NASCENTE 500GR","3,49","","","","","","1,54"
"TANGERINA KG","","0,950","6,85","","","","-6,85"
,"9.925,36",,"705,61",,"283,18","5,62","2.749,97"
