"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"TOMATE KG","258,93","1,200","7,63","9,013","50,56","","15,14"
"MELANCIA KG","490,25","23,700","18,96","53,657","42,93","","149,56"
"GENGIBRE KG","7,32","","","1,475","19,19","","-16,17"
"BANANA PRATA KG","203,83","","","2,630","12,28","","55,37"
"MORANGO BDJ 200GR","332,63","","","1,800","11,25","","90,13"
"LARANJA PERA KG","151,74","1,550","4,94","3,425","10,93","","31,60"
"REPOLHO 1UN","121,82","","","2","10,84","","15,62"
"BATATA SALSA BDJ 500GR","25,96","","","3","10,80","","-3,64"
"MANGA KG","297,99","6,200","31,00","1,983","9,92","","70,17"
"PERA KG","52,06","0,800","4,32","1,690","9,13","","3,41"
"MARACUJA KG","105,62","0,400","4,08","0,815","8,32","","44,30"
"TOMATE CEREJA BDJ 300G 1UN","7,98","","","2","8,06","","-8,14"
"LARANJA BAHIA KG","89,32","2,350","16,69","0,945","6,71","","12,20"
"PIMENTAO VERDE KG","45,33","0,900","5,48","0,995","6,47","","3,76"
"PIMENTAO AMARELO KG","44,97","0,700","7,15","0,545","5,56","","3,50"
"GOIABA KG","43,71","1,450","5,22","1,540","5,54","","10,43"
"AMEIXA BDJ 1UN","82,39","","","1","4,50","","28,39"
"MELAO AMARELO KG","26,87","1,950","7,61","1,155","4,50","","-2,74"
"PEPINO KG","87,08","5","23,35","0,865","4,04","","3,95"
"PEPINO JAPONES KG","159,12","","","0,650","3,65","","78,63"
"ALFACE AMERICANA 1UN","48,67","1","3,62","1","3,61","","7,11"
"ABACATE KG","78,13","0,850","2,23","1,170","3,07","","31,80"
"CEBOLA ROXA KG","27,87","","","0,920","2,93","","10,16"
"COCO SECO KG","16,29","","","0,795","2,69","","5,27"
"PIMENTAO VERMELHO KG","98,01","1,950","17,57","0,265","2,39","","20,44"
"CHUCHU KG","20,86","","","0,975","2,38","","11,19"
"CEBOLA CONSERVA KG","9,32","","","1","2,05","","2,49"
"CEBOLA KG","145,23","0,400","1,16","0,329","0,93","","39,49"
"CAQUI KG","75,40","","","0,095","0,66","","21,09"
"ALHO KG","47,22","","","0,035","0,53","","20,19"
"ABOBORA SECA KG","","","","0,100","0,25","","-0,25"
"BANANA CATURRA KG","1.239,03","","","","","","277,18"
"BATATA KG","613,25","","","","","","173,59"
"TOMATE SALADETE KG","566,36","0,400","2,64","","","","186,62"
"OVOS VERMELHOS DROSCZAKA 12UN","447,70","","","","","","44,56"
"MACA GALA/FUJI KG","304,90","0,400","2,73","","","","126,51"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","281,82","","","","","","74,82"
"MAMAO KG","274,84","9,800","48,80","","","","88,45"
"LIMAO KG","251,50","2,300","7,65","","","","125,26"
"BROCOLIS AMERICANO 1UN","216,69","","","","","","78,85"
"OVOS VERMELHOS NEGOSEK 12UN","191,84","","","","","","47,84"
"ALFACE HIDROPONICA 1UN","169,60","","","","","","37,60"
"OVOS VERMELHOS DROSCZAKA 30UN","160,93","","","","","","30,92"
"MILHO VERDE BDJ 1UN","135,83","4","22,00","","","","20,33"
"CENOURA KG","132,30","","","","","","20,47"
"BATATA DOCE ROXA KG","119,56","0,500","2,37","","","","38,40"
"ABOBRINHA KG","109,58","","","","","","43,42"
"KIWI BDJ 1UN","108,88","","","","","","17,84"
"COUVE FLOR 1UN","104,85","","","","","","20,93"
"BROCOLIS/COUVE FLOR BJ1UN","97,86","3","15,03","","","","12,75"
"SALSINHA VERDE 1UN","94,66","","","","","","60,66"
"OVOS VERMELHOS NEGOSEK 6UN","69,44","","","","","","17,19"
"UVA ROSADA BJ500GR","68,22","","","","","","18,28"
"MACA VERDE KG","65,25","0,250","3,34","","","","10,65"
"UVA ITALIA 500GR","64,95","","","","","","30,10"
"PONKAN KG","52,57","","","","","","20,08"
"TOMATE CEREJA 250GR","48,93","","","","","","31,43"
"UVA THOMPSON 500GR","44,97","","","","","","18,87"
"ALHO PRISA FIGURA 150GR","44,95","","","","","","15,50"
"CEBOLA REDE PRISA 1KG","39,95","","","","","","18,45"
"BETERRABA KG","38,64","","","","","","13,75"
"ALFACE CRESPA 1UN","37,40","9","23,50","","","","-13,60"
"UVA PRETA KG","37,32","","","","","","16,56"
"ABACAXI PEROLA 1UN","35,96","3","19,17","","","","-9,53"
"UVA BRANCA KG","34,73","","","","","","14,56"
"MELAO ORANGE KG","27,06","","","","","","10,51"
"ABACAXI GRANDE 1UN","25,98","","","","","","12,96"
"RUCULA 1UN","22,95","3","9,00","","","","-4,05"
"CEBOLINHA VERDE 1UN","20,22","7","7,00","","","","3,22"
"ALHO PORO 1UN","14,97","","","","","","4,17"
"ESPINAFRE 1UN","14,97","","","","","","2,97"
"BATATA ROSA KG","7,36","","","","","","3,31"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","3,08"
"MANGA ESPADA KG","6,71","","","","","","1,61"
"ALFACE LISA 1UN","3,99","","","","","","0,99"
"ALFACE ROXA 1UN","","1","2,50","","","","-2,50"
"TANGERINA KG","","1,350","8,11","","","","-8,11"
"MACA ARGENTINA KG","","","","","","",""
"UVA VITORIA 500GR","","3","29,61","","","","-29,61"
"ESCAROLA 1UN","","","","","","",""
,"9.658,37",,"364,46",,"266,67","0,00","2.482,29"
