"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"TOMATE SALADETE KG","379,57","4,900","22,54","21,090","97,01","","-0,40"
"TOMATE CEREJA BDJ 300G 1UN","11,97","","","11","30,25","","-26,53"
"MANGA KG","179,51","1,050","3,93","6,377","24,49","","51,31"
"MACA PINK KG","142,12","","","1,500","21,51","","-2,23"
"UVA ROSADA KG","183,00","1,550","11,63","2,205","17,64","","1,00"
"MELANCIA KG","480,20","15,550","31,10","6,949","13,90","","84,62"
"PESSEGO KG","210,66","24,450","84,03","4,130","12,39","","28,13"
"VAGEM KG","","4,400","32,13","1,475","10,77","","-42,90"
"MORANGO BDJ 500GR","145,48","","","1","10,00","","35,48"
"BETERRABA KG","30,13","4,500","15,58","3,080","9,02","","-15,44"
"MELAO CAIPIRA KG","19,12","18,200","127,40","1,020","7,65","","-127,10"
"ABACAXI GRANDE 1UN","63,92","","","1","6,00","","11,39"
"PIMENTAO AMARELO KG","27,88","1","8,31","0,660","5,48","","-1,75"
"ABACAXI PEROLA 1UN","35,96","","","1","5,00","","7,93"
"GENGIBRE KG","14,00","4,220","39,50","0,510","4,77","","-40,04"
"ALHO SUPER NATURAL 150GR","6,99","","","1","3,98","","-1,68"
"ALHO KG","81,89","","","0,245","3,97","","29,00"
"BATATA DOCE ROXA KG","63,29","0,850","2,81","1,030","3,40","","14,34"
"PEPINO KG","35,37","0,850","2,35","1,105","2,76","","15,51"
"LARANJA PERA KG","159,01","3,350","10,32","0,805","2,56","","39,85"
"PIMENTAO VERMELHO KG","77,17","1","7,33","0,280","2,39","","24,67"
"PEPINO JAPONES KG","148,65","2,150","16,59","0,313","2,36","","12,47"
"MARACUJA KG","67,26","0,150","1,59","0,150","2,18","","15,58"
"LIMAO KG","229,82","0,700","2,18","0,607","1,82","","107,37"
"BATATA SALSA KG","52,77","3,550","14,20","0,403","1,61","","0,43"
"CEBOLA ROXA KG","13,61","0,450","1,34","0,190","1,35","","6,82"
"BATATA ROSA KG","37,15","","","0,405","1,22","","6,95"
"COCO SECO KG","19,35","","","0,245","1,20","","6,51"
"ABOBORA SECA KG","","","","0,150","0,38","","-0,38"
"MORGOTE KG","31,34","0,300","1,71","0,050","0,28","","11,46"
"ABOBORA MORANGA KG","","","","0,050","0,08","","-0,08"
"BANANA CATURRA KG","1.473,01","1,700","6,12","","","","596,53"
"BATATA KG","522,88","7,600","17,70","","","","194,17"
"MILHO VERDE BDJ 1UN","395,82","1","5,50","","","","93,32"
"OVOS VERMELHOS NEGOSEK 12UN","359,43","","","","","","130,08"
"OVOS VERMELHOS DROSCZAKA 12UN","336,60","","","","","","109,82"
"MAMAO KG","327,88","8,150","67,40","","","","51,74"
"MACA GALA/FUJI KG","287,55","","","","","","100,24"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","233,42","","","","","","73,42"
"AMEIXA KG","208,04","1,850","10,18","","","","107,58"
"TOMATE KG","193,48","3,350","16,26","","","","60,34"
"BANANA PRATA KG","156,13","","","","","","51,12"
"OVOS VERMELHOS DROSCZAKA 30UN","154,93","","","","","","46,99"
"CEBOLA KG","152,61","0,700","1,12","","","","70,84"
"ALFACE CRESPA 1UN","127,22","7","17,50","","","","23,62"
"CENOURA KG","122,42","0,500","1,39","","","","53,42"
"OVOS VERMELHOS NEGOSEK 6UN","107,82","","","","","","40,32"
"BROCOLIS AMERICANO 1UN","106,32","","","","","","26,58"
"REPOLHO 1UN","102,77","1","2,84","","","","36,65"
"MAMAO HAVAI 1UN","97,86","5","21,75","","","","15,05"
"MORANGO BDJ 200GR","95,89","","","","","","27,14"
"SALSINHA VERDE 1UN","89,70","","","","","","30,93"
"ALHO PRISA FIGURA 150GR","80,91","","","","","","27,90"
"UVA ROSADA BJ500GR","62,93","","","","","","28,14"
"COUVE FLOR 1UN","60,85","","","","","","21,43"
"PIMENTAO VERDE KG","56,90","0,800","3,20","","","","30,52"
"UVA ITALIA 500GR","48,96","","","","","","16,44"
"ALFACE AMERICANA 1UN","43,89","2","5,00","","","","11,39"
"CEBOLINHA VERDE 1UN","41,79","6","7,20","","","","8,19"
"ABOBRINHA KG","35,99","0,400","1,76","","","","11,70"
"PERA KG","34,75","0,550","7,58","","","","-1,99"
"CEBOLA CONSERVA KG","34,56","","","","","","15,16"
"LARANJA BAHIA KG","30,35","1,650","18,41","","","","-10,66"
"MELAO AMARELO KG","29,63","","","","","","12,29"
"CEBOLA REDE PRISA 1KG","23,97","","","","","","11,07"
"ALFACE ROXA 1UN","15,16","1","2,50","","","","4,16"
"UVA BRASIL BDJ 500GR","14,99","","","","","","6,14"
"UVA THOMPSON 500GR","14,99","","","","","","6,99"
"MACA VERDE KG","12,23","0,350","4,29","","","","-0,89"
"COUVE MANTEIGA 1UN","11,97","1","3,00","","","","-0,03"
"TOMATE CEREJA 250GR","10,98","1","3,00","","","","-1,02"
"VAGEM BDJ 1UN","9,90","","","","","","1,10"
"UVA VITORIA 500GR","9,90","","","","","","2,93"
".TEMP.AGRO NASCENTE P/CARNEIR 500GR","4,99","","","","","","1,36"
"RUCULA 1UN","3,99","","","","","","1,99"
"CEBOLA REDE AGRO NASCENTE 500GR","3,49","","","","","","1,54"
"SALSA CRESPA 1UN","2,99","","","","","","1,49"
"COCO VERDE 1UN","","1","7,68","","","","-7,68"
"KIWI KG","","","","","","",""
"GOIABA KG","","","","","","",""
"BERINGELA KG","","","","","","",""
,"9.300,03",,"667,95",,"307,42","0,00","2.391,85"
