"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA ARGENTINA KG","200,93","","","9,415","112,46","","-32,41"
"TOMATE KG","746,58","4,831","19,32","22,466","89,86","","239,02"
"LARANJA BAHIA KG","328,43","1,250","8,85","5,750","41,07","","133,03"
"GENGIBRE KG","39,84","1,400","15,16","3,840","39,42","","-34,54"
"BATATA REDE 3KG","232,92","","","5","37,25","","-5,48"
"PIMENTAO VERMELHO KG","112,13","0,580","6,18","3,391","37,18","","7,70"
"CEBOLA CONSERVA KG","40,18","0,150","0,56","9,505","35,26","","-25,53"
"OVOS VERMELHOS DROSCZAKA 30UN","781,66","","","2","35,00","","161,62"
"BATATA DOCE BRANCA KG","49,10","0,250","1,80","2,915","21,02","","-9,49"
"PONKAN KG","126,77","2,850","10,74","4,835","17,44","","50,41"
"MELANCIA KG","430,28","47,100","149,63","5,600","17,39","","-96,81"
"MANGA KG","323,36","5","26,40","3,003","17,12","","56,24"
"PEPINO KG","110,93","2,500","12,94","3,595","16,43","","-3,64"
"UVA ITALIA 500GR","38,97","","","2","16,26","","-1,68"
"ESPINAFRE 1UN","","","","4","16,00","","-16,00"
"BATATA DOCE ROXA KG","139,44","0,850","2,34","5,610","15,43","","26,69"
"BROCOLIS AMERICANO 1UN","307,56","3","15,09","3","14,97","","57,14"
"BETERRABA KG","55,34","4,400","19,27","3,385","14,83","","-13,43"
"PIMENTAO AMARELO KG","35,11","1,330","22,82","0,864","14,83","","-31,41"
"MELAO AMARELO KG","57,98","","","2,960","14,42","","3,16"
"BATATA SALSA KG","266,63","4,900","22,06","3,083","13,87","","51,16"
"MARACUJA KG","103,56","","","1,886","13,81","","6,79"
"TOMATE CEREJA BDJ 300G 1UN","36,41","2","6,90","4","13,32","","-4,27"
"ABACAXI GRANDE 1UN","90,93","3","26,58","2","13,24","","0,29"
"RUCULA 1UN","31,92","2","6,00","4","12,00","","-10,08"
"CEBOLA KG","489,03","1,050","3,66","3,439","11,76","","186,83"
"CENOURA KG","448,49","","","1,635","11,69","","127,81"
"MAMAO KG","192,03","7,050","35,18","2,285","11,40","","25,52"
"COUVE FLOR 1UN","103,87","1","5,47","2","10,98","","16,39"
"BROCOLIS/COUVE FLOR BJ1UN","130,82","3","15,96","2","10,64","","2,77"
"ABACATE KG","114,22","4,350","11,70","3,830","10,30","","26,80"
"ABOBRINHA KG","129,83","0,150","0,57","2,065","9,92","","48,62"
"VAGEM BDJ 1UN","","1","3,00","3","9,00","","-12,00"
"CEBOLA ROXA KG","39,78","","","1,695","8,36","","3,39"
"PEPINO JAPONES KG","160,83","","","1,261","8,29","","9,14"
"GOIABA KG","68,35","","","1,825","7,82","","16,64"
"KIWI KG","127,27","0,500","4,50","0,790","7,10","","8,80"
"PERA KG","72,53","2,520","14,62","1,175","6,82","","-1,55"
"PIMENTAO VERDE KG","58,22","2","13,82","0,760","6,82","","9,05"
"ALHO KG","145,60","","","0,373","6,53","","46,61"
"UVA ROSADA BJ500GR","26,97","1","6,39","1","6,39","","-4,98"
"BANANA CATURRA KG","2.188,05","12,570","39,47","1,755","6,09","","495,14"
"SALSINHA VERDE 1UN","155,22","6","6,00","5","5,00","","66,22"
"ALHO PRISA FIGURA 150GR","197,78","","","1","4,95","","63,01"
"LIMAO KG","177,92","0,800","2,23","1,630","4,75","","86,52"
"CHUCHU KG","63,25","","","2,120","4,30","","40,59"
"CAQUI KG","418,32","2,450","15,27","0,620","3,72","","125,08"
"TOMATE SALADETE KG","1.149,86","2,100","15,11","0,506","3,65","","440,53"
"COCO SECO KG","32,14","","","0,950","3,21","","12,50"
"CENOURA BDJ 500GR","","","","1","1,25","","-1,25"
"ABOBORA CABOTIA KG","7,10","","","0,270","0,76","","1,34"
"ABOBORA SECA KG","","","","0,250","0,63","","-0,63"
"BATATA KG","1.376,96","","","","","","287,53"
"OVOS VERMELHOS DROSCZAKA 12UN","736,33","","","","","","217,66"
"MACA GALA/FUJI KG","484,29","0,250","1,28","","","","217,18"
"MORANGO BDJ 200GR","356,40","7","43,75","","","","87,65"
"OVOS VERMELHOS NEGOSEK 12UN","311,74","","","","","","77,74"
"PINHAO KG","291,21","","","","","","131,66"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","287,84","","","","","","55,84"
"ALFACE CRESPA 1UN","273,72","1","3,00","","","","33,72"
"LARANJA PERA KG","177,64","7,500","22,19","","","","49,61"
"OVOS VERMELHOS NEGOSEK 6UN","175,23","","","","","","46,98"
"BANANA PRATA KG","170,62","","","","","","56,64"
"ABACAXI PEROLA 1UN","167,84","","","","","","75,56"
"REPOLHO 1UN","151,79","8","43,28","","","","-9,81"
"UVA THOMPSON 500GR","149,90","","","","","","58,62"
"MACA VERDE KG","82,07","0,350","4,36","","","","17,48"
"MORANGO BDJ 500GR","68,67","","","","","","8,67"
"UVA BRANCA KG","56,11","","","","","","18,68"
"CEBOLA REDE PRISA 1KG","55,93","","","","","","24,23"
"UVA NUBIA BDJ 500GR","51,96","","","","","","19,44"
"TOMATE CEREJA 250GR","41,94","","","","","","26,94"
"CEBOLINHA VERDE 1UN","33,83","","","","","","4,11"
"UVA PRETA 500GR","27,98","3","29,70","","","","-21,52"
"RABANETE UN 1UN","27,96","","","","","","7,96"
"ALFACE ROXA 1UN","27,93","1","3,00","","","","3,93"
"UVA VITORIA 500GR","25,98","","","","","","8,56"
"ALFACE AMERICANA 1UN","19,96","2","6,00","","","","1,96"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,34"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","6,28"
"KIWI BDJ 1UN","12,99","1","9,01","","","","-5,03"
"ALFACE LISA 1UN","11,97","7","21,00","","","","-18,03"
"MORGOTE KG","10,35","","","","","","5,45"
"TOMATE CAQUI KG","5,28","","","","","","1,67"
".TEMP.AGRO NASCENTE P/CARNEIR 500GR","4,99","","","","","","1,36"
"CEBOLA REDE AGRO NASCENTE 500GR","3,49","","","","","","1,19"
,"17.096,31",,"752,16",,"872,01","0,00","3.852,62"
