"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"PINHAO KG","451,88","","","24,295","204,27","","-61,35"
"MACA ARGENTINA KG","106,77","","","6,630","71,80","","-29,29"
"CENOURA KG","284,68","1,331","7,70","7,817","45,18","","62,56"
"PIMENTAO VERMELHO KG","48,06","2,852","27,51","3,048","29,32","","-37,40"
"LARANJA BAHIA KG","26,97","1,200","3,59","9,260","27,69","","-16,95"
"ALFACE AMERICANA 1UN","49,90","","","5","15,00","","4,90"
"BANANA PRATA KG","124,07","","","2,795","13,05","","28,11"
"GENGIBRE KG","22,68","","","1,140","12,35","","-1,05"
"CEBOLA CONSERVA KG","34,65","0,150","0,67","2,515","11,27","","-2,83"
"MORANGO BDJ 500GR","83,30","","","1","10,00","","3,30"
"BATATA KG","1.029,99","","","1,740","8,44","","320,56"
"ABACAXI GRANDE 1UN","61,14","5","42,05","1","8,41","","-26,00"
"KIWI KG","87,49","1,700","15,29","0,910","8,18","","-8,89"
"BATATA DOCE BRANCA KG","29,75","1,200","8,65","0,990","7,14","","-7,71"
"RUCULA 1UN","","","","2","6,00","","-6,00"
"ALHO KG","131,85","","","0,357","5,68","","48,62"
"BETERRABA KG","73,39","1,300","5,83","1,195","5,38","","14,90"
"PEPINO KG","99,20","1,550","8,24","0,995","5,29","","19,62"
"RABANETE UN 1UN","20,97","","","1","5,00","","0,97"
"MELANCIA KG","169,11","19,850","59,95","1,588","4,80","","-37,62"
"MAMAO KG","193,77","0,450","2,09","0,998","4,63","","33,00"
"PONKAN KG","118,31","2,050","4,55","1,850","4,11","","54,33"
"MANGA KG","198,00","2,550","13,45","0,666","3,51","","50,47"
"GOIABA KG","4,89","1,203","5,41","0,745","3,35","","-7,02"
"ABOBRINHA KG","114,28","","","0,820","3,14","","38,04"
"SALSINHA VERDE 1UN","93,53","","","3","3,00","","43,53"
"PEPINO JAPONES KG","72,91","0,650","3,68","0,495","2,66","","23,93"
"CAQUI KG","325,05","0,550","3,30","0,400","2,40","","79,65"
"CHUCHU KG","7,55","2","4,06","0,940","1,91","","-0,61"
"BATATA DOCE ROXA KG","62,89","","","0,450","1,24","","26,97"
"MACA VERDE KG","16,74","","","0,095","1,18","","3,28"
"CEBOLA ROXA KG","19,61","","","0,125","0,62","","5,16"
"MELAO AMARELO KG","26,46","","","0,115","0,56","","7,46"
"MARACUJA KG","57,03","0,300","2,44","0,075","0,55","","11,47"
"LIMAO KG","84,96","1","2,55","0,209","0,53","","42,85"
"ABOBORA CABOTIA KG","12,09","","","0,090","0,25","","3,33"
"UVA BRANCA KG","","0,400","2,40","0,026","0,16","","-2,56"
"BATATA SALSA KG","264,99","","","0,012","0,05","","113,71"
"BANANA CATURRA KG","802,19","13,930","26,05","","","","308,38"
"TOMATE SALADETE KG","541,19","4,850","35,04","","","","180,64"
"OVOS VERMELHOS DROSCZAKA 12UN","450,59","","","","","","143,09"
"OVOS VERMELHOS DROSCZAKA 30UN","367,84","","","","","","101,12"
"OVOS VERMELHOS NEGOSEK 12UN","344,38","","","","","","83,38"
"MACA GALA/FUJI KG","318,33","2,679","13,51","","","","142,22"
"CEBOLA KG","318,08","1","4,20","","","","109,51"
"TOMATE KG","256,27","4,784","33,03","","","","-24,93"
"BATATA REDE 3KG","199,83","","","","","","29,91"
"REPOLHO 1UN","167,76","1","5,13","","","","39,51"
"ABACAXI PEROLA 1UN","166,19","1","4,64","","","","87,31"
"LARANJA PERA KG","137,13","3,150","9,00","","","","49,20"
"ALFACE CRESPA 1UN","119,70","1","3,00","","","","26,70"
"BROCOLIS AMERICANO 1UN","118,83","7","37,01","","","","-8,79"
"FLOR VIOLETA P11 1UN","99,90","","","","","","32,18"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","89,95","","","","","","21,45"
"OVOS VERMELHOS NEGOSEK 6UN","89,53","","","","","","23,03"
"FLOR ANTHURIUM P15 1UN","87,98","","","","","","27,90"
"UVA ITALIA 500GR","64,95","","","","","","23,38"
"CEBOLA REDE PRISA 1KG","63,92","","","","","","16,72"
"ABACATE KG","63,89","0,750","1,79","","","","20,31"
"ALHO PRISA FIGURA 150GR","62,93","","","","","","21,14"
"UVA ROSADA BJ500GR","55,76","","","","","","6,98"
"MORANGO BDJ 200GR","39,60","","","","","","13,10"
"FLOR CYCLAMEN FLOR P14 1UN","34,90","","","","","","12,87"
"ALHO AGRO NASCENTE 500GR","29,98","","","","","","12,56"
"CEBOLINHA VERDE 1UN","29,85","","","","","","1,85"
"BROCOLIS/COUVE FLOR BJ1UN","27,96","1","5,77","","","","-0,89"
"UVA NUBIA BDJ 500GR","25,98","","","","","","9,72"
"UVA VITORIA 500GR","25,98","","","","","","8,56"
"MILHO VERDE BDJ 1UN","24,96","","","","","","10,56"
"PIMENTAO VERDE KG","24,49","3,877","29,70","","","","-18,48"
"COUVE FLOR 1UN","23,97","9","56,79","","","","-51,75"
"TOMATE CEREJA BDJ 300G 1UN","17,97","","","","","","7,17"
"UVA THOMPSON 500GR","14,99","","","","","","5,54"
"COCO SECO KG","13,66","","","","","","6,67"
"ALFACE LISA 1UN","11,97","","","","","","2,97"
"ALFACE ROXA 1UN","11,97","2","6,00","","","","-3,03"
"PIMENTAO AMARELO KG","11,94","1,203","18,73","","","","-15,61"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","2,38"
"CAQUI FUYU KG","5,14","","","","","","1,76"
"FLOR KALANCHOE DOBRADO P15 1UN","","","","","","",""
"JILO BDJ 200GR 1UN","","","","","","",""
"PIMENTA DEDO MOCA BDJ 150GR 1UN","","","","","","",""
"MIX LEGUMES 1UN","","","","","","",""
"FLOR BEGONIA 1UN","","","","","","",""
"FLOR GLOXINIA P14 1UN","","","","","","",""
"ABOBORA MORANGA KG","","","","","","",""
"FLOR PHALAENOPSIS MIX P12 1UN","","","","","","",""
"FLOR CACTUS MINI P06 1UN","","","","","","",""
,"9.978,32",,"512,80",,"538,10","0,00","2.261,73"
