"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA PRATA KG","876,73","8,500","39,70","35,675","166,60","","84,62"
"MAMAO HAVAI 1UN","703,89","13","66,60","24","129,60","","-17,31"
"LARANJA PERA KG","414,82","5,400","17,77","9,110","28,97","","99,74"
"MANGA KG","578,08","4,770","24,90","4,430","23,12","8,91","156,17"
"UVA RUBI KG","71,72","","","2,600","22,65","","4,43"
"MACA GALA/FUJI KG","729,55","11,050","76,55","2,670","18,45","","244,01"
"PERA KG","222,20","3,430","40,26","1,410","17,57","","28,19"
"CENOURA KG","429,49","1,790","7,09","3,625","15,41","","75,97"
"SALSINHA VERDE 1UN","281,06","","","13","13,00","","174,06"
"COGUMELO PARIS 300GR","35,98","","","1","12,65","","-1,97"
"PITAYA 1UN","899,61","2","13,96","3","12,42","","210,17"
"BATATA KG","1.113,17","13,820","39,39","4,020","11,38","","250,42"
"LARANJA BAHIA KG","82,02","1,850","13,85","1,410","10,00","","-4,30"
"PONKAN KG","14,65","0,680","4,15","1,500","9,17","","-7,71"
"BATATA DOCE ROXA KG","260,35","","","2,005","9,02","","83,64"
"TOMATE SALADETE KG","1.089,37","9,220","62,89","1,095","7,83","","184,46"
"PIMENTAO VERMELHO KG","142,74","1,510","6,80","1,729","7,78","","87,96"
"UVA ITALIA 500GR","51,96","4","30,16","1","7,54","","-13,58"
"UVA BRANCA KG","67,12","7,340","36,70","1,485","7,43","","-10,95"
"MELAO AMARELO KG","145,53","2,130","7,80","1,990","7,28","","39,27"
"BATATA SALSA KG","130,21","","","1,345","7,26","","36,30"
"BETERRABA KG","65,81","","","1,605","6,58","","20,62"
"RUCULA 1UN","223,44","","","2","6,00","","49,44"
"CHUCHU KG","71,77","4,340","13,17","1,995","5,99","","21,12"
"PEPINO JAPONES KG","367,88","4,570","32,40","0,845","5,41","","87,72"
"ALHO PRISA FIGURA 150GR","80,91","","","1","4,95","","22,95"
"CEBOLA ROXA KG","73,74","1,840","5,85","1,475","4,69","","18,25"
"MACA VERDE KG","126,16","0,640","7,81","0,370","4,51","","23,24"
"BROCOLIS AMERICANO 1UN","631,21","","","1","4,42","","256,22"
"BATATA SALSA BDJ 500GR","32,45","","","1","3,60","","5,35"
"ALHO PORO 1UN","83,86","","","1","3,56","","24,06"
