"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA GALA/FUJI KG","1.339,90","5,310","60,15","7,725","91,62","","269,31"
"GOIABA KG","180,19","1,840","10,34","5,530","31,08","","38,10"
"BETERRABA KG","60,94","","","7,540","30,91","","-16,05"
"BANANA PRATA KG","1.101,01","11,520","53,80","5,820","27,18","","284,25"
"LIMAO SICILIANO KG","131,42","1,690","26,63","1,705","26,87","","-31,24"
"MELANCIA KG","330,51","19,870","19,87","21,260","21,26","","95,08"
"CHUCHU KG","205,52","0,790","7,14","2,230","20,16","","53,52"
"MAMAO HAVAI 1UN","608,13","13","50,70","5","19,50","","198,63"
"BATATA KG","954,33","8,940","21,42","7,735","18,49","","327,92"
"TOMATE KG","585,37","3,260","12,11","4,915","18,04","","262,10"
"CENOURA KG","250,76","2,070","5,82","6,185","17,38","","85,52"
"GENGIBRE KG","43,56","1,080","17,00","1,065","16,76","","-20,13"
"MORGOTE KG","70,88","7,230","33,84","3,570","16,71","","-13,19"
"UVA ITALIA 500GR","129,90","","","2","16,24","","32,46"
"ABOBRINHA KG","146,46","2,300","13,25","3,980","16,16","","8,69"
"MORANGO BDJ 500GR","749,50","","","1","10,00","","239,50"
"MIRTILO 1UN","48,06","5","48,75","1","9,75","","-49,44"
"PEPINO JAPONES KG","196,42","1,330","4,47","2,850","9,58","","81,42"
"MANGA KG","427,16","0,840","3,23","2,440","9,37","","119,56"
"LARANJA PERA KG","419,47","15,120","43,60","2,940","8,47","","123,71"
"PESSEGO KG","317,19","54,840","219,36","2,050","8,20","","-122,39"
"SALSINHA VERDE 1UN","325,91","","","8","8,00","","208,91"
"BETERRABA MACO UN","11,98","","","2","8,00","","-4,02"
"OVOS VERMELHOS DROSCZAKA 12UN","138,60","","","1","7,17","","26,43"
"KIWI KG","86,80","","","0,375","7,13","","38,30"
"PIMENTA DEDO MOCA BDJ 150GR 1UN","25,98","1","6,92","1","6,92","","-1,70"
"PITAYA 1UN","306,38","","","2","6,62","","103,66"
"BATATA DOCE ROXA KG","112,83","1,140","3,81","1,910","6,38","","30,04"
"UVA ROSADA KG","477,50","","","1,270","6,35","","286,18"
"MAMAO KG","899,41","4,220","22,12","1,227","6,22","","369,38"
"AMEIXA KG","370,06","1,330","6,95","1,215","6,08","","143,04"
"ABACAXI GRANDE 1UN","198,00","","","1","6,00","","72,00"
"PEPINO KG","55,88","3,600","9,58","2,080","5,53","","5,05"
"ABOBORA CABOTIA KG","8,16","","","2,051","4,88","","-1,59"
"ABACATE KG","200,70","3,610","9,80","1,620","4,21","","76,28"
"COCO SECO KG","30,39","","","1,055","3,73","","10,62"
"BATATA SALSA BDJ 500GR","77,88","","","1","3,60","","17,87"
"CEBOLINHA VERDE 1UN","67,66","","","3","3,60","","23,26"
"MELAO ORANGE KG","","1,910","19,12","0,340","3,40","","-22,52"
"ALHO KG","263,41","","","0,183","3,24","","91,41"
"CEBOLA CONSERVA KG","47,99","","","1,410","3,16","","17,89"
"MELAO AMARELO KG","101,03","1,700","5,27","0,953","2,95","","43,37"
"PIMENTAO VERMELHO KG","50,05","0,230","1,54","0,410","2,75","","11,86"
"MACA VERDE KG","34,49","0,990","12,43","0,205","2,57","","-6,00"
"TOMATE CEREJA BDJ 300G 1UN","119,70","","","1","2,50","","39,45"
"UVA BRANCA KG","485,37","4,830","24,15","0,480","2,40","","213,13"
"LARANJA BAHIA KG","84,87","2,410","14,34","0,380","2,20","","21,61"
"CEBOLA ROXA KG","73,65","0,550","1,55","0,780","2,19","","35,39"
"ALFACE ROXA 1UN","113,70","2","4,00","1","2,00","","35,20"
"NECTARINA KG","","3,210","22,47","0,230","1,61","","-24,08"
"BERINGELA KG","6,57","0,800","2,33","0,370","1,08","","0,14"
"ABOBORA SECA KG","","","","0,480","1,05","","-1,05"
"CEBOLA KG","347,19","1,560","3,00","0,320","0,61","","152,64"
"PIMENTAO AMARELO KG","60,65","","","0,080","0,53","","19,68"
"ABOBORA MORANGA KG","","","","0,255","0,51","","-0,51"
"LIMAO KG","321,40","0,410","0,93","0,033","0,08","","142,53"
"CEBOLA BRANCA KG","40,39","","","0,010","0,06","","14,50"
"MARACUJA KG","266,02","1,610","11,29","0,005","0,04","","126,48"
"BANANA CATURRA KG","1.886,98","7,220","21,90","","","","708,46"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.086,30","","","","","","273,30"
"OVOS VERMELHOS NEGOSEK 12UN","704,25","","","","","","235,25"
"UVA THOMPSON 500GR","554,35","1","9,60","","","","179,95"
"TOMATE SALADETE KG","526,13","1,140","4,56","","","","231,04"
"BROCOLIS AMERICANO 1UN","431,28","","","","","","123,72"
"ALFACE AMERICANA 1UN","419,16","","","","","","209,16"
"OVOS VERMELHOS DROSCZAKA 30UN","413,82","","","","","","113,76"
"ALFACE CRESPA 1UN","370,75","1","2,50","","","","100,75"
"OVOS BRANCOS NEGOSEK 12UN","336,60","","","","","","107,60"
"MILHO VERDE BDJ 1UN","311,61","","","","","","97,11"
"PERA KG","292,76","7,810","102,46","","","","-14,00"
"MORANGO BDJ 200GR","255,68","","","","","","95,68"
"RUCULA 1UN","255,36","3","9,00","","","","54,36"
"TOMATE CEREJA BDJ 500GR","249,75","","","","","","99,75"
"MELAO REI KG","242,59","","","","","","75,37"
"ABACAXI PEROLA 1UN","197,78","","","","","","69,70"
"TOMATE CORACAO BOI BDJ 700GR","175,78","","","","","","65,78"
"UVA VITORIA 500GR","168,30","","","","","","48,15"
"OVOS VERMELHOS NEGOSEK 6UN","149,75","","","","","","56,00"
"COUVE FLOR 1UN","146,79","","","","","","32,69"
"ALFACE LISA 1UN","143,09","1","2,50","","","","38,09"
"BROCOLIS/COUVE FLOR BJ1UN","139,80","","","","","","40,16"
"COUVE MANTEIGA 1UN","139,65","2","6,00","","","","28,65"
"REPOLHO 1UN","126,70","","","","","","40,18"
"UVA ISIS BDJ 500GR","103,92","","","","","","43,60"
"CEBOLA REDE PRISA 1KG","103,87","","","","","","47,97"
"UVA ROSADA BJ500GR","90,03","","","","","","25,82"
"COGUMELO PARIS 300GR","89,95","","","","","","26,72"
"ALHO PRISA FIGURA 150GR","89,90","","","","","","31,00"
"MINI MELANCIA KG","86,86","","","","","","24,24"
"MACA PINK KG","85,78","1,570","26,80","","","","-14,60"
"MANJERICAO BDJ 30GR","79,90","","","","","","39,46"
"VAGEM BDJ 1UN","79,84","","","","","","35,04"
"COCO VERDE 1UN","69,30","4","28,80","","","","-9,90"
"QUIABO BDJ 200GR 1UN","59,95","2","16,16","","","","3,39"
"ALHO AGRO NASCENTE 150GR","55,93","","","","","","19,95"
