"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"UVA ROSADA KG","602,79","7,090","35,45","9,775","48,88","","285,67"
"MAMAO KG","808,24","17,370","90,92","8,838","47,73","","130,10"
"UVA BRANCA KG","455,88","3,370","16,85","7,150","35,75","","172,89"
"ERVILHA BDJ 200GR","","","","3","31,17","","-31,17"
"PESSEGO KG","358,81","13,430","53,72","7,165","28,66","","56,39"
"TOMATE SALADETE KG","690,84","5,750","17,41","8,505","25,34","","246,35"
"LARANJA PERA KG","417,28","4,040","12,12","7,325","21,98","","132,11"
"GENGIBRE KG","52,79","","","1,320","20,78","","-4,31"
"CEBOLINHA VERDE 1UN","81,59","5","6,00","13","15,60","","10,79"
"UVA ITALIA 500GR","103,92","","","2","15,08","","28,52"
"MELAO ORANGE KG","","0,570","5,71","1,400","14,01","","-19,72"
"PERA KG","209,48","0,200","2,62","1,035","13,58","","55,20"
"CENOURA KG","314,77","","","4,545","12,77","","121,89"
"COGUMELO PARIS 300GR","53,97","","","1","12,65","","3,37"
"CHUCHU KG","158,54","0,970","4,66","2,585","12,41","","71,56"
"MACA PINK KG","86,87","1,130","19,29","0,720","12,29","","-19,21"
"BATATA DOCE ROXA KG","151,06","1,110","4,33","3,080","12,01","","35,42"
"CEBOLA KG","324,21","0,330","0,59","6,729","10,77","","140,51"
"ALHO KG","247,11","","","0,578","10,23","","78,60"
"ABOBRINHA KG","241,59","0,370","2,13","1,740","10,02","","67,49"
"MORANGO BDJ 500GR","254,83","2","20,00","1","10,00","","54,83"
"PEPINO JAPONES KG","315,47","","","1,775","9,94","","87,59"
"MIRTILO 1UN","51,96","","","1","9,75","","3,21"
"GOIABA KG","73,53","8,800","26,40","3,090","9,27","","5,29"
"SALSINHA VERDE 1UN","340,86","","","9","9,00","","217,86"
"LARANJA BAHIA KG","131,47","3,760","21,81","1,505","8,73","","18,40"
"MANGA KG","554,35","","","2,770","8,53","","199,61"
"ALFACE AMERICANA 1UN","444,11","","","3","7,50","","214,11"
"PIMENTAO VERDE KG","34,78","1,060","4,73","1,365","7,10","","5,12"
"PIMENTAO VERMELHO KG","126,80","","","0,436","6,07","","28,95"
"ABACAXI GRANDE 1UN","59,40","10","60,00","1","6,00","","-42,60"
"ALHO PRISA FIGURA 150GR","71,92","","","1","4,95","","19,85"
"ABACATE KG","138,78","1,380","4,05","1,545","4,53","","48,44"
"MAMAO HAVAI 1UN","412,41","8","31,20","1","4,50","","122,61"
"RUCULA 1UN","207,48","8","24,50","1","3,50","","19,98"
"PEPINO KG","38,90","1,310","3,48","1,070","2,85","","11,84"
"MELAO REI KG","198,81","2,360","29,26","0,215","2,67","","15,41"
"ALFACE LISA 1UN","164,03","","","1","2,50","","44,03"
"KIWI KG","148,04","0,280","5,33","0,100","1,90","","64,45"
"BERINGELA KG","13,71","","","0,600","1,62","","5,91"
"MORGOTE KG","29,55","4,040","18,91","0,345","1,61","","-4,94"
"CEBOLA BRANCA KG","22,28","","","0,250","1,58","","6,46"
"BETERRABA KG","89,93","2","8,20","0,375","1,54","","27,06"
"PIMENTAO AMARELO KG","78,25","0,390","5,43","0,095","1,32","","14,54"
"MELAO SAPO KG","","","","0,330","1,19","","-1,19"
"MACA GALA/FUJI KG","1.164,69","9,070","86,19","0,100","0,95","","282,95"
"ABOBORA MORANGA KG","5,11","","","0,420","0,84","","0,85"
"COCO SECO KG","6,58","0,590","2,09","0,235","0,83","","0,19"
"MELAO AMARELO KG","164,71","","","0,045","0,14","","77,78"
"ABOBORA SECA KG","","","","0,035","0,08","","-0,08"
"BANANA CATURRA KG","1.852,03","1,980","6,34","","","","608,44"
"BANANA PRATA KG","1.077,26","1,670","7,80","","","","312,15"
"BATATA KG","946,34","16,340","43,11","","","","281,78"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","927,42","","","","","","231,42"
"OVOS VERMELHOS NEGOSEK 12UN","835,24","","","","","","265,24"
"UVA THOMPSON 500GR","719,52","","","","","","257,10"
"OVOS VERMELHOS DROSCZAKA 30UN","666,71","","","","","","192,94"
"OVOS VERMELHOS DROSCZAKA 12UN","650,43","","","","","","160,02"
"MELANCIA KG","642,82","14,330","16,20","","","","144,03"
"TOMATE KG","551,59","9,230","28,23","","","","271,19"
"MILHO VERDE BDJ 1UN","423,47","","","","","","131,97"
"ALFACE CRESPA 1UN","422,29","","","","","","135,29"
"OVOS BRANCOS NEGOSEK 12UN","415,80","","","","","","121,80"
"MORANGO BDJ 200GR","391,51","","","","","","146,51"
"BROCOLIS AMERICANO 1UN","353,41","","","","","","93,25"
"LIMAO KG","333,61","0,780","2,06","","","","151,91"
"TOMATE CEREJA BDJ 500GR","259,74","","","","","","103,74"
"MARACUJA KG","249,56","0,430","2,92","","","","124,49"
"PITAYA 1UN","239,46","","","","","","110,04"
"UVA VITORIA 500GR","171,49","","","","","","45,59"
"ALFACE ROXA 1UN","166,76","12","24,00","","","","54,76"
"ABACAXI PEROLA 1UN","150,35","6","33,54","","","","5,01"
"OVOS VERMELHOS NEGOSEK 6UN","148,34","","","","","","49,09"
"AMEIXA KG","121,41","4,800","24,00","","","","21,38"
"BROCOLIS/COUVE FLOR BJ1UN","111,84","","","","","","32,46"
"REPOLHO 1UN","109,78","","","","","","32,78"
"UVA RUBI BDJ 500GR","97,93","","","","","","37,03"
"COUVE FLOR 1UN","97,86","","","","","","21,76"
"TOMATE CEREJA BDJ 300G 1UN","95,76","","","","","","29,76"
"TOMATE CORACAO BOI BDJ 700GR","79,90","","","","","","29,90"
"COUVE MANTEIGA 1UN","75,81","1","3,00","","","","15,81"
"LIMAO SICILIANO KG","66,77","0,560","8,83","","","","5,06"
"QUIABO BDJ 200GR 1UN","59,95","","","","","","19,55"
"ALHO AGRO NASCENTE 150GR","55,93","","","","","","19,95"
"CEBOLA CONSERVA KG","50,80","0,110","0,23","","","","24,11"
"CEBOLA ROXA KG","49,92","0,910","3,41","","","","21,38"
"MACA VERDE KG","47,41","0,400","5,02","","","","6,97"
"UVA BRASIL BDJ 500GR","44,97","","","","","","20,76"
"MANJERICAO BDJ 30GR","39,95","","","","","","19,72"
"UVA ISIS BDJ 500GR","38,97","","","","","","14,61"
"BATATA SALSA BDJ 500GR","38,94","1","3,60","","","","7,14"
"VAGEM BDJ 1UN","34,93","","","","","","16,83"
"CEBOLA REDE PRISA 1KG","31,96","","","","","","14,76"
"UVA ROSADA BJ500GR","29,70","14","74,34","","","","-60,57"
"ALHO PORO 1UN","19,96","","","","","","3,48"
"REPOLHO ROXO 1UN","19,96","","","","","","7,96"
"COCO VERDE 1UN","19,80","","","","","","7,20"
"CENOURA BDJ 500GR","17,91","","","","","","6,66"
"MACA MONICA 1KG","16,99","","","","","","6,28"
"ABOBORA CABOTIA KG","16,08","","","","","","6,49"
"ALECRIM BDJ 50GR","15,98","","","","","","7,91"
"MIX PIMENTAO BDJ 300GR","14,99","1","10,45","","","","-5,91"
"PHYSALIS 1UN","13,99","","","","","","4,56"
"PIMENTA CAMBUCI BDJ 200GR 1GR","12,99","","","","","","6,07"
"PIMENTA DEDO MOCA BDJ 150GR 1UN","12,99","1","6,92","","","","-0,85"
"MINI MELANCIA KG","12,66","","","","","","3,53"
"ACELGA UN 1UN","11,98","","","","","","3,48"
"MAMAO PEDAÇOS KG","10,37","","","","","","4,15"
"MIX SOPA 3 PRATIC FOOD 500GR","10,00","","","","","","1,55"
"BETERRABA MACO UN","5,99","","","","","","1,99"
"COUVE PICADA BDJ 1UN","4,99","","","","","","1,99"
"UVA PRETA KG","3,51","","","","","","1,20"
"UVA UVARIA SEM SEMENTE 500GR","","","","","","",""
"ESCAROLA 1UN","","","","","","",""
"SALVIA BDJ 30GR","","","","","","",""
"ALFAVACA BDJ 30GR 1UN","","","","","","",""
"HORTELA BDJ 30GR 1UN","","","","","","",""
,"24.919,26",,"927,38",,"542,70","0,00","7.527,61"
