"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"LARANJA PERA KG","402,98","8,070","26,63","13,820","45,61","","64,63"
"BROCOLIS/COUVE FLOR BJ1UN","118,83","","","9","45,18","","-11,02"
"TOMATE SALADETE KG","750,91","13,660","61,91","9,288","44,30","","149,07"
"ALFACE ROXA 1UN","162,97","2","5,00","9","22,50","","29,47"
"BATATA KG","1.157,72","31,790","90,49","7,110","20,76","","218,07"
"MARACUJA KG","311,00","3,150","34,05","1,685","18,21","","39,19"
"ABACAXI GRANDE 1UN","135,66","5","30,00","3","18,00","","3,66"
"MACA GALA/FUJI KG","1.043,61","6,950","58,40","2,395","17,79","","436,79"
"ABOBRINHA KG","363,75","1,060","7,37","2,135","16,01","","42,98"
"MANGA KG","453,03","2,090","10,19","2,565","12,88","","96,85"
"BATATA DOCE ROXA KG","236,99","0,250","1,13","2,660","11,97","","66,95"
"BROCOLIS AMERICANO 1UN","317,56","","","2","10,98","","82,44"
"MAMAO HAVAI 1UN","705,99","20","108,00","2","10,80","","41,79"
"PEPINO JAPONES KG","214,02","12,830","78,45","2,110","10,74","","-32,00"
"PERA KG","225,09","0,250","3,12","0,765","10,03","","66,93"
"MELAO ORANGE KG","","1","10,01","1","10,01","","-20,02"
"CENOURA KG","240,91","3,410","10,37","3,195","10,00","","58,12"
"UVA THOMPSON 500GR","719,52","","","1","8,70","","312,04"
"ABACATE KG","162,15","2,070","6,16","2,675","8,69","","49,20"
"UVA ISIS BDJ 500GR","38,97","8","64,96","1","8,12","","-58,47"
"GENGIBRE KG","36,24","","","0,480","7,56","","3,77"
"UVA ITALIA 500GR","51,96","","","1","7,54","","14,26"
"PIMENTA DEDO MOCA BDJ 150GR 1UN","12,99","","","1","6,93","","-0,87"
"JILO BDJ 200GR 1UN","","1","6,93","1","6,93","","-13,86"
"GOIABA KG","97,70","6,140","19,25","1,990","6,23","","12,24"
"MELAO AMARELO KG","225,04","3,510","11,04","2,050","6,11","","83,21"
"MELANCIA KG","505,79","5,210","5,99","4,810","5,53","","136,22"
"KIWI KG","197,70","1,020","21,41","0,255","5,35","","60,21"
"LARANJA BAHIA KG","167,90","1,590","12,58","0,675","5,34","","23,82"
"SALSINHA VERDE 1UN","275,08","7","7,00","4","5,20","","167,58"
"CHUCHU KG","183,46","3","10,32","1,500","5,16","","112,99"
"BETERRABA KG","31,08","","","1,090","4,81","","6,92"
"HORTELA BDJ 30GR 1UN","20,97","3","12,15","1","4,05","","-7,38"
"OVOS VERMELHOS NEGOSEK 6UN","177,91","","","1","4,00","","53,91"
"AMEIXA KG","173,04","3,240","16,20","0,745","3,73","","43,50"
"PIMENTAO VERDE KG","41,18","1,530","5,81","0,965","3,67","","15,01"
"PIMENTAO AMARELO KG","94,00","1,490","15,45","0,350","3,63","","24,60"
"MORGOTE KG","43,84","3,070","14,74","0,740","3,55","","4,30"
"RUCULA 1UN","255,36","7","21,00","1","3,00","","39,36"
"TOMATE CEREJA BDJ 300G 1UN","204,49","","","1","2,75","","55,51"
"CEBOLA ROXA KG","63,01","","","0,675","2,15","","27,40"
"COUVE MANTEIGA 1UN","67,83","","","1","2,00","","29,33"
"CEBOLINHA VERDE 1UN","75,62","4","4,80","2","1,98","","25,55"
"PEPINO KG","25,69","2,890","11,94","0,400","1,65","","-9,87"
"NECTARINA KG","8,19","2,020","14,14","0,210","1,47","","-11,83"
"COCO SECO KG","21,03","","","0,290","1,03","","8,91"
"CEBOLA BRANCA KG","","0,290","1,84","0,080","0,51","","-2,35"
"MACA VERDE KG","133,03","1,290","16,91","0,025","0,33","","15,15"
"ABOBORA CABOTIA KG","4,98","","","0,125","0,31","","0,29"
"CEBOLA CONSERVA KG","40,46","","","0,120","0,27","","17,50"
"UVA BRANCA KG","377,86","2,250","11,25","0,045","0,23","","138,47"
"ABOBORA MORANGA KG","","","","0,110","0,22","","-0,22"
"UVA ROSADA KG","604,98","1,660","9,96","0,035","0,21","","346,18"
"BERINGELA KG","11,89","0,240","1,09","0,055","0,15","","5,29"
"BANANA CATURRA KG","2.151,97","23,830","79,60","","","","628,69"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.512,67","","","","","","268,67"
"BANANA PRATA KG","1.117,59","21,740","101,52","","","","269,40"
"MAMAO KG","1.071,78","4,140","22,35","","","","464,80"
"PITAYA 1UN","868,66","7","29,30","","","","249,74"
"OVOS VERMELHOS DROSCZAKA 30UN","827,64","","","","","","237,18"
"MORANGO BDJ 500GR","745,04","","","","","","245,04"
"OVOS VERMELHOS DROSCZAKA 12UN","654,78","","","","","9,90","167,77"
"OVOS VERMELHOS NEGOSEK 12UN","637,42","","","","","","202,42"
"ALFACE CRESPA 1UN","511,99","2","4,00","","","","181,49"
"TOMATE KG","488,91","42,560","172,20","","","","-14,24"
"ALFACE AMERICANA 1UN","424,15","","","","","","211,65"
"LIMAO KG","422,52","0,340","0,88","","","","172,72"
"OVOS BRANCOS NEGOSEK 12UN","376,20","","","","","","110,20"
"MORANGO BDJ 200GR","375,53","","","","","","140,53"
"CEBOLA KG","360,47","5,850","10,40","","","","168,38"
"MILHO VERDE BDJ 1UN","359,55","","","","","","112,05"
"MELAO REI KG","320,65","1,470","18,23","","","","81,45"
"CAQUI KG","297,37","","","","","","55,04"
"MACA PINK KG","274,34","0,450","7,68","","","","20,15"
"ALHO KG","249,32","","","","","","95,85"
"COUVE FLOR 1UN","195,72","","","","","","44,20"
"ALFACE LISA 1UN","146,58","2","5,00","","","","36,58"
"ALHO PRISA FIGURA 150GR","134,85","","","","","","46,50"
"UVA VITORIA 500GR","131,89","","","","","","30,16"
"REPOLHO 1UN","131,75","2","7,85","","","","30,45"
"ABACAXI PEROLA 1UN","125,86","1","4,88","","","","52,00"
"TOMATE CEREJA BDJ 500GR","119,88","","","","","","47,88"
"MIRTILO 1UN","117,74","","","","","","26,74"
"UVA RUBI BDJ 500GR","111,92","","","","","","48,48"
"PIMENTAO VERMELHO KG","98,89","2,820","12,69","","","","61,14"
"ALHO PORO 1UN","92,84","7","28,00","","","","-2,64"
"TOMATE CORACAO BOI BDJ 700GR","87,89","","","","","","32,89"
"UVA ROSADA BJ500GR","59,40","","","","","","29,90"
"BATATA SALSA BDJ 500GR","58,41","","","","","","16,11"
"MANJERICAO BDJ 30GR","55,93","2","8,38","","","","18,92"
"BATATA SALSA KG","53,07","","","","","","13,16"
"CEBOLA REDE PRISA 1KG","47,94","","","","","","22,14"
"UVA BRASIL BDJ 500GR","44,97","","","","","","20,76"
"REPOLHO ROXO 1UN","44,91","1","3,50","","","","9,91"
"LIMAO SICILIANO KG","36,61","","","","","","7,60"
"COGUMELO PARIS 300GR","35,98","1","12,64","","","","-1,95"
"ERVILHA BDJ 200GR","25,98","","","","","","5,20"
"QUIABO BDJ 200GR 1UN","23,98","2","16,16","","","","-8,34"
"CENOURA BDJ 500GR","21,89","1","1,25","","","","6,89"
"COCO VERDE 1UN","19,80","","","","","","10,20"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","5,40"
"MIX PIMENTAO BDJ 300GR","14,99","1","10,39","","","","-6,15"
"COUVE PICADA BDJ 1UN","14,97","","","","","","5,97"
"ALFACE CRESPA ROXA 1UN","9,96","","","","","","3,96"
"ALFAVACA BDJ 30GR 1UN","7,99","1","4,05","","","","-0,11"
"MELAO SAPO KG","6,57","","","","","","3,28"
"ACELGA UN 1UN","5,99","","","","","","1,49"
"ALMEIRAO 1UN","4,99","","","","","","1,99"
"ESCAROLA 1UN","4,49","1","3,00","","","","-1,51"
"UVA RUBI KG","2,17","","","","","","0,82"
"PESSEGO KG","2,10","","","","","","0,90"
"ALECRIM BDJ 50GR","","","","","","",""
"MINI MELANCIA KG","","","","","","",""
"ABOBORA SECA KG","","","","","","",""
,"28.154,40",,"1.421,99",,"474,86","9,90","7.751,67"
