"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"TOMATE KG","2.015,08","68,240","213,78","73,302","223,50","","662,13"
"BANANA PRATA KG","4.582,56","17,920","83,69","45,100","210,62","","1.227,46"
"MELANCIA KG","2.828,73","15,650","28,58","99,352","184,78","","874,14"
"NECTARINA KG","1.258,25","48,080","380,66","21,506","172,05","","-61,52"
"MAMAO KG","5.023,71","28,470","223,65","17,405","143,22","","1.507,48"
"PESSEGO KG","4.386,53","90,750","369,11","43,409","141,63","","1.508,56"
"LARANJA PERA KG","1.648,82","36,200","101,96","42,980","124,20","","430,83"
"BATATA KG","3.598,60","83,750","227,66","44,520","118,12","","835,83"
"CENOURA KG","1.154,20","4,230","11,95","34,345","111,90","","397,93"
"MARACUJA KG","986,72","0,200","2,13","8,040","111,39","","302,27"
"MACA PINK KG","614,17","1,430","22,40","7,905","106,16","","-5,54"
"MANGA KG","2.085,05","23,823","91,34","27,724","105,18","","669,93"
"GOIABA KG","651,59","41,040","293,91","13,979","104,15","","-55,59"
"UVA ITALIA 500GR","493,62","2","17,18","12","103,26","","58,71"
"AMEIXA KG","1.942,93","7,520","47,98","12,330","102,46","","910,92"
"PEPINO JAPONES KG","1.525,36","3,780","23,29","17,215","93,85","","586,63"
"MORANGO BDJ 500GR","3.493,76","","","9","90,00","","1.163,76"
"ABACATE KG","804,20","12,730","40,86","18,595","89,56","","282,24"
"BETERRABA KG","164,31","3,760","11,58","29,506","87,38","","-39,11"
"CHUCHU KG","330,61","0,430","2,40","15,400","85,50","","-38,69"
"UVA ROSADA KG","2.434,34","13,660","96,85","8,665","64,89","","857,78"
"MORGOTE KG","189,57","19,430","109,72","11,470","64,77","","-92,82"
"BANANA CATURRA KG","8.271,59","118,470","452,26","17,585","63,31","","2.433,54"
"PERA KG","475,23","2,420","31,85","4,750","61,23","","130,72"
"MELAO CAIPIRA KG","232,06","1,610","8,05","10,070","50,35","","35,99"
