"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA PRATA KG","1.553,45","5,270","24,61","28,775","134,38","","356,56"
"MELANCIA KG","733,12","2,970","2,97","59,595","99,69","","227,36"
"NECTARINA KG","406,83","12,260","94,10","10,245","81,96","","-11,97"
"MACA PINK KG","101,10","","","3,970","49,27","","-11,20"
"BATATA KG","1.299,28","7,940","19,51","18,680","45,25","","486,32"
"MELAO CAIPIRA KG","13,61","1,610","8,05","8,825","44,13","","-44,25"
"MORANGO BDJ 500GR","1.588,94","","","4","40,00","","488,94"
"LARANJA PERA KG","531,34","5,830","16,17","13,415","38,22","","176,15"
"PESSEGO KG","1.344,12","12,920","52,08","7,605","34,22","","477,75"
"CENOURA KG","456,82","0,130","0,37","10,650","31,11","","208,72"
"PHYSALIS 1UN","","3","29,28","3","29,28","","-58,56"
"MANGA KG","669,34","4,713","19,05","7,940","29,21","","292,03"
"PEPINO JAPONES KG","589,65","3,200","17,57","3,805","28,95","","332,26"
"CHUCHU KG","137,03","","","3,920","28,88","","-17,59"
"MORGOTE KG","64,89","2,570","14,47","4,755","27,10","","-13,05"
"LICHIA BDJ 300UN","","2","17,60","3","26,40","","-44,00"
"GOIABA KG","253,11","13,490","82,32","3,764","23,14","","45,97"
"LIMAO SICILIANO KG","88,44","0,780","11,65","1,360","20,30","","-18,52"
"MACA VERDE KG","100,66","0,630","7,91","1,480","18,59","","-0,26"
"UVA UVARIA SEM SEMENTE 500GR","791,93","","","3","18,00","","221,93"
"ABACAXI PEROLA 1UN","260,71","8","48,00","3","18,00","","23,99"
"BATATA DOCE ROXA KG","184,16","1,180","3,68","5,525","17,85","","50,36"
"MARACUJA KG","405,65","","","1,680","17,83","","202,81"
"UVA ITALIA 500GR","155,88","1","8,13","2","16,26","","33,94"
"UVA ROSADA KG","676,64","5,260","33,84","2,140","15,96","","215,95"
"TOMATE KG","703,05","0,820","3,28","4,040","15,72","","339,11"
"ALHO PORO 1UN","94,81","","","5","15,00","","11,41"
"BATATA SALSA BDJ 500GR","64,90","","","4","14,40","","3,50"
"COCO VERDE 1UN","19,80","","","2","14,40","","-9,00"
"CEBOLA BRANCA KG","68,76","","","2,175","13,77","","11,02"
"UVA THOMPSON 500GR","494,67","1","6,74","2","13,46","","229,31"
"ABACATE KG","191,68","6,850","19,25","3,685","13,30","","70,47"
"COUVE MANTEIGA 1UN","139,65","","","4","12,00","","22,65"
"MILHO VERDE BDJ 1UN","719,32","","","2","11,00","","185,82"
"CEBOLA KG","459,77","2,320","3,89","6,682","10,75","","199,71"
"ALFAFA 150GR","","","","1","10,50","","-10,50"
"ALFACE CRESPA 1UN","424,67","","","8","10,40","","171,77"
"TOMATE CEREJA BDJ 300G 1UN","159,60","","","4","10,00","","52,24"
"ALHO KG","407,88","","","0,605","9,81","","154,34"
"SALSINHA VERDE 1UN","313,95","","","9","9,00","","199,95"
"RUCULA 1UN","167,58","","","3","9,00","","32,58"
"TOMATE SALADETE KG","762,16","0,900","3,43","2,330","8,35","","259,95"
"ABOBRINHA KG","293,83","0,810","2,77","2,300","8,30","","160,88"
"UVA BRANCA KG","418,07","5,160","36,12","1,110","8,12","","70,70"
"COCO SECO KG","23,32","0,600","2,93","1,540","7,52","","-2,60"
"MACA GALA/FUJI KG","1.193,51","0,340","2,75","0,840","6,42","","398,40"
"AMEIXA KG","826,00","3,110","17,44","1,115","6,13","","351,23"
"PERA KG","167,23","0,780","3,97","1,150","5,87","","114,51"
"REPOLHO ROXO 1UN","34,93","","","2","5,64","","9,95"
"COUVE FLOR 1UN","174,75","1","5,42","1","5,43","","28,27"
"BROCOLIS/COUVE FLOR BJ1UN","244,63","","","1","4,98","","58,20"
"GENGIBRE KG","42,83","1,940","28,15","0,340","4,93","","-18,87"
"ABOBRINHA BRASILEIRINHA KG","7,57","","","0,475","4,75","","-2,23"
"MELAO AMARELO KG","189,29","","","1,380","4,71","","82,00"
"ABOBORA PESCOCO BDJ 1UN","","","","1","4,66","","-4,66"
"BATATA SALSA KG","100,26","","","1,095","4,38","","26,51"
"KIWI KG","241,61","","","0,195","4,15","","113,27"
"PIMENTAO AMARELO KG","67,51","1,150","7,65","0,570","3,82","","26,25"
"PIMENTAO VERMELHO KG","100,08","","","0,560","3,76","","53,55"
"BETERRABA KG","74,07","1,330","4,19","1,111","3,50","","19,62"
"CEBOLA CONSERVA KG","57,70","1,640","3,67","1,505","3,37","","18,30"
"MAMAO KG","1.389,80","11,440","82,34","0,465","3,29","","485,16"
"LARANJA BAHIA KG","108,74","1,300","7,80","0,505","3,03","","54,38"
"VAGEM VERDE PRUST BDJ 1UN","57,07","","","1","3,00","","15,07"
"ABOBORA CABOTIA KG","34,68","","","1,170","2,85","","11,13"
"LIMAO KG","581,70","6,690","18,34","1,040","2,81","","293,96"
"CEBOLA ROXA KG","93,00","0,280","0,79","0,465","2,47","","45,40"
"CEBOLINHA VERDE 1UN","125,37","2","2,40","2","2,40","","50,97"
"ALFACE AMERICANA 1UN","274,44","","","1","2,30","","104,89"
"ALFACE ROXA 1UN","219,82","","","1","2,00","","94,82"
"MELAO SAPO KG","18,23","","","0,492","1,77","","7,07"
"PEPINO KG","72,89","0,165","0,33","0,830","1,68","","40,66"
"CARAMBOLA KG","","","","0,080","0,94","","-0,94"
"ABOBORA SECA KG","1,94","1","2,19","0,345","0,76","","-2,07"
"BERINGELA KG","29,49","0,550","1,60","0,220","0,64","","12,92"
