"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","2.005,84","","","","","","490,01"
"BATATA KG","1.232,96","12,130","40,44","","","","371,72"
"TOMATE SALADETE KG","1.141,98","2,120","16,26","","","","560,90"
"MACA GALA/FUJI KG","950,98","4,260","21,13","","","","386,83"
"OVOS VERMELHOS DROSCZAKA 30UN","945,67","","","","","","228,17"
"TOMATE KG","936,11","7,940","33,07","","","","376,72"
"OVOS VERMELHOS NEGOSEK 12UN","863,28","","","","","","215,28"
"BANANA PRATA KG","851,03","","","","","","282,00"
"MAMAO KG","783,45","9,490","47,36","","","","245,51"
"BROCOLIS AMERICANO 1UN","745,41","","","","","","293,47"
"CENOURA KG","733,88","","","","","","-28,92"
"CAQUI KG","711,43","0,160","0,88","","","","246,70"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","665,63","","","","","","129,13"
"OVOS VERMELHOS DROSCZAKA 12UN","659,40","","","","","","189,60"
"CEBOLA KG","642,18","3,340","11,14","","","","242,41"
"MAMAO HAVAI 1UN","627,04","11","49,28","","","","174,56"
"UVA THOMPSON 500GR","509,66","","","","","","221,66"
"MANGA KG","509,23","10,070","60,56","","","","57,06"
"MELAO REI KG","464,94","1,580","21,63","","","","89,49"
"ALFACE AMERICANA 1UN","444,11","","","","","","124,60"
"ALFACE CRESPA 1UN","407,84","","","","","","96,84"
"LIMAO KG","391,35","0,740","2,08","","","","168,89"
"OVOS BRANCOS NEGOSEK 12UN","383,68","","","","","","111,68"
"MORANGO BDJ 200GR","356,40","","","","","","176,40"
"LARANJA BAHIA KG","329,51","3,420","32,44","","","","106,31"
"TOMATE CEREJA BDJ 300G 1UN","281,53","","","","","","119,38"
"PEPINO JAPONES KG","278,12","","","","","","85,16"
"AMEIXA KG","260,09","","","","","","98,45"
"ALHO KG","258,06","","","","","3,74","113,19"
"REPOLHO 1UN","251,64","","","","","","70,20"
"MORANGO BDJ 500GR","235,42","","","","","","43,42"
"MELAO AMARELO KG","225,59","1,250","6,09","","","","52,27"
"LARANJA PERA KG","224,91","8,640","25,77","","","","63,67"
"MELANCIA KG","210,69","10,620","14,07","","","","-37,83"
"ABOBRINHA KG","201,60","0,480","2,41","","","","34,41"
"ALFACE LISA 1UN","199,50","2","6,00","","","","43,50"
"BATATA SALSA KG","196,31","0,240","1,08","","","","53,42"
