"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"UVA THOMPSON 500GR","760,04","","","10","89,80","","179,22"
"BANANA PRATA KG","1.337,35","","","9,795","45,74","","397,99"
"LARANJA PERA KG","382,07","5,180","15,50","14,910","43,98","","95,59"
"COGUMELO PARIS 300GR","17,99","","","3","37,95","","-32,78"
"MAMAO HAVAI 1UN","659,88","32","117,09","8","29,12","","160,56"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.092,83","","","2","29,00","","179,33"
"PERA KG","283,37","0,240","2,52","2,735","28,69","","53,06"
"MELANCIA KG","304,53","12,540","36,77","8,572","27,86","","-15,36"
"GENGIBRE KG","66,24","0,950","10,74","2,135","24,13","","-3,09"
"CEBOLA ROXA KG","119,20","","","4,400","16,90","","21,31"
"BETERRABA KG","38,19","","","3,745","16,40","","-2,17"
"CAQUI KG","1.336,46","2,860","16,88","2,725","16,35","","561,21"
"TOMATE SALADETE KG","1.829,07","8,380","57,94","2,005","15,02","","658,84"
"MELAO REI KG","753,94","","","0,770","10,53","","179,42"
"OVOS VERMELHOS NEGOSEK 6UN","284,72","","","2","9,50","","66,22"
"LIMAO SICILIANO KG","17,51","","","0,745","7,99","","-0,48"
"ABACATE KG","271,23","","","2,820","7,59","","104,29"
"GOIABA KG","217,53","5,190","23,37","1,608","7,24","","46,82"
"UVA RUBI BDJ 500GR","97,93","","","1","7,21","","39,06"
"LARANJA BAHIA KG","492,56","0,710","3,03","1,280","5,47","","319,95"
"MANGA KG","987,05","5,970","34,81","0,810","4,62","","256,66"
"AMEIXA BDJ 1UN","","","","1","4,50","","-4,50"
"AMEIXA KG","601,93","0,650","5,20","0,495","3,96","","214,73"
"ABACAXI PEROLA 1UN","271,57","5","19,65","1","3,93","","79,07"
"MORGOTE KG","","2,230","15,01","0,500","3,37","","-18,38"
"CENOURA KG","1.094,25","0,470","3,36","0,445","2,94","","344,54"
"ALHO KG","316,77","","","0,168","2,69","","128,69"
"PONKAN KG","3,52","6,630","26,52","0,615","2,46","","-27,22"
"COCO SECO KG","18,02","","","0,678","2,29","","6,51"
"COUVE MANTEIGA 1UN","67,83","","","1","2,00","","31,83"
"TOMATE KG","1.807,97","3,400","22,75","0,457","1,83","","408,75"
"ABOBORA CABOTIA KG","54,13","","","0,450","1,41","","10,24"
"BATATA DOCE ROXA KG","311,85","","","0,435","1,20","","132,59"
"CEBOLINHA VERDE 1UN","153,23","1","1,20","1","1,20","","58,43"
"CEBOLA CONSERVA KG","78,83","0,070","0,26","0,213","0,80","","18,72"
"PIMENTAO VERMELHO KG","191,90","","","0,057","0,63","","92,27"
"PIMENTAO AMARELO KG","75,25","1,180","17,68","0,045","0,53","","11,57"
