"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"NECTARINA KG","110,22","2,160","15,12","6,495","45,47","","-9,79"
"BANANA PRATA KG","950,36","4,020","18,77","7,575","35,38","","261,89"
"CENOURA KG","388,99","1,570","4,41","11,200","31,47","","135,99"
"PIMENTAO VERDE KG","20,09","0,470","1,79","7,270","27,63","","-20,21"
"LARANJA PERA KG","391,44","2,750","8,50","8,650","27,51","","93,03"
"MANGA KG","548,92","3,510","14,24","6,130","25,32","","135,24"
"BETERRABA KG","53,02","","","5,315","23,44","","-3,87"
"PEPINO JAPONES KG","269,91","","","4,715","19,99","","93,86"
"UVA BRANCA KG","363,08","3,320","16,60","3,840","19,20","","142,92"
"PHYSALIS 1UN","27,98","5","47,15","2","18,86","13,99","-56,89"
"BATATA KG","1.046,58","10,380","28,09","6,645","18,47","","275,21"
"TOMATE SALADETE KG","850,68","9,740","40,60","4,275","17,83","","284,31"
"ABOBORA MORANGA KG","","2,590","5,18","8,280","16,56","","-21,74"
"ALHO PORO 1UN","64,87","","","4","16,00","","-4,69"
"LARANJA BAHIA KG","135,07","0,480","3,16","2,170","14,30","","19,45"
"BATATA DOCE ROXA KG","239,52","0,770","3,70","2,720","13,06","","41,93"
"UVA ROSADA KG","600,09","3,230","16,15","2,606","13,03","","338,88"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.231,23","","","1","12,50","","279,73"
"KIWI KG","262,65","","","0,480","11,33","","91,47"
"COCO VERDE 1UN","59,40","2","10,80","2","10,80","","5,40"
"MELAO REI KG","314,10","","","0,700","9,51","","86,58"
"PIMENTAO AMARELO KG","77,28","","","0,845","8,76","","20,19"
"MELANCIA KG","697,05","","","6,990","8,04","","174,35"
"UVA ITALIA 500GR","116,91","","","1","7,54","","41,51"
"BATATA INHAME BDJ 300GR 1UN","","","","1","6,92","","-6,92"
"CHUCHU KG","157,55","8,020","58,94","0,895","6,58","","20,18"
"MELAO ORANGE KG","33,35","1,170","11,71","0,635","6,36","","-6,99"
"SALSINHA VERDE 1UN","298,15","","","6","6,00","","192,15"
"CEBOLA ROXA KG","85,98","1,030","3,86","1,415","5,31","","26,12"
"MARACUJA KG","244,05","0,610","5,12","0,445","5,07","","62,72"
"MACA GALA/FUJI KG","1.268,64","3,730","33,75","0,420","4,33","","511,78"
"ALFACE CRESPA 1UN","397,86","1","2,00","2","4,00","","163,86"
"CEBOLA KG","324,68","0,390","0,69","2,344","3,84","","149,54"
"CEBOLINHA VERDE 1UN","85,57","","","3","3,60","","30,37"
"ABACATE KG","175,55","9,600","29,74","0,975","3,49","","24,63"
