"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"ATEMOIA 1UN","129,68","","","37","120,25","","-65,32"
"BANANA PRATA KG","1.009,59","2,980","13,92","17,920","83,69","","237,42"
"CENOURA KG","581,56","1,370","7,89","8,410","62,65","","90,96"
"BROCOLIS AMERICANO 1UN","607,24","","","10","44,10","","227,78"
"TOMATE SALADETE KG","1.097,15","7,430","53,81","4,585","37,69","","162,05"
"REPOLHO ROXO 1UN","58,92","","","5","32,90","","-18,14"
"BATATA KG","1.328,55","7,880","25,92","8,835","29,07","","422,63"
"BATATA SALSA KG","79,48","1,180","5,31","5,580","25,11","","-1,25"
"LARANJA PERA KG","212,40","8,950","26,88","6,975","20,79","","19,35"
"MARACUJA KG","150,74","1,730","11,55","3,015","20,29","","15,73"
"MELAO REI KG","165,05","","","1,520","19,40","","20,75"
"MANGA KG","550,13","2,410","12,58","2,810","14,67","","159,44"
"CEBOLA KG","435,27","1,770","4,99","4,334","13,83","","108,67"
"PEPINO JAPONES KG","286,69","0,490","2,47","2,385","12,02","","85,75"
"MILHO VERDE BDJ 1UN","167,76","","","2","11,00","","24,76"
"LARANJA BAHIA KG","331,92","2,600","26,88","0,960","9,87","","81,85"
"ABOBORA CABOTIA KG","35,27","","","3,335","9,37","","1,07"
"ABOBRINHA KG","148,63","0,430","1,39","2,605","9,17","","36,76"
"PIMENTAO VERMELHO KG","104,29","","","0,587","8,79","","17,76"
"UVA BRASIL BDJ 500GR","14,99","","","1","8,07","","-1,78"
"ESPINAFRE 1UN","44,91","","","2","8,00","","0,91"
"PIMENTA DEDO MOCA BDJ 150GR 1UN","12,99","1","7,00","1","7,00","","-8,01"
"CEBOLA CONSERVA KG","36,09","1,380","3,80","2,480","6,82","","0,62"
"LIMAO SICILIANO KG","43,58","","","0,560","6,61","","11,12"
"ALFACE LISA 1UN","207,48","","","2","6,00","","45,48"
"PONKAN KG","10,91","0,920","3,68","1,340","5,36","","-3,59"
"MORANGO BDJ 200GR","227,70","","","1","5,00","","107,70"
