"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"ALHO KG","308,72","","","0,445","7,36","","109,33"
"PIMENTAO VERMELHO KG","116,84","","","0,597","6,69","","19,70"
"MARACUJA KG","119,66","0,210","1,61","0,775","5,94","","21,60"
"ABOBRINHA KG","228,23","0,150","0,55","1,005","3,66","","72,88"
"GOIABA KG","85,59","14,650","65,94","0,750","3,38","","-31,96"
"KIWI KG","145,14","0,190","1,52","0,275","2,34","17,46","36,16"
"BATATA DOCE ROXA KG","178,60","","","0,825","2,27","","68,07"
"CAQUI KG","561,47","5,060","27,69","0,410","2,05","","173,79"
"CHUCHU KG","149,94","","","0,490","1,69","","44,61"
"GENGIBRE KG","60,12","","","0,135","1,53","","27,33"
"LIMAO SICILIANO KG","38,20","","","0,110","1,18","","16,44"
"BATATA SALSA KG","890,93","0,040","0,16","0,240","1,08","","326,93"
"PIMENTAO VERDE KG","57,60","0,200","2,03","0,100","1,02","1,15","14,91"
"MINI MELANCIA KG","38,56","","","0,040","0,31","","8,06"
"ABOBORA MORANGA KG","23,47","","","0,105","0,21","","7,56"
"BATATA KG","2.675,53","1,750","11,23","","","12,31","546,33"
"BANANA CATURRA KG","1.873,83","","","","","90,31","923,11"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.468,49","","","","","10,50","193,49"
"OVOS VERMELHOS DROSCZAKA 30UN","1.258,13","","","","","16,08","341,28"
"TOMATE KG","1.172,77","14,230","99,04","","","4,43","247,31"
"TOMATE SALADETE KG","1.024,76","1,940","14,53","","","3,85","356,73"
"CENOURA KG","972,02","","","","","3,44","371,23"
"MORANGO BDJ 500GR","971,46","","","","","","297,46"
"MAMAO KG","892,02","1,670","7,75","","","17,91","292,70"
"MACA GALA/FUJI KG","886,77","3,570","17,85","","","78,67","401,52"
"BROCOLIS AMERICANO 1UN","879,12","","","","","7,71","290,83"
"BANANA PRATA KG","857,31","","","","","2,86","308,31"
"MANGA KG","829,74","0,370","1,95","","","14,29","264,52"
"OVOS VERMELHOS DROSCZAKA 12UN","721,85","","","","","6,93","226,85"
"CEBOLA KG","661,84","0,410","1,72","","","0,77","250,91"
"UVA THOMPSON 500GR","607,47","","","","","10,50","208,06"
"OVOS VERMELHOS NEGOSEK 12UN","599,50","","","","","","149,50"
"MAMAO HAVAI 1UN","481,13","2","6,07","","","4,90","168,92"
"AMEIXA KG","471,73","4,220","36,93","","","6,89","114,88"
"OVOS BRANCOS NEGOSEK 12UN","457,14","","","","","23,76","125,64"
"FLOR PHALAENOPSIS MIX P12 1UN","456,82","","","","","","133,46"
"PINHAO KG","385,19","","","","","","130,43"
"MELAO REI KG","377,49","","","","","","114,34"
"MELANCIA KG","316,86","16,960","52,48","","","100,63","-35,40"
"UVA VITORIA 500GR","307,74","","","","","","113,26"
"LARANJA PERA KG","291,59","10,020","28,34","","","2,64","98,30"
"LIMAO KG","288,32","1,490","3,94","","","10,67","127,28"
"TOMATE CEREJA BDJ 300G 1UN","287,58","","","","","","59,45"
"SALSINHA VERDE 1UN","283,83","1","1,00","","","2,14","120,93"
"UVA ITALIA 500GR","272,79","","","","","","97,44"
"PEPINO JAPONES KG","255,93","1,920","10,75","","","1,31","85,47"
"ALFACE AMERICANA 1UN","247,51","","","","","1,28","99,01"
"ALFACE CRESPA 1UN","243,38","","","","","9,56","101,38"
"REPOLHO 1UN","230,67","","","","","","68,57"
"ABACAXI GRANDE 1UN","227,70","1","6,10","","","","92,52"
