"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA PRATA KG","1.347,90","4,070","19,01","39,375","183,88","","240,88"
"TOMATE SALADETE KG","1.253,41","7,805","40,31","9,070","47,44","","267,79"
"BATATA KG","1.458,41","13,290","40,02","16,145","47,19","","258,22"
"ALFACE LISA 1UN","251,37","7","21,00","12","36,00","","5,37"
"LARANJA PERA KG","537,68","2,110","6,90","9,565","31,56","","144,96"
"CEBOLA KG","461,49","1,890","5,30","10,065","28,58","","91,43"
"GOIABA KG","238,93","12,834","58,65","5,976","28,44","","-14,59"
"UVA THOMPSON 500GR","1.139,24","5","43,20","3","27,84","","379,26"
"MANGA KG","765,81","2,020","10,05","4,901","23,48","","269,42"
"CAQUI KG","571,85","13,980","90,88","3,480","22,62","","33,72"
"GENGIBRE KG","38,76","0,080","0,96","1,590","19,08","","-2,45"
"CENOURA KG","562,51","5,050","21,80","3,940","17,50","","147,12"
"ABOBRINHA KG","232,91","3,050","11,77","4,055","15,65","","51,24"
"MACA GALA/FUJI KG","1.189,71","10,580","58,77","2,790","15,62","","488,49"
"MELAO REI KG","454,50","","","1,170","14,94","","103,28"
"LARANJA BAHIA KG","410,05","4,420","41,37","1,430","14,87","","71,98"
"PIMENTAO VERMELHO KG","104,78","1,110","14,92","1,074","14,43","","4,68"
"MELANCIA KG","555,10","32,800","39,11","11,750","14,10","","97,72"
"ALFACE ROXA 1UN","146,23","6","12,00","7","14,00","","46,23"
"PITAYA 1UN","704,11","39","175,77","3","12,93","","60,91"
"BATATA DOCE ROXA KG","189,20","","","2,880","12,76","","57,07"
"MAMAO KG","1.440,20","9,620","64,61","2,130","12,23","","407,34"
"AMEIXA KG","394,03","0,680","4,43","1,855","12,06","","56,90"
"CEBOLA ROXA KG","94,62","","","2,425","10,06","","27,38"
"PEPINO JAPONES KG","376,76","1,740","6,73","2,425","9,26","","153,21"
"OVOS VERMELHOS NEGOSEK 12UN","887,26","","","1","9,00","","212,26"
"UVA VITORIA 500GR","259,80","","","1","8,70","","85,20"
"BETERRABA KG","46,17","","","1,800","8,64","","6,04"
"PONKAN KG","27,59","0,640","2,92","1,825","8,44","","-2,82"
"MARACUJA KG","273,39","0,280","1,85","1,115","7,36","","93,32"
"ABACAXI GRANDE 1UN","196,44","12","78,00","1","6,50","","-24,56"
"LIMAO KG","417,95","3,360","9,09","2,270","6,32","","155,32"
"PIMENTAO AMARELO KG","70,84","0,630","5,84","0,615","5,71","","16,73"
"MILHO VERDE BDJ 1UN","295,59","","","1","5,50","","106,39"
"MORANGO BDJ 200GR","375,53","","","1","5,00","","135,53"
"CHUCHU KG","126,79","0,860","2,75","1,885","4,60","","58,05"
"MORGOTE KG","98,95","7,750","47,38","0,815","4,06","","-57,53"
"ABACATE KG","222,75","3,280","8,63","1,529","4,02","","75,15"
"PIMENTAO VERDE KG","57,72","0,150","0,86","0,560","3,23","","20,07"
"COCO SECO KG","38,89","0,370","1,25","0,945","3,19","","14,55"
"PEPINO KG","86,92","0,330","1,15","0,915","3,18","","31,25"
"TOMATE CEREJA BDJ 500GR","59,94","","","1","3,00","","38,94"
"ESCAROLA 1UN","","2","6,00","1","3,00","","-9,00"
"ALHO KG","315,01","","","0,175","2,63","","122,63"
"ALFACE AMERICANA 1UN","658,68","","","1","2,50","","321,18"
"LIMAO SICILIANO KG","79,40","1,960","23,13","0,210","2,48","","6,71"
"VAGEM KG","","0,800","10,55","0,175","2,31","","-12,86"
"CENOURA BDJ 500GR","32,89","","","1","2,30","","5,29"
"COUVE MANTEIGA 1UN","99,75","2","4,00","1","2,00","","43,75"
"BERINGELA KG","5,04","3,500","15,92","0,300","1,37","","-16,07"
"CEBOLA BRANCA KG","22,91","","","0,155","1,34","","1,59"
"KIWI KG","57,03","0,210","2,89","0,090","1,24","","13,50"
"ABOBORA CABOTIA KG","23,52","","","0,432","1,03","","8,46"
"ABOBORA SECA KG","11,23","1,660","2,81","0,385","0,65","","3,01"
"MINI MELANCIA KG","41,67","","","0,060","0,34","","11,81"
"PERA KG","473,47","3,750","22,62","0,055","0,32","","231,13"
"MELAO SAPO KG","21,81","","","0,070","0,25","","10,64"
"MELAO AMARELO KG","317,51","","","0,040","0,16","","107,45"
"CEBOLA CONSERVA KG","30,73","1,420","3,91","0,050","0,14","","5,51"
"BANANA CATURRA KG","3.133,15","","","","","","747,58"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.392,18","","","","","","211,18"
"OVOS VERMELHOS DROSCZAKA 12UN","1.206,62","","","","","","165,19"
"OVOS VERMELHOS DROSCZAKA 30UN","985,58","","","","","","171,83"
"MAMAO HAVAI 1UN","971,61","9","35,46","","","","380,49"
"MORANGO BDJ 500GR","884,41","","","","","","176,41"
"BROCOLIS AMERICANO 1UN","791,01","1","4,42","","","","349,01"
"ALFACE CRESPA 1UN","778,05","2","4,00","","","","381,05"
"TOMATE KG","721,57","13,350","52,19","","","","249,12"
"OVOS BRANCOS NEGOSEK 12UN","479,60","","","","","","139,60"
"KIWI BDJ 1UN","361,66","","","","","","86,84"
"TOMATE CEREJA BDJ 300G 1UN","347,42","","","","","","117,13"
"ABACAXI PEROLA 1UN","316,55","10","46,40","","","","60,55"
"UVA ITALIA 500GR","298,77","3","22,62","","","","103,31"
"OVOS VERMELHOS NEGOSEK 6UN","279,07","","","","","","74,82"
"SALSINHA VERDE 1UN","252,73","4","4,00","","","","121,73"
"REPOLHO 1UN","251,64","","","","","","73,50"
"COUVE FLOR 1UN","237,66","","","","","","52,62"
"BROCOLIS/COUVE FLOR BJ1UN","237,66","","","","","","68,68"
"MIRTILO 1UN","218,90","","","","","","53,79"
"MACA VERDE KG","172,53","","","","","","41,72"
"UVA RUBI BDJ 500GR","153,89","","","","","","68,09"
"RUCULA 1UN","143,64","4","10,00","","","","29,94"
"CEBOLINHA VERDE 1UN","121,39","3","3,60","","","","44,59"
"ALHO AGRO NASCENTE 150GR","95,88","","","","","","35,16"
"ALHO PORO 1UN","95,84","","","","","","29,43"
"ALHO PRISA FIGURA 150GR","89,90","","","","","","31,00"
"UVA ROSADA BJ500GR","89,10","15","95,70","","","9,90","-64,02"
"UVA ISIS BDJ 500GR","77,94","3","28,42","","","","-7,32"
"BATATA SALSA KG","74,27","1,290","6,97","","","","17,88"
"CEBOLA REDE PRISA 1KG","71,91","","","","","","30,81"
"ERVILHA BDJ 200GR","64,95","","","","","","12,20"
"LARANJA PCT 3KG","59,96","","","","","","19,96"
"ALHO AGRO NASCENTE 500GR","59,96","","","","","","25,12"
"ESPINAFRE 1UN","59,88","","","","","","11,88"
"UVA BRASIL BDJ 500GR","53,94","4","32,28","","","","-26,76"
"REPOLHO ROXO 1UN","48,93","3","14,01","","","","2,23"
"QUIABO BDJ 200GR 1UN","47,96","","","","","","15,16"
