"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","1.205,75","51","90,20","639,570","1.202,39","","-778,37"
"TOMATE KG","1.051,57","6,140","43,64","64,050","445,79","","-133,83"
"TOMATE SALADETE KG","1.126,12","5,840","41,05","59,970","432,81","","-16,36"
"CENOURA KG","901,65","","","58,830","340,04","","15,86"
"MANGA KG","824,02","4,780","25,19","45,340","238,94","","16,21"
"PITAYA 1UN","47,94","2","11,46","35","200,55","","-197,85"
"MAMAO KG","656,09","","","40,010","185,65","","39,90"
"BATATA KG","2.050,44","2,720","12,87","35,295","182,89","","344,25"
"CEBOLA KG","602,99","1,520","6,39","37,450","157,29","","69,33"
"BANANA PRATA KG","1.096,51","4,890","22,84","28,790","134,45","","206,56"
"ABOBRINHA KG","336,22","","","27,835","105,97","","73,16"
"TOMATE CEREJA BDJ 300G 1UN","299,50","","","23","95,22","","5,41"
"MAMAO HAVAI 1UN","539,52","4","10,28","35,429","91,05","","161,73"
"REPOLHO 1UN","283,56","","","19","90,06","","-11,73"
"MELAO REI KG","466,08","","","7,155","89,72","","44,54"
"PIMENTAO AMARELO KG","86,26","0,380","4,47","4,990","58,68","","-27,85"
"ABACATE KG","171,53","","","16,970","40,39","","32,34"
"MELANCIA KG","180,39","28,780","86,91","11,630","35,12","","-85,36"
"OVOS VERMELHOS DROSCZAKA 30UN","1.057,54","","","2","33,34","","257,38"
"ABACAXI PEROLA 1UN","152,79","","","7","31,77","","32,10"
"CEBOLA ROXA KG","65,20","0,220","1,08","6,430","31,01","","-15,52"
"LIMAO KG","291,50","4","10,16","9,695","24,63","","108,35"
"PIMENTAO VERDE KG","30,71","0,660","6,71","1,510","15,36","","-8,92"
"COGUMELO PARIS 300GR","35,98","1","12,65","1","12,65","","-14,96"
"CEBOLA BRANCA KG","12,05","","","1,600","12,27","","-7,93"
"LARANJA PERA KG","277,61","11,320","33,30","2,820","8,32","","75,31"
"PINHAO KG","77,06","","","0,820","8,20","","16,77"
"UVA ITALIA 500GR","207,84","","","1","8,12","","69,80"
"LARANJA BAHIA KG","134,36","0,980","2,93","2,435","7,28","","75,03"
"MILHO VERDE BDJ 1UN","13,98","","","2","7,20","","-0,42"
"ALHO KG","295,46","","","0,390","6,20","","115,09"
"CAQUI KG","842,43","3,340","14,30","1,725","6,11","","373,31"
"ABOBORA CABOTIA KG","77,52","","","2,050","6,01","","17,99"
"KIWI KG","92,63","0,380","3,42","0,655","5,89","","41,48"
"MACA GALA/FUJI KG","1.034,09","2,170","11,13","1,125","5,77","","432,02"
"BROCOLIS/COUVE FLOR BJ1UN","","","","1","5,29","","-5,29"
