"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","2.425,85","","","9,265","61,15","","757,02"
"LARANJA PERA KG","183,72","4,620","12,24","20,780","54,44","","8,41"
"TOMATE SALADETE KG","1.295,25","1,280","13,80","4,590","49,39","","299,02"
"CEBOLA KG","717,62","1,270","5,69","9,145","40,97","","216,11"
"MORANGO BDJ 500GR","485,73","","","3","36,00","","115,23"
"ALHO PORO 1UN","110,22","","","12","36,00","","3,97"
"BANANA CATURRA KG","2.004,30","0,850","1,62","15,425","29,31","","812,65"
"PERA KG","159,42","3,850","40,39","2,630","27,59","","-21,32"
"PEPINO JAPONES KG","393,08","0,360","3,56","2,200","20,57","","97,16"
"RUCULA 1UN","123,69","2","4,00","8","20,00","","24,19"
"AMEIXA KG","89,32","","","1,730","15,14","","12,96"
"BETERRABA KG","76,47","1,080","4,08","3,495","14,26","","12,94"
"ERVILHA BDJ 200GR","","","","1","13,94","","-13,94"
"HORTELA BDJ 30GR 1UN","13,98","","","5","10,00","","-0,02"
"ALFACE AMERICANA 1UN","224,55","","","3","9,00","","80,55"
"UVA THOMPSON 500GR","450,13","1","7,98","1","7,98","","138,91"
"PIMENTAO AMARELO KG","38,61","0,450","7,05","0,480","7,52","","-6,36"
"MELANCIA KG","62,30","","","2,295","6,93","12,58","5,40"
"ALFACE ROXA 1UN","127,68","1","2,00","2","6,00","","29,68"
"ABACAXI GRANDE 1UN","99,00","","","1","5,59","","37,51"
"CEBOLINHA VERDE 1UN","149,25","5","5,00","5","5,00","","64,25"
"ABOBORA CABOTIA KG","39,09","","","1,640","4,92","","9,27"
"ABACAXI PEROLA 1UN","141,80","","","1","4,64","","51,38"
"CHUCHU KG","123,66","","","0,885","4,25","","32,36"
"PIMENTA CAMBUCI BDJ 300GR","","","","1","4,00","","-4,00"
"CEBOLA BRANCA KG","48,97","","","0,390","2,99","","14,64"
"ABACATE KG","259,97","1,670","4,91","0,950","2,79","","95,38"
"COCO SECO KG","31,68","0,870","3,73","0,610","2,62","","6,21"
"ABOBRINHA KG","346,95","1,620","10,41","0,370","2,60","","86,62"
"PONKAN KG","264,64","1,760","3,56","1,070","2,24","","90,03"
"KIWI KG","141,92","0,210","1,79","0,235","2,00","","45,26"
"LIMAO SICILIANO KG","62,78","","","0,165","1,77","","27,18"
"PINHAO KG","369,66","","","0,180","1,62","","138,60"
"LIMAO KG","180,36","4,050","11,51","0,415","1,22","","64,80"
"LARANJA BAHIA KG","86,67","1,410","4,94","0,280","0,98","","19,95"
"BATATA DOCE ROXA KG","146,53","0,150","0,38","0,240","0,60","","69,68"
"ABOBORA MORANGA KG","3,81","2,320","4,53","0,310","0,60","","-3,81"
"PIMENTAO VERDE KG","52,74","","","0,050","0,51","","16,47"
"CEBOLA ROXA KG","86,27","","","0,100","0,46","","28,99"
"CENOURA KG","904,83","","","0,065","0,36","","344,96"
"MINI MELANCIA KG","35,59","1,990","15,42","0,010","0,08","","-7,77"
"PIMENTAO VERMELHO KG","89,96","0,160","2,55","0,005","0,07","","10,83"
"TOMATE KG","1.252,68","4,940","46,22","","","","300,67"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","1.099,25","","","","","","286,75"
"OVOS VERMELHOS DROSCZAKA 30UN","1.073,64","","","","","","290,15"
"BATATA SALSA KG","852,47","","","","","","352,57"
"MAMAO KG","811,95","3,230","14,99","","","","372,24"
"OVOS VERMELHOS NEGOSEK 12UN","782,68","","","","","","197,68"
"OVOS VERMELHOS DROSCZAKA 12UN","769,30","","","","","","244,30"
"MACA GALA/FUJI KG","728,21","8,400","42,16","","","","256,53"
"BROCOLIS AMERICANO 1UN","714,31","","","","","","208,05"
"BANANA PRATA KG","606,59","","","","","","172,99"
"MANGA KG","596,90","2,730","14,39","","","","193,80"
"CAQUI KG","547,29","9,400","51,72","","","","41,27"
"MAMAO HAVAI 1UN","453,45","16","61,04","","","","79,16"
"OVOS BRANCOS NEGOSEK 12UN","359,70","","","","","","104,70"
"ALHO KG","353,23","","","","","","127,98"
"ALFACE CRESPA 1UN","310,02","1","2,00","","","","152,02"
"TOMATE CEREJA BDJ 300G 1UN","296,67","","","","","","112,97"
"REPOLHO 1UN","286,59","","","","","","87,99"
"SALSINHA VERDE 1UN","236,81","","","","","","89,56"
"UVA VITORIA 500GR","235,80","1","7,48","","","","78,72"
"MELAO REI KG","231,16","","","","","","70,03"
"OVOS VERMELHOS NEGOSEK 6UN","188,21","","","","","","50,46"
"COUVE FLOR 1UN","183,77","","","","","","31,50"
"ALFACE LISA 1UN","179,55","2","6,00","","","","38,55"
"UVA ITALIA 500GR","168,87","","","","","","60,32"
"MIRTILO 1UN","139,30","1","13,42","","","","31,94"
"COUVE MANTEIGA 1UN","119,70","","","","","","58,20"
"CEBOLA REDE PRISA 1KG","111,86","","","","","","29,26"
"CEBOLA CONSERVA KG","103,82","0,350","1,96","","","","28,90"
"MELAO AMARELO KG","100,97","","","","","","35,68"
"GOIABA KG","99,84","6,540","25,11","","","","26,55"
"BROCOLIS/COUVE FLOR BJ1UN","83,88","","","","","","14,12"
"MACA VERDE KG","77,05","0,430","5,31","","","","15,79"
"PITAYA 1UN","71,92","","","","","","8,32"
"MORANGO BDJ 200GR","69,30","","","","","","34,30"
"MAMAO PEDAÇOS KG","67,49","","","","","","34,47"
"ESPINAFRE 1UN","64,87","","","","","","12,87"
"MORGOTE KG","62,82","","","","","","20,12"
"GENGIBRE KG","61,19","0,750","6,26","","","","29,94"
"MILHO VERDE BDJ 1UN","60,82","","","","","","20,86"
"UVA BRASIL BDJ 500GR","59,96","","","","","","25,04"
"MANJERICAO BDJ 30GR","55,93","","","","","","24,57"
"COGUMELO PARIS 300GR","53,97","","","","","","10,24"
"COUVE PICADA BDJ 1UN","49,90","","","","","","14,90"
"ALHO PRISA FIGURA 150GR","44,95","","","","","","15,10"
"MARACUJA KG","40,25","10,340","70,72","","","","-58,28"
"REPOLHO ROXO 1UN","39,95","","","","","","14,05"
"UVA ISIS BDJ 500GR","38,97","","","","","","14,03"
"ACELGA UN 1UN","31,96","","","","","","11,32"
"RABANETE UN 1UN","27,96","","","","","","7,96"
"CANJA C/ARROZ INTEGRAL VAPZA 500GR","24,99","","","","","","8,75"
"ALECRIM BDJ 50GR","15,98","","","","","","7,02"
"TOMILHO BDJ 30GR 1UN","15,98","","","","","","6,98"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","6,28"
"UVA RUBI BDJ 500GR","13,99","1","8,44","","","","-2,89"
"PIMENTA DEDO MOCA BJ300GR","13,98","","","","","","5,98"
"QUIABO BDJ 200GR 1UN","11,99","1","8,13","","","","-4,27"
"CHICORIA ROXA 1UN","10,99","","","","","10,99","4,38"
"PEPINO JAPONES FATIADO KG","7,40","","","","","","-2,55"
"CEBOLA REDE AGRO NASCENTE 500GR","6,98","","","","","","2,38"
"BATATA SUJA KG","0,97","","","","","","0,30"
"ALFAVACA BDJ 30GR 1UN","","1","4,07","","","","-4,07"
,"27.844,02",,"560,56",,"518,10","23,57","8.320,85"
