"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"TOMATE KG","402,71","51,300","153,90","67,892","203,68","","-107,65"
"PESSEGO KG","1.194,46","24,070","86,75","35,804","107,41","","341,53"
"AMEIXA KG","438,84","0,950","4,28","10,190","91,71","","211,01"
"UVA ITALIA 500GR","116,91","","","10","87,00","","-46,07"
"NECTARINA KG","338,70","7,100","56,80","9,881","79,05","","-5,71"
"MARACUJA KG","212,04","","","5,075","77,90","","-18,11"
"BANANA PRATA KG","1.038,03","","","16,325","76,24","","268,45"
"MANGA KG","549,48","0,640","2,46","19,784","75,97","","62,02"
"BETERRABA KG","43,90","0,640","2,05","25,880","75,83","","-61,07"
"MELANCIA KG","622,33","4,020","8,12","34,137","73,74","","152,82"
"BATATA KG","762,99","1,950","5,30","25,840","72,87","","142,43"
"LARANJA PERA KG","380,10","8,200","23,13","22,335","62,98","","73,18"
"CENOURA KG","265,61","","","16,620","59,00","","40,04"
"ABACATE KG","260,03","","","10,705","58,77","","58,84"
"GOIABA KG","152,91","10,180","80,73","7,345","58,25","","-66,97"
"MACA PINK KG","83,77","0,430","6,16","3,670","52,59","","-47,78"
"MAMAO HAVAI 1UN","391,44","7","29,79","12","49,56","","73,55"
"PEPINO JAPONES KG","222,73","","","10,940","46,28","","29,94"
"ERVILHA BDJ 200GR","","","","5","46,15","","-46,15"
"COGUMELO PARIS 300GR","53,97","","","3","37,95","","-21,93"
"MORGOTE KG","37,18","5,430","30,83","6,715","37,67","","-52,72"
"MORANGO BDJ 200GR","175,78","","","7","35,00","","30,78"
"CHUCHU KG","61,10","0,230","0,93","8,430","34,23","","-23,42"
"PERA KG","69,16","0,260","4,35","2,105","30,35","","-22,99"
"MORANGO BDJ 500GR","681,58","","","3","30,00","","231,58"
"RUCULA 1UN","207,48","","","9","27,00","","39,48"
"MACA VERDE KG","63,51","","","2,095","26,31","","-11,29"
"UVA ROSADA BJ500GR","29,70","","","4","23,20","","-10,90"
"COCO VERDE 1UN","9,90","","","3","22,50","","-19,80"
".MACA NECTAR PC850GR","","","","3","21,00","","-21,00"
"KIWI KG","238,80","0,200","4,77","0,834","17,80","","78,67"
"OVOS VERMELHOS DROSCZAKA 30UN","620,73","","","1","16,25","","188,14"
"BROCOLIS/COUVE FLOR BJ1UN","139,80","","","4","15,44","","46,96"
"CEBOLA ROXA KG","130,44","","","2,710","15,20","","41,55"
"COCO SECO KG","24,06","","","3,070","14,98","","-6,87"
"BROCOLIS AMERICANO 1UN","304,39","","","5","14,50","","77,08"
"PIMENTAO AMARELO KG","75,04","","","1,340","13,67","","15,18"
"PITAYA 1UN","79,20","2","26,96","1","13,48","","-19,56"
"UVA ROSADA KG","605,08","1,160","8,70","1,780","13,35","","184,35"
"MILHO VERDE BDJ 1UN","537,75","2","12,00","2","12,00","","65,25"
"CEBOLINHA VERDE 1UN","129,35","4","4,80","9","10,80","","35,75"
"GENGIBRE KG","45,42","1,650","23,94","0,850","10,03","","-24,48"
"ALFACE LISA 1UN","104,70","","","4","10,00","","19,70"
"MACA GALA/FUJI KG","979,62","3,510","31,57","1,044","9,71","","255,44"
"CEBOLA CONSERVA KG","46,12","0,260","0,58","3,540","7,93","","11,74"
"OVOS VERMELHOS DROSCZAKA 12UN","257,40","","","1","7,50","","54,90"
"ALFACE ROXA 1UN","170,55","","","3","7,50","","52,55"
"MIRTILO 1UN","38,97","","","1","7,48","","8,40"
"BATATA DOCE ROXA KG","105,04","0,230","0,76","2,040","7,14","","33,60"
"LARANJA LIMA PERSIA KG","","1,250","9,59","0,910","6,98","","-16,57"
"UVA ISIS BDJ 500GR","168,87","","","1","6,96","","71,43"
"MELAO CAIPIRA KG","","","","1,245","6,23","","-6,23"
"PIMENTAO VERMELHO KG","79,96","","","0,533","5,44","","28,02"
"PEPINO KG","91,15","1,240","2,48","2,320","4,64","","53,60"
"MELAO SAPO KG","12,65","3,040","10,94","1,145","4,12","","-8,93"
"BERINGELA KG","20,58","1,100","3,68","1,065","3,56","","1,86"
"BATATA SALSA BDJ 500GR","58,41","","","1","3,13","","12,98"
"REPOLHO 1UN","80,10","","","1","3,05","","17,60"
"ABOBRINHA KG","183,75","","","1,890","2,84","","101,43"
"BATATA SALSA KG","58,10","","","0,695","2,78","","15,09"
"ABOBORA MORANGA KG","0,33","2,760","6,43","0,890","2,07","","-8,43"
"ABOBORA SECA KG","2,45","2,240","4,91","0,795","1,74","","-5,55"
"CEBOLA BRANCA KG","10,10","0,200","1,27","0,235","1,49","","0,88"
"ABOBORA CABOTIA KG","7,66","","","0,495","1,22","","1,72"
"LIMAO SICILIANO KG","79,01","","","0,065","0,81","","8,76"
"MELAO AMARELO KG","199,11","","","0,139","0,48","","91,09"
"ABOBRINHA BRASILEIRINHA KG","30,42","","","0,035","0,35","","9,77"
"LARANJA BAHIA KG","166,83","1,300","9,36","0,015","0,11","","77,23"
"BANANA CATURRA KG","2.000,12","28,840","103,82","","","","423,86"
"MAMAO KG","1.171,16","2","16,80","","","","400,35"
"OVOS VERMELHOS NEGOSEK 12UN","780,29","","","","","","257,79"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","689,54","","","","","","181,54"
"TOMATE SALADETE KG","650,27","0,830","3,28","","","","321,95"
"UVA BRANCA KG","551,42","2,970","22,28","","","","111,30"
"ALFACE CRESPA 1UN","433,01","","","","","","180,51"
"CEBOLA KG","400,47","2,300","4,74","","","","142,01"
"LIMAO KG","385,73","0,380","1,41","","","","163,37"
"MELAO REI KG","383,89","","","","","","102,34"
"UVA THOMPSON 500GR","349,68","","","","","","84,58"
"ALFACE AMERICANA 1UN","267,33","","","","","","99,83"
"UVA VITORIA 500GR","257,40","","","","","","85,72"
"TOMATE CORACAO BOI BDJ 700GR","199,75","","","","","","74,75"
"ALHO KG","198,70","","","","","","81,23"
"ABACAXI GRANDE 1UN","183,42","1","5,00","","","","65,42"
"OVOS BRANCOS NEGOSEK 12UN","158,40","","","","","","48,38"
"ABACAXI PEROLA 1UN","152,83","1","5,50","","","","55,33"
"SALSINHA VERDE 1UN","152,49","","","","","","56,36"
"TOMATE CEREJA BDJ 300G 1UN","143,61","","","","","","40,79"
"OVOS VERMELHOS NEGOSEK 6UN","131,78","","","","","","46,88"
"COUVE MANTEIGA 1UN","127,68","","","","","","47,68"
"COUVE FLOR 1UN","104,85","","","","","","45,06"
"TOMATE CEREJA BDJ 500GR","79,92","","","","","","31,92"
"CEREJA NATUA BDJ 250GR","79,60","","","","","","21,08"
"VAGEM VERDE PRUST BDJ 1UN","79,02","","","","","","25,02"
"LICHIA BDJ 300UN","77,94","","","","","","26,24"
"ALHO PORO 1UN","73,35","","","","","","19,53"
"UVA RUBI BDJ 500GR","69,95","","","","","","26,45"
"CEBOLA REDE PRISA 1KG","63,92","","","","","","29,52"
"ALHO PRISA FIGURA 150GR","53,94","","","","","","18,60"
"BETERRABA MACO UN","41,93","","","","","","13,93"
"CENOURA BDJ 500GR","41,20","","","","","","14,95"
"MINI MELANCIA KG","40,27","","","","","","9,08"
"AMORA BDJ 100GR","39,95","","","","","","10,80"
"FLOR ANTHURIUM P15 1UN","39,90","","","","","","15,61"
"PIMENTAO VERDE KG","38,66","0,260","1,27","","","","19,75"
"COUVE PICADA BDJ 1UN","29,94","","","","","","11,94"
"COGUMELO SHITAKE 200GR","24,99","","","","","","9,83"
"ALHO AGRO NASCENTE 150GR","23,97","","","","","","8,19"
"UVA BRANCA POLOSKI KG","21,32","","","","","","7,22"
"ALHO AGRO NASCENTE 500GR","14,99","","","","","","5,40"
"ESPINAFRE 1UN","11,97","","","","","","2,97"
"BROCOLIS MACO 1UN","6,99","","","","","","2,99"
"HORTELA BDJ 30GR 1UN","6,99","","","","","","2,68"
"ACELGA UN 1UN","5,99","","","","","","1,99"
"CARAMBOLA KG","5,12","","","","","","1,35"
"ABOBORA PESCOCO BDJ 1UN","4,99","","","","","","0,33"
"REPOLHO ROXO 1UN","4,99","","","","","","1,19"
"CEBOLA REDE AGRO NASCENTE 500GR","3,49","","","","","","1,54"
"MIX PIMENTAO BDJ 300GR","","","","","","",""
"QUIABO BDJ 200GR 1UN","","","","","","",""
"UVA BRASIL BDJ 500GR","","","","","","",""
"FRAMBOESA BDJ 100GR","","7","73,50","","","","-73,50"
"PIMENTA DEDO MOCA BDJ 150GR 1UN","","","","","","",""
"ALECRIM BDJ 50GR","","","","","","",""
"MANJERICAO BDJ 30GR","","","","","","",""
"ALFAVACA BDJ 30GR 1UN","","","","","","",""
"JILO BDJ 200GR 1UN","","","","","","",""
,"25.607,39",,"895,92",,"2.062,95","0,00","6.119,82"
