"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA PRATA KG","30,30","1,625","7,59","13,300","62,11","","-59,65"
"BANANA CATURRA KG","971,42","4,060","12,75","15,890","49,89","","179,33"
"TOMATE SALADETE KG","3,32","0,140","0,75","4,040","21,69","","-20,92"
"BATATA KG","789,36","8,755","35,63","5,515","21,23","","97,45"
"ALHO KG","104,04","","","1,264","14,02","","43,59"
"RUCULA 1UN","","","","4","12,00","","-12,00"
"TOMATE KG","320,51","3,865","18,05","2,700","11,64","","76,93"
"ABOBRINHA KG","21,77","8,482","42,66","2,054","10,33","","-46,88"
"CEBOLA REDE PRISA 1KG","55,93","","","2","9,20","","13,53"
"ACELGA UN 1UN","7,99","5","32,70","1","6,54","","-37,79"
"COUVE FLOR 1UN","20,97","","","2","6,00","","5,97"
"CEBOLA KG","135,18","0,620","2,19","1,550","5,49","","37,93"
"BATATA SALSA KG","13,21","2,829","15,33","0,940","5,09","","-19,08"
"ALHO PRISA FIGURA 150GR","26,97","","","1","4,95","","4,35"
"CENOURA BDJ 500GR","101,83","","","1","4,61","","41,95"
"BROCOLIS AMERICANO 1UN","35,94","","","1","4,54","","1,80"
"CHUCHU KG","","4,785","19,91","0,980","4,08","","-23,99"
"LARANJA PERA KG","93,83","3,265","9,69","1,325","4,01","","21,30"
"PEPINO KG","91,64","0,650","3,46","1,475","3,79","","6,84"
"ALFACE CRESPA 1UN","123,84","","","2","3,00","","51,84"
"MANGA KG","193,71","4,010","21,54","0,500","2,62","","32,62"
"ABACATE KG","","","","0,955","2,46","","-2,46"
"ALFACE LISA 1UN","","","","2","2,00","","-2,00"
"BATATA DOCE ROXA KG","45,64","2,595","8,18","0,530","1,67","","11,15"
"LIMAO KG","38,61","2,765","7,22","0,515","1,45","","8,79"
"MELAO AMARELO KG","35,60","0,734","3,58","0,235","1,15","","4,76"
"MAMAO KG","","","","0,220","1,10","","-1,10"
"CEBOLINHA VERDE 1UN","8,92","","","1","1,00","","3,92"
"OVOS VERMELHOS NEGOSEK 12UN","563,53","","","","","","140,53"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","326,81","","","","","","51,31"
"MACA GALA/FUJI KG","326,44","3,920","19,61","","","","127,28"
"REPOLHO 1UN","131,80","","","","","","23,22"
"PONKAN KG","121,28","7,020","23,96","","","","47,58"
"UVA ROSADA BJ500GR","89,10","","","","","","26,37"
"UVA RUBI BDJ 500GR","69,30","","","","","","18,69"
"MELANCIA KG","66,44","29,347","35,22","","","","-18,90"
"ABACAXI PEROLA 1UN","41,95","1","8,28","","","","-7,73"
"OVOS VERMELHOS NEGOSEK 6UN","34,44","","","","","","5,94"
"MORANGO BDJ 200GR","29,98","","","","","","12,36"
"PIMENTAO VERDE KG","27,23","0,795","5,50","","","","3,10"
"MORANGO BDJ 500GR","21,98","","","","","","1,98"
"CEBOLA CONSERVA KG","21,27","0,035","0,10","","","","3,94"
"MILHO VERDE BDJ 1UN","20,97","","","","","","10,14"
"SALSINHA VERDE 1UN","17,91","","","","","","4,41"
"COUVE MANTEIGA 1UN","15,96","","","","","","-4,04"
"MARACUJA KG","14,44","","","","","","8,02"
"BROCOLIS/COUVE FLOR BJ1UN","13,98","","","","","","3,04"
"ALFACE AMERICANA 1UN","9,98","2","6,00","","","","-3,50"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"ALFACE ROXA 1UN","3,99","","","","","","0,99"
"PEPINO JAPONES KG","3,15","","","","","","1,48"
"MACA GALA CAT3 KG","2,54","","","","","","0,18"
"PIMENTAO VERMELHO KG","","","","","","",""
"PIMENTAO AMARELO KG","","","","","","",""
"TAMARA TUNISIA 200GR","","2","7,56","","","","-7,56"
,"5.252,99",,"347,46",,"277,66","0,00","869,86"
