"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"TOMATE KG","124,75","15,290","44,84","19,945","57,24","","-31,74"
"BANANA PRATA KG","63,52","6,300","29,43","5,150","24,05","","-33,64"
"UVA ROSADA BJ500GR","","","","4","21,32","","-21,32"
"PESSEGO KG","22,02","2,590","14,76","2,830","16,13","","-26,83"
"BANANA CATURRA KG","742,24","7,200","24,05","4,475","14,95","3,49","204,36"
"ALFACE CRESPA 1UN","83,76","","","5","12,50","","11,26"
"LARANJA PERA KG","66,12","1,835","5,40","3,750","10,84","","11,41"
"REPOLHO 1UN","43,89","","","3","10,53","","-5,25"
"MAMAO KG","55,99","4,215","21,03","1,812","9,04","","-2,99"
"ABACAXI PEROLA 1UN","37,94","","","2","8,14","","5,38"
"PIMENTAO VERDE KG","7,01","2,830","9,96","2,039","7,18","","-12,62"
"CHUCHU KG","10,40","1,200","10,19","0,826","7,01","","-17,94"
"MELANCIA KG","212,88","5,530","4,42","7,501","6,00","","93,95"
"ALFACE LISA 1UN","","","","2","5,00","","-5,00"
"BATATA KG","436,22","12,294","32,04","1,796","4,71","","125,29"
"CEBOLINHA VERDE 1UN","13,38","","","4","4,00","","3,38"
"COUVE MANTEIGA 1UN","","","","1","3,00","","-3,00"
"MANGA KG","85,44","","","0,470","1,81","","24,55"
"PEPINO JAPONES KG","8,57","3,755","15,81","0,340","1,43","","-11,45"
"GOIABA KG","8,54","0,210","0,63","0,281","0,84","","3,40"
"BATATA DOCE ROXA KG","15,89","","","0,275","0,83","","5,50"
"AMEIXA KG","92,33","1,385","7,62","0,129","0,71","","17,96"
"PEPINO KG","26,16","","","0,195","0,52","","10,07"
"BETERRABA KG","8,56","1,375","5,65","0,082","0,34","","-2,46"
"COCO SECO KG","19,50","","","0,063","0,27","","7,50"
"MORGOTE KG","","0,575","3,28","0,025","0,14","","-3,42"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","363,75","","","","","","63,75"
"OVOS VERMELHOS NEGOSEK 12UN","269,73","","","","","","67,23"
"MACA GALA/FUJI KG","234,06","3,075","24,90","","","","23,16"
"TOMATE SALADETE KG","148,82","5,429","20,42","","","","41,85"
"UVA ROSADA KG","66,26","","","","","","25,73"
"CEBOLA KG","63,19","1,990","3,20","","","","24,69"
"ALHO KG","60,53","","","","","","25,84"
"LIMAO KG","49,33","2,540","5,98","","","","20,05"
"CEBOLA REDE PRISA 1KG","47,94","","","","","","22,14"
"UVA VITORIA 500GR","39,60","2","15,12","","","","-5,76"
"MELAO AMARELO KG","34,21","2,935","8,98","","","","5,61"
"OVOS VERMELHOS NEGOSEK 6UN","29,94","","","","","","7,44"
"CENOURA KG","27,98","0,300","0,75","","","","9,57"
"REPOLHO ROXO 1UN","22,96","","","","","","8,92"
"ALHO PRISA FIGURA 150GR","17,98","","","","","","6,20"
"SALSINHA VERDE 1UN","17,94","","","","","","11,94"
"ALFACE AMERICANA 1UN","14,97","","","","","","7,47"
"MILHO VERDE BDJ 1UN","13,98","","","","","","7,24"
"MORANGO BDJ 200GR","9,90","","","","","","3,27"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"CEBOLA VERDESUL 500GR","5,58","","","","","","2,78"
"RUCULA 1UN","3,99","","","","","","0,99"
"CEBOLA CONSERVA KG","3,46","1,875","4,20","","","","-2,95"
"MARACUJA KG","","0,690","7,05","","","","-7,05"
"BROCOLIS AMERICANO 1UN","","","","","","",""
"ABOBRINHA KG","","5,264","29,32","","","","-29,32"
,"3.739,20",,"349,03",,"228,53","3,49","689,99"
