"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"OVOS VERMELHOS NEGOSEK 12UN","443,63","","","1","9,00","","101,63"
"RUCULA 1UN","7,98","","","1","3,00","","-1,02"
"BATATA KG","570,60","8,380","25,69","","","","132,15"
"BANANA CATURRA KG","441,14","16,435","62,45","","","","-29,43"
"TOMATE KG","278,85","4,870","18,27","","","","111,21"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","231,87","","","","","","49,37"
"AMEIXA KG","220,36","10,850","70,53","","","","-29,46"
"MACA GALA/FUJI KG","105,76","3,110","16,47","","","","27,62"
"MELANCIA KG","104,46","4,673","5,61","","","","19,15"
"MANGA KG","101,73","","","","","","37,47"
"TOMATE SALADETE KG","101,39","2,450","15,24","","","","10,22"
"OVOS VERMELHOS NEGOSEK 6UN","97,35","","","","","","26,10"
"ALFACE CRESPA 1UN","89,26","","","","","","17,26"
"ALHO KG","88,22","","","","","","38,58"
"CEBOLA KG","85,71","","","","","","34,56"
"REPOLHO 1UN","77,87","1","4,68","","","","15,01"
"UVA VITORIA 500GR","71,91","","","","","","0,72"
"LIMAO KG","68,73","1,335","4,27","","","","19,97"
"UVA ITALIA 500GR","67,74","","","","","","7,18"
"PEPINO KG","62,59","","","","","","32,71"
"BROCOLIS AMERICANO 1UN","53,91","","","","","","17,91"
"UVA ROSADA BJ500GR","46,59","7","44,80","","","","-30,19"
"PEPINO JAPONES KG","45,96","1,240","4,61","","","","14,88"
"LARANJA PERA KG","44,51","5,510","17,85","","","","-4,96"
"BANANA PRATA KG","42,40","2,944","13,75","","","","-3,46"
"MAMAO KG","40,12","3,074","22,39","","","","-15,37"
"CEBOLA REDE PRISA 1KG","31,96","","","","","","13,56"
"CENOURA BDJ 500GR","29,90","1","2,31","","","","4,50"
"MELAO AMARELO KG","29,41","","","","","","9,92"
"COUVE FLOR 1UN","27,96","","","","","","10,96"
"ALHO PRISA FIGURA 150GR","26,97","","","","","","9,30"
"UVA NUBIA BDJ 500GR","25,98","","","","","","10,88"
"MORGOTE KG","24,70","2,270","14,26","","","","-4,14"
"ABACAXI PEROLA 1UN","23,97","","","","","","7,74"
"PIMENTAO VERMELHO KG","18,70","","","","","","5,72"
"ALFACE ROXA 1UN","18,45","","","","","","3,45"
"ALFACE AMERICANA 1UN","15,96","","","","","","3,96"
"PIMENTAO VERDE KG","15,49","","","","","","6,63"
"KIWI BDJ 1UN","14,99","","","","","","7,40"
"TAMARA TUNISIA 200GR","13,98","","","","","","5,26"
"CEBOLA CONSERVA KG","13,16","","","","","","4,05"
"BATATA DOCE ROXA KG","12,09","","","","","","4,29"
"SALSINHA VERDE 1UN","11,94","","","","","","5,94"
"MORANGO BDJ 200GR","9,90","","","","","","1,48"
"CHUCHU KG","9,36","","","","","","3,79"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"TOMATE CEREJA 250GR","6,99","","","","","","3,99"
"TOMATE CEREJA BDJ 300G 1UN","4,99","","","","","","1,18"
"CEBOLINHA VERDE 1UN","4,46","","","","","","2,46"
"CENOURA KG","0,91","","","","","","0,30"
"ABACATE KG","","","","","","",""
,"3.990,85",,"343,18",,"12,00","0,00","725,28"
