"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"UVA ROSADA BJ500GR","","","","18","85,32","","-85,32"
"MORANGO BDJ 200GR","59,40","","","6","50,52","9,90","-41,64"
"BANANA PRATA KG","80,52","5,300","24,75","7,755","36,22","","-34,26"
"TOMATE SALADETE KG","41,07","10,365","64,05","5,235","32,35","","-84,84"
"MORGOTE KG","86,56","2,200","10,98","4,055","20,23","","1,28"
"CEBOLA KG","86,74","0,090","0,21","7,335","17,46","","13,09"
"UVA VITORIA 500GR","38,97","","","2","17,44","","-2,20"
"ALFACE CRESPA 1UN","175,56","","","5","15,00","","28,56"
"TOMATE KG","260,48","14,840","63,81","2,710","12,17","","38,46"
"RUCULA 1UN","3,99","","","4","12,00","","-11,01"
"TOMATE CEREJA BDJ 300G 1UN","","1","3,81","3","11,43","","-15,24"
"UVA THOMPSON 500GR","25,98","","","1","9,77","","-3,33"
"OVOS VERMELHOS NEGOSEK 12UN","371,69","","","1","9,00","","83,69"
"ALHO KG","75,01","","","0,475","7,14","","25,64"
"ALFACE AMERICANA 1UN","19,96","","","2","6,00","","1,96"
"BATATA DOCE ROXA KG","23,73","","","1,170","5,28","","3,14"
"REPOLHO 1UN","119,80","2","9,36","1","4,68","","10,66"
"CEBOLA REDE PRISA 1KG","23,97","","","1","4,30","","6,47"
"MELANCIA KG","84,08","","","2,215","2,66","","17,99"
"MELAO AMARELO KG","62,47","","","0,655","2,60","","18,46"
"MANGA KG","90,11","3,240","15,72","0,518","2,45","4,39","18,37"
"CENOURA BDJ 500GR","56,81","","","1","2,30","","10,75"
"SALSINHA VERDE 1UN","15,93","","","2","2,00","","6,93"
"AMEIXA KG","162,24","0,300","1,95","0,090","0,59","6,35","27,68"
"BANANA CATURRA KG","990,77","19,415","73,78","","","","162,38"
"BATATA KG","605,56","11,590","33,20","","","","122,49"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","560,67","","","","","","181,17"
"MACA GALA/FUJI KG","247,15","10,625","58,22","","","4,01","62,53"
"OVOS VERMELHOS NEGOSEK 6UN","233,64","","","","","","68,64"
"PEPINO KG","128,36","1,860","6,93","","","","39,55"
"LARANJA PERA KG","85,28","2,645","8,76","","","","19,94"
"BROCOLIS AMERICANO 1UN","59,90","","","","","","19,90"
"LIMAO KG","37,78","4,479","15,36","","","","-3,52"
"MAMAO KG","35,79","7,765","48,61","","","","-40,51"
"ABACAXI PEROLA 1UN","33,95","","","","","","9,90"
"KIWI BDJ 1UN","32,97","","","","","","4,29"
"PIMENTAO VERDE KG","28,47","0,360","2,04","","","","11,11"
"UVA PRETA 500GR","27,98","","","","","","8,18"
"PEPINO JAPONES KG","25,28","0,080","0,30","","","","11,01"
"UVA ITALIA 500GR","19,80","","","","","","3,50"
"ALHO PRISA FIGURA 150GR","17,98","","","","","","6,20"
"ALFACE ROXA 1UN","11,97","","","","","","2,97"
"CEBOLA CONSERVA KG","11,82","","","","","","3,66"
"CEBOLINHA VERDE 1UN","11,15","","","","","","6,15"
"CHUCHU KG","7,93","","","","","","0,39"
"CENOURA KG","6,06","9,725","45,61","","","","-44,28"
"PIMENTAO VERMELHO KG","3,31","0,500","4,51","","","","-3,50"
"TAMARA TUNISIA 200GR","","","","","","",""
"ACELGA UN 1UN","","4","24,04","","","","-24,04"
,"5.188,64",,"516,00",,"368,91","24,65","663,40"
