"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","830,10","3,225","10,77","54,160","180,89","","70,10"
"BATATA KG","372,79","2,290","5,74","24,530","67,21","","48,47"
"BANANA PRATA KG","90,14","2,100","9,80","14,290","66,73","","-47,67"
"MORANGO BDJ 200GR","39,60","","","5","33,10","","-20,01"
"UVA ROSADA BJ500GR","49,85","1","2,66","10","26,60","","-0,72"
"ABOBRINHA KG","15,23","1,910","10,64","3,655","20,36","","-26,39"
"CENOURA KG","10,69","4,675","11,73","7,275","18,26","","-24,69"
"BETERRABA KG","8,11","0,335","1,44","2,501","10,73","","-9,01"
"AMEIXA KG","76,16","0,408","2,65","1,375","8,94","","2,64"
"CEBOLA KG","86,31","1,470","2,41","3,840","6,30","","27,10"
"BATATA DOCE ROXA KG","39,93","","","1,260","6,06","","7,92"
"MELAO AMARELO KG","25,31","0,790","2,42","1,890","5,78","","4,18"
"ALFACE LISA 1UN","","","","5","5,00","","-5,00"
"LIMAO KG","44,43","2,100","5,44","1,835","4,75","","11,17"
"REPOLHO ROXO 1UN","","","","1","3,51","","-3,51"
"TOMATE SALADETE KG","97,05","10,809","45,19","0,801","3,35","","-9,51"
"MAMAO KG","67,53","1,480","8,01","0,536","2,90","","18,67"
"GOIABA KG","","","","0,890","2,67","","-2,67"
"ALFACE CRESPA 1UN","47,46","","","1","2,50","","9,96"
"UVA ROSADA KG","67,09","","","0,316","2,10","","19,88"
"PIMENTAO VERDE KG","","","","0,550","1,94","","-1,94"
"CEBOLINHA VERDE 1UN","13,38","","","1","1,00","","6,38"
"CHUCHU KG","7,88","1,435","12,18","0,062","0,53","","-11,59"
"MANGA KG","101,38","2,575","10,30","0,120","0,48","","22,51"
"COCO SECO KG","","","","0,015","0,06","","-0,06"
"PEPINO KG","79,54","","","0,015","0,05","","22,11"
"MACA GALA/FUJI KG","242,95","11,620","67,85","","","","56,43"
"OVOS VERMELHOS NEGOSEK 12UN","236,77","","","","","","64,27"
"TOMATE KG","184,57","19,275","57,78","","","","32,52"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","175,89","","","","","","39,89"
"MELANCIA KG","137,13","6,750","5,40","","","","41,50"
"ALHO KG","73,72","","","","","","31,51"
"LARANJA PERA KG","73,15","5,225","16,07","","","","11,91"
"REPOLHO 1UN","51,67","3","10,53","","","","-4,49"
"OVOS VERMELHOS NEGOSEK 6UN","44,92","","","","","","12,92"
"CEBOLA REDE PRISA 1KG","31,96","","","","","","14,76"
"ALFACE AMERICANA 1UN","28,86","","","","","","1,86"
"MARACUJA KG","21,29","","","","","","8,15"
"MILHO VERDE BDJ 1UN","20,97","","","","","","10,86"
"ACELGA UN 1UN","19,95","","","","","","1,10"
"SALSINHA VERDE 1UN","17,94","","","","","","11,94"
"CENOURA BDJ 500GR","17,91","1","1,25","","","","5,41"
"TAMARA TUNISIA 200GR","13,98","","","","","","4,17"
"BATATA ROSA KG","12,08","","","","","","2,65"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"ABACAXI PEROLA 1UN","7,99","3","16,80","","","","-14,41"
"RUCULA 1UN","7,98","","","","","","1,98"
"TOMATE CEREJA BDJ 300G 1UN","","3","8,25","","","","-8,25"
,"3.599,63",,"325,31",,"481,80","0,00","437,85"
