"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA GALA CAT3 KG","","","","0,850","2,36","","-2,36"
"BATATA KG","679,38","16,002","76,33","","","","32,93"
"BANANA CATURRA KG","432,15","","","","","","199,91"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","428,72","","","","","","38,72"
"TOMATE KG","259,41","7,700","36,30","","","","54,94"
"OVOS VERMELHOS NEGOSEK 12UN","179,85","","","","","","44,85"
"MACA GALA/FUJI KG","170,56","1,750","8,24","","","","63,79"
"CAQUI KG","164,46","0,195","0,69","","","","72,79"
"PONKAN KG","138,36","4,575","12,43","","","","56,46"
"REPOLHO 1UN","111,84","","","","","","28,43"
"MANGA KG","111,33","2,565","13,56","","","","13,11"
"ALHO KG","84,64","","","","","","46,89"
"OVOS VERMELHOS NEGOSEK 6UN","84,37","","","","","","22,62"
"PEPINO KG","83,10","","","","","","27,65"
"CEBOLA REDE PRISA 1KG","71,91","","","","","","26,01"
"MAMAO KG","71,43","","","","","","17,79"
"UVA NUBIA BDJ 500GR","67,94","","","","","","22,60"
"CEBOLA KG","65,37","0,230","0,80","","","","21,03"
"ABACATE KG","57,10","","","","","","27,62"
"CENOURA BDJ 500GR","53,91","","","","","","33,21"
"ALFACE CRESPA 1UN","51,87","","","","","","12,87"
"ALHO PRISA FIGURA 150GR","44,95","","","","","","15,50"
"BROCOLIS AMERICANO 1UN","35,94","","","","","","3,30"
"PINHAO KG","35,48","","","","","","0,71"
"MILHO VERDE BDJ 1UN","33,95","","","","","","15,90"
"LARANJA PERA KG","30,70","3,115","9,19","","","","0,93"
"MORANGO BDJ 200GR","29,98","","","","","","12,36"
"BROCOLIS/COUVE FLOR BJ1UN","27,96","1","5,90","","","","-1,54"
"CEBOLA CONSERVA KG","26,07","","","","","","7,37"
"LIMAO KG","23,00","0,765","1,94","","","","9,34"
"MELAO AMARELO KG","21,73","9,100","44,41","","","","-43,93"
"MORANGO BDJ 500GR","17,99","","","","","","7,99"
"SALSINHA VERDE 1UN","15,92","","","","","","7,92"
"PIMENTAO VERDE KG","14,94","0,100","0,69","","","","3,83"
"ABOBRINHA KG","14,81","","","","","","2,40"
"BATATA DOCE ROXA KG","14,67","0,680","2,14","","","","3,27"
"CEBOLINHA VERDE 1UN","12,18","","","","","","6,18"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"TAMARA TUNISIA 200GR","6,99","","","","","","2,42"
"ABOBORA MORANGA KG","6,88","","","","","","2,39"
"MARACUJA KG","5,74","0,650","4,91","","","","-3,55"
"ALFACE AMERICANA 1UN","4,99","1","3,00","","","","-1,75"
"CHUCHU KG","2,83","5,645","23,48","","","","-22,33"
"PIMENTAO VERMELHO KG","1,62","","","","","","0,22"
"CENOURA KG","1,00","","","","","","0,41"
"KIWI KG","","","","","","",""
"PIMENTAO AMARELO KG","","","","","","",""
"FLOR CACTUS MINI P06 1UN","","","","","","",""
"ALFACE ROXA 1UN","","","","","","",""
"FLOR VIOLETA P11 1UN","","","","","","",""
"BANANA PRATA KG","","","","","","",""
,"3.806,01",,"244,01",,"2,36","0,00","894,05"
