"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","689,69","7,385","30,06","","","","190,98"
"BATATA KG","317,34","24,050","65,06","","","","34,30"
"OVOS VERMELHOS NEGOSEK 12UN","285,74","","","","","","90,74"
"TOMATE KG","202,71","11,550","45,45","","","","64,45"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","149,90","","","","","","34,90"
"MACA GALA/FUJI KG","132,43","2,930","26,19","","","","6,18"
".PESSEGO KG","100,11","","","","","","33,93"
"MANGA KG","99,99","2,361","8,71","","","","22,83"
"MAMAO KG","98,73","","","","","","29,56"
"TOMATE SALADETE KG","83,97","10,855","85,92","","","","-60,58"
"PESSEGO KG","74,12","12,565","52,37","","","","-28,87"
"ALFACE CRESPA 1UN","62,82","","","","","","19,82"
"CEBOLA KG","61,84","","","","","","29,64"
"MELANCIA KG","61,39","3,960","7,92","","","","2,79"
"PEPINO KG","59,90","1,630","5,02","","","","24,09"
"LARANJA PERA KG","57,16","0,425","1,20","","","","23,27"
"ALHO KG","50,23","","","","","","22,51"
"LIMAO KG","49,92","1,785","6,21","","","","11,29"
"PEPINO JAPONES KG","45,50","5,770","45,07","","","","-42,96"
"UVA VITORIA 500GR","39,60","","","","","","14,04"
"OVOS VERMELHOS NEGOSEK 6UN","35,94","","","","","","12,04"
"BANANA PRATA KG","33,99","0,075","0,35","","","","5,51"
"CEBOLA CONSERVA KG","31,36","","","","","","11,23"
"SALSINHA VERDE 1UN","26,91","10","10,00","","","","7,91"
"ABACAXI PEROLA 1UN","23,97","3","12,18","","","","-0,39"
"REPOLHO 1UN","23,73","9","27,45","","","","-25,07"
"CEBOLINHA VERDE 1UN","22,30","10","10,00","","","","2,30"
"BATATA DOCE ROXA KG","20,84","0,765","2,30","","","","8,06"
"MORANGO BDJ 200GR","19,80","","","","","","4,12"
"PIMENTAO VERDE KG","15,59","1,360","6,80","","","","0,71"
"CENOURA KG","13,56","0,560","1,90","","","","4,83"
"CARAMBOLA KG","12,86","0,480","5,67","","","","-2,31"
"MELAO AMARELO KG","8,98","1,535","5,25","","","","-2,43"
"CEBOLA REDE PRISA 1KG","7,99","","","","","","3,69"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,67"
"PIMENTAO VERMELHO KG","6,57","","","","","","3,00"
"ABOBRINHA KG","2,09","1,575","4,74","","","","-4,23"
"REPOLHO UN","1,49","","","","","","0,49"
"TOMATE CEREJA BDJ 300G 1UN","","5","14,30","","","","-14,30"
"ALFACE ROXA 1UN","","1","1,50","","","","-1,50"
"CENOURA BDJ 500GR","","12","15,00","","","","-15,00"
"MARACUJA KG","","0,340","5,03","","","","-5,03"
"TOMATE CEREJA 250GR","","","","","","",""
"GOIABA KG","","12,467","98,99","","","","-98,99"
"ALFACE LISA 1UN","","3","4,50","","","","-4,50"
"MANGA ESPADA KG","","2,671","15,79","","","","-15,79"
"ALFACE AMERICANA 1UN","","1","1,25","","","","-1,25"
,"3.039,05",,"622,18",,"0,00","0,00","398,68"
