"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","665,39","7,165","21,50","","","","169,55"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","387,70","","","","","","87,70"
"MELANCIA KG","328,17","","","","","","105,40"
"BATATA KG","286,89","5,055","11,77","","","","86,68"
"AMEIXA KG","246,43","1,155","6,36","","","","129,12"
"OVOS VERMELHOS NEGOSEK 12UN","229,78","","","","","","75,78"
"TOMATE KG","210,54","4,210","20,15","","","","62,84"
"MACA GALA/FUJI KG","198,36","0,720","6,34","","","","34,05"
"MANGA KG","138,68","2,890","10,25","","","","51,68"
"TOMATE SALADETE KG","122,39","1,430","5,78","","","","41,40"
"MAMAO KG","106,92","0,830","4,61","","","","36,00"
"UVA ROSADA KG","103,41","","","","","","46,79"
"ALFACE CRESPA 1UN","93,68","","","","","","23,68"
"PEPINO JAPONES KG","80,66","","","","","","33,62"
"BANANA PRATA KG","73,97","2,610","12,19","","","","8,30"
"MORANGO BDJ 200GR","69,30","","","","","","21,68"
"BROCOLIS AMERICANO 1UN","65,89","","","","","","32,89"
"OVOS VERMELHOS NEGOSEK 6UN","59,87","","","","","","11,12"
"CEBOLA KG","59,39","","","","","","22,60"
"LARANJA PERA KG","59,34","2,315","6,67","","","","11,19"
"CEBOLA REDE PRISA 1KG","55,93","","","","","","25,83"
"REPOLHO 1UN","53,87","","","","","","22,18"
"PEPINO KG","53,27","0,500","1,02","","","","29,35"
"LIMAO KG","52,55","1,995","5,43","","","","18,93"
"ALHO KG","48,88","","","","","","20,25"
"PESSEGO KG","44,69","10,960","59,29","","","","-40,47"
"ALHO PRISA FIGURA 150GR","26,97","","","","","","9,30"
"PIMENTAO VERDE KG","21,68","0,890","4,18","","","","9,38"
"CEBOLA CONSERVA KG","21,64","0,595","1,34","","","","6,40"
"BATATA SALSA BDJ 500GR","17,97","","","","","","4,08"
"MELAO AMARELO KG","17,85","1,500","5,13","","","","2,53"
"ABOBRINHA KG","16,10","","","","","","6,72"
"CEBOLINHA VERDE 1UN","15,61","","","","","","8,61"
"ALFACE AMERICANA 1UN","14,97","","","","","","7,47"
"BATATA DOCE ROXA KG","14,35","","","","","","5,48"
"COUVE FLOR 1UN","13,98","","","","","","5,98"
"MARACUJA KG","13,87","1,395","14,24","","","","-9,92"
"RUCULA 1UN","11,97","","","","","","2,97"
"COUVE MANTEIGA 1UN","11,97","","","","","","2,97"
"REPOLHO ROXO 1UN","11,96","","","","","","1,76"
"CENOURA BDJ 500GR","9,95","","","","","","3,67"
"UVA UVARIA SEM SEMENTE 500GR","9,90","","","","","","3,90"
"MORGOTE KG","8,95","1,445","8,25","","","","-5,70"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"ABACAXI PEROLA 1UN","7,99","7","28,42","","","","-24,49"
"PIMENTAO VERMELHO KG","7,13","1,525","11,18","","","","-7,79"
"SALSINHA VERDE 1UN","5,98","","","","","","3,98"
"ALFACE ROXA 1UN","3,79","","","","","","1,29"
"CHUCHU KG","3,07","","","","","","0,44"
"PIMENTAO AMARELO KG","","1,815","13,30","","","","-13,30"
,"4.191,59",,"257,40",,"0,00","0,00","1.196,72"
