"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","378,30","14,774","38,79","11,346","30,63","","59,35"
"BANANA CATURRA KG","809,36","7,075","24,20","3,170","11,41","","294,53"
"PESSEGO KG","191,86","9,730","38,24","2,810","11,21","","47,04"
"UVA ROSADA KG","","","","1,214","7,34","","-7,34"
"TOMATE KG","163,17","13,904","81,10","1,410","7,32","","-48,41"
"REPOLHO 1UN","50,89","1","2,54","2","7,14","","12,24"
"OVOS VERMELHOS NEGOSEK 12UN","329,70","","","1","7,00","","112,70"
"TOMATE SALADETE KG","214,05","10,579","60,84","1,341","6,96","","12,14"
"PEPINO KG","85,49","2,035","9,46","1,300","6,05","","5,58"
"TOMATE CEREJA 250GR","","","","2","6,00","","-6,00"
"PEPINO JAPONES KG","63,26","1,350","13,33","0,650","5,08","","3,20"
"ALFACE CRESPA 1UN","48,86","","","2","5,00","","8,86"
"MELANCIA KG","225,85","","","2,089","4,51","","52,45"
"BATATA DOCE ROXA KG","54,72","0,690","2,28","1,090","3,61","","12,54"
"MANGA KG","101,00","5,015","20,52","0,640","3,53","","26,06"
"CEBOLA ROXA KG","","","","0,689","3,31","","-3,31"
"CEBOLINHA VERDE 1UN","6,69","","","3","3,00","","0,69"
"ABOBRINHA KG","3,80","3,100","18,01","0,440","2,56","","-19,53"
"CENOURA BDJ 500GR","11,94","4","5,00","2","2,50","","-3,06"
"LARANJA PERA KG","70,95","1,975","6,05","0,555","1,57","","19,31"
"ALHO KG","61,69","","","0,090","1,32","","26,38"
"LIMAO KG","55,28","1,115","4,02","0,340","1,23","","16,73"
"CEBOLA CONSERVA KG","29,87","0,286","0,64","0,160","0,36","","9,71"
"MELAO AMARELO KG","","0,759","2,60","0,060","0,21","","-2,81"
"CEBOLA KG","53,70","1,495","2,44","0,045","0,07","","19,23"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","248,46","","","","","","78,46"
"MACA GALA/FUJI KG","208,81","1,225","11,19","","","","50,86"
"MAMAO KG","109,97","8,245","68,19","","","","-31,94"
"AMEIXA KG","101,79","0,116","0,71","","","","69,27"
"UVA BRASIL BDJ 500GR","64,95","","","","","","20,65"
"OVOS VERMELHOS NEGOSEK 6UN","53,91","","","","","","18,81"
"BETERRABA KG","42,97","","","","","","13,19"
"MORANGO BDJ 200GR","39,60","","","","","","13,46"
"PIMENTAO AMARELO KG","35,99","","","","","","18,39"
"CEBOLA REDE AGRO NASCENTE 500GR","31,41","","","","","","13,86"
"BANANA PRATA KG","28,90","0,940","4,39","","","","5,20"
"UVA THOMPSON 500GR","26,97","","","","","","3,04"
"ABACAXI PEROLA 1UN","23,97","4","16,24","","","","-4,45"
"CENOURA KG","20,60","","","","","","8,93"
"UVA ROSADA BJ500GR","19,80","","","","","","9,20"
"PIMENTAO VERMELHO KG","19,66","","","","","","9,36"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,70"
"SALSINHA VERDE 1UN","11,96","","","","","","7,96"
"MORGOTE KG","10,75","1,570","8,96","","","","-5,77"
"PIMENTAO VERDE KG","8,76","","","","","","4,32"
"ALFACE AMERICANA 1UN","3,99","","","","","","2,74"
"TOMATE CEREJA BDJ 300G 1UN","3,99","1","2,86","","","","-1,73"
"ALFACE ROXA 1UN","","","","","","",""
"BATATA SALSA BDJ 500GR","","","","","","",""
"PERA KG","","","","","","",""
"MILHO VERDE BDJ 1UN","","3","10,83","","","","-10,83"
"TAMARA TUNISIA 200GR","","1","4,26","","","","-4,26"
"CHUCHU KG","","","","","","",""
,"4.143,62",,"457,69",,"138,92","0,00","942,70"
