"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","579,52","9,110","57,26","6,198","31,80","","-77,32"
"MANGA KG","94,12","1,005","5,42","4,145","21,89","8,15","-1,30"
"TOMATE KG","181,46","13,285","68,90","4,185","20,38","","0,53"
"REPOLHO 1UN","117,82","","","3","15,42","","13,24"
"PONKAN KG","128,01","5,383","11,89","6,705","14,89","","57,59"
"RUCULA 1UN","","","","4","12,00","","-12,00"
"LARANJA PERA KG","15,87","0,763","2,18","4,060","11,98","","-7,60"
"CEBOLA REDE PRISA 1KG","15,98","","","2","10,20","","-4,42"
"PIMENTAO VERDE KG","28,48","0,945","6,53","1,396","9,65","","-7,59"
"ALHO KG","64,86","","","0,823","9,13","3,49","19,71"
"COUVE FLOR 1UN","","","","3","9,00","","-9,00"
"ABOBORA MORANGA KG","","3,675","7,17","4,450","8,68","","-15,85"
"PEPINO KG","25,18","5,290","28,19","1,626","8,67","","-28,48"
"UVA ROSADA BJ500GR","","","","1","6,97","","-6,97"
"LIMAO KG","19,77","3,150","8,00","2,540","6,45","","-4,74"
"ALFACE AMERICANA 1UN","","","","2","6,00","","-6,00"
"CEBOLA CONSERVA KG","2,87","","","1,380","4,76","","-3,87"
"OVOS VERMELHOS NEGOSEK 6UN","25,96","","","1","4,75","","2,21"
"CAQUI KG","104,26","12,405","51,36","0,995","4,12","","-13,31"
"ABOBRINHA KG","18,20","3,825","14,52","1,020","3,92","","-14,19"
"KIWI KG","21,98","0,550","4,95","0,400","3,60","","-4,55"
"CEBOLA KG","89,71","0,665","2,30","1","3,46","0,94","20,53"
"MARACUJA KG","19,38","1,990","15,02","0,420","3,17","","-7,42"
"ALFACE ROXA 1UN","","","","1","3,00","","-3,00"
"PINHAO KG","72,20","","","0,340","2,72","","15,23"
"CENOURA BDJ 500GR","111,80","","","1","2,30","","63,38"
"MELAO AMARELO KG","12,13","","","0,325","1,59","","2,07"
"MAMAO KG","40,64","0,500","3,00","0,160","0,96","","5,67"
"BATATA DOCE ROXA KG","","","","0,240","0,76","","-0,76"
"ABACATE KG","12,33","5,780","13,76","0,110","0,26","","-4,66"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","612,60","","","","","","112,60"
"BANANA CATURRA KG","460,63","1,045","2,29","","","18,14","220,87"
"OVOS VERMELHOS NEGOSEK 12UN","155,87","","","","","","38,87"
"ALFACE CRESPA 1UN","100,77","","","","","5,13","22,77"
"MORANGO BDJ 200GR","74,95","","","","","","30,90"
"MACA GALA/FUJI KG","56,74","3,350","14,94","","","","12,78"
"ABACAXI PEROLA 1UN","47,94","","","","","","-1,74"
"UVA NUBIA BDJ 500GR","36,96","","","","","","6,72"
"MORANGO BDJ 500GR","35,98","","","","","","15,98"
"MILHO VERDE BDJ 1UN","35,94","","","","","","14,29"
"BATATA SALSA BDJ 500GR","31,96","","","","","","9,62"
"SALSINHA VERDE 1UN","25,87","","","","","","12,87"
"CEBOLINHA VERDE 1UN","19,90","","","","","","9,90"
"TAMARA TUNISIA 200GR","13,98","","","","","","4,84"
"PESSEGO KG","12,34","","","","","12,11",""
"AMEIXA KG","11,96","","","","","12,34",""
"FLOR VIOLETA P11 1UN","9,99","","","","","","3,22"
"BETERRABA KG","9,61","","","","","","3,63"
"ALHO PRISA FIGURA 150GR","8,99","","","","","","3,10"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"UVA UVARIA SEM SEMENTE 500GR","6,00","","","","","6,52",""
"FLOR CACTUS MINI P06 1UN","4,99","","","","","","1,77"
"CEBOLINHA PICADA 1UN","2,23","","","","","","1,23"
"BANANA PRATA KG","1,92","0,360","1,68","","","","-1,56"
"CENOURA KG","0,96","","","","","","0,40"
"PIMENTAO VERMELHO KG","","","","","","",""
"PIMENTAO AMARELO KG","","","","","","",""
"PERA KG","","","","","","",""
"ABOBORA CABOTIA KG","","","","","","",""
"ABOBORA SECA KG","","","","","","",""
,"3.589,60",,"319,36",,"242,48","66,82","493,04"
