"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA CATURRA KG","722,83","31,900","112,53","","","","61,72"
"OVOS VERMELHOS NEGOSEK 12UN","359,70","","","","","","89,70"
"BATATA KG","353,87","1,200","3,41","","","","88,36"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","296,81","","","","","","78,31"
"TOMATE KG","237,10","8,260","39,72","","","","47,70"
"MACA GALA/FUJI KG","202,52","7,170","43,59","","","","64,11"
"TOMATE SALADETE KG","182,50","6,175","39,42","","","","23,94"
"REPOLHO 1UN","137,77","2","10,86","","","","4,32"
"MAMAO KG","116,58","4,800","30,05","","","","11,83"
"PEPINO KG","114,02","4,425","18,96","","","","14,86"
"LARANJA PERA KG","97,76","8,630","28,29","","","","-0,81"
"MANGA KG","95,79","2,520","13,18","","","","19,91"
"BANANA PRATA KG","89,95","7,835","36,59","","","","-6,74"
"CEBOLA KG","82,02","0,950","2,74","","","","22,12"
"OVOS VERMELHOS NEGOSEK 6UN","77,88","","","","","","29,88"
"ALFACE CRESPA 1UN","74,80","","","","","","19,30"
"MELANCIA KG","73,17","25,611","29,45","","","","-26,35"
"UVA THOMPSON 500GR","69,30","","","","","","0,91"
"UVA ROSADA KG","61,75","1,500","12,00","","","","2,48"
"LIMAO KG","61,43","5,680","18,69","","","","3,10"
"ALHO KG","59,82","","","","","","25,78"
"BROCOLIS AMERICANO 1UN","53,91","","","","","","20,91"
"BATATA DOCE ROXA KG","51,69","","","","","","18,33"
"MORANGO BDJ 200GR","49,50","","","","","","11,60"
"CEBOLA REDE PRISA 1KG","39,95","","","","","","18,45"
"AMEIXA KG","27,06","0,175","1,14","","","","3,91"
"ALHO PRISA FIGURA 150GR","26,97","","","","","","9,30"
"ABACAXI PEROLA 1UN","23,97","","","","","","9,54"
"CENOURA KG","21,56","5,300","24,86","","","","-18,55"
"ALFACE AMERICANA 1UN","19,96","","","","","","8,96"
"MELAO AMARELO KG","17,10","","","","","","8,36"
"ACELGA UN 1UN","15,98","","","","","","3,96"
"ALFACE ROXA 1UN","15,16","","","","","","3,66"
"TAMARA TUNISIA 200GR","13,98","","","","","","5,24"
"RUCULA 1UN","11,97","","","","","","4,47"
"TOMATE CEREJA BDJ 300G 1UN","11,97","","","","","","0,54"
"SALSINHA VERDE 1UN","11,96","","","","","","7,96"
"UVA ROSADA BJ500GR","9,90","","","","","","4,08"
"PIMENTAO VERMELHO KG","9,81","2,690","24,23","","","","-21,22"
"MILHO VERDE BDJ 1UN","6,99","9","30,33","","","","-26,71"
"CEBOLINHA VERDE 1UN","6,69","","","","","","3,69"
"COCO SECO KG","5,35","0,460","1,96","","","","0,17"
"BATATA ROSA KG","5,16","18,365","58,22","","","","-56,34"
"PIMENTAO VERDE KG","3,32","3,150","15,79","","","","-14,15"
"KIWI BDJ 1UN","","","","","","",""
"CENOURA BDJ 500GR","","","","","","",""
"REPOLHO ROXO 1UN","","5","17,55","","","","-17,55"
"MARACUJA KG","","0,260","2,97","","","","-2,97"
,"4.027,28",,"616,53",,"0,00","0,00","560,07"
