"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BANANA PRATA KG","43,48","5,470","25,54","13,321","62,21","","-73,33"
"UVA ROSADA BJ500GR","93,85","1","6,39","6","38,34","","-21,17"
"ABACAXI PEROLA 1UN","39,95","1","5,41","6","32,46","","-24,97"
"BATATA KG","622,79","10,165","33,79","9,095","30,01","","138,70"
"MELANCIA KG","54,25","59,486","71,38","22,520","27,02","","-85,08"
"KIWI BDJ 1UN","14,99","","","3","22,77","","-15,37"
"AMEIXA KG","","","","1,675","10,89","","-10,89"
"MANGA KG","80,06","3,465","18,12","1,750","9,15","","0,38"
"OVOS VERMELHOS NEGOSEK 12UN","371,69","","","1","9,00","","83,69"
"UVA NUBIA BDJ 500GR","67,94","1","7,55","1","7,55","","7,54"
"ALFACE ROXA 1UN","3,99","","","2","6,00","","-5,01"
"CEBOLA CONSERVA KG","27,51","","","1,950","5,38","","3,11"
"TOMATE CEREJA BDJ 300G 1UN","9,98","1","3,46","1","3,46","","-3,86"
"MORGOTE KG","23,46","11,971","75,18","0,400","2,51","","-69,12"
"CEBOLA KG","87,19","1,500","3,87","0,795","2,05","","21,37"
"PEPINO JAPONES KG","15,49","5,975","22,22","0,445","1,66","","-16,62"
"ABACATE KG","77,80","2","5,17","0,150","0,39","","32,41"
"PIMENTAO VERDE KG","1,04","4,460","25,25","0,055","0,31","","-25,11"
"BANANA CATURRA KG","560,95","","","","","","99,36"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","395,78","","","","","","76,78"
"TOMATE KG","289,92","11,068","51,91","","","","43,46"
"MACA GALA/FUJI KG","224,46","13,834","72,22","","","","33,90"
"TOMATE SALADETE KG","158,87","6,940","48,37","","","","-1,38"
"ALHO KG","141,12","","","","","","78,14"
"PEPINO KG","120,15","4,145","10,65","","","","57,95"
"OVOS VERMELHOS NEGOSEK 6UN","115,49","","","","","","29,99"
"CENOURA BDJ 500GR","77,30","","","","","","7,90"
"ALFACE CRESPA 1UN","71,82","","","","","","17,82"
"LARANJA PERA KG","64,81","2,500","8,15","","","","11,01"
"REPOLHO 1UN","53,91","","","","","","15,21"
"COUVE FLOR 1UN","41,94","6","31,71","","","","-19,77"
"BROCOLIS AMERICANO 1UN","41,93","","","","","","13,93"
"CEBOLA REDE PRISA 1KG","39,95","","","","","","16,95"
"ALHO PRISA FIGURA 150GR","35,96","","","","","","12,40"
"MORANGO BDJ 200GR","29,98","4","41,88","","","","-32,84"
"LIMAO KG","25,50","7,600","21,59","","","","-10,60"
"SALSINHA VERDE 1UN","19,90","","","","","","9,90"
"MAMAO KG","9,65","8,395","54,65","","","","-51,35"
"ALHO AGRO NASCENTE 150GR","7,99","","","","","","2,85"
"CHUCHU KG","7,65","0,560","2,33","","","","0,76"
"TOMATE CEREJA 250GR","6,99","","","","","","3,99"
"TAMARA TUNISIA 200GR","6,99","1","3,61","","","","-0,98"
"MELAO AMARELO KG","6,41","1,325","5,26","","","","-3,10"
"ALFACE AMERICANA 1UN","4,99","1","3,00","","","","-1,01"
"MELAO SAPO KG","3,44","","","","","","1,38"
"PIMENTAO VERMELHO KG","2,01","","","","","","0,61"
"UVA VITORIA 500GR","","6","47,46","","","","-47,46"
"RUCULA 1UN","","","","","","",""
,"4.201,32",,"706,12",,"271,16","0,00","302,47"
