"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA GALA/FUJI KG","226,01","2,800","16,99","4,005","24,35","","79,09"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","329,78","","","2","23,00","","53,78"
"BANANA PRATA KG","55,05","3,100","14,48","2,955","13,80","","-10,00"
"AMEIXA KG","314,71","2,950","19,18","1,105","7,18","","32,23"
"BETERRABA KG","","12,300","52,77","1,250","5,36","","-58,13"
"SALSINHA VERDE 1UN","20,93","","","5","5,00","","8,93"
"ALFACE AMERICANA 1UN","9,98","","","2","5,00","","-0,02"
"MARACUJA KG","24,55","3,200","36,54","0,375","4,28","","-32,77"
"COUVE MANTEIGA 1UN","","","","1","3,00","","-3,00"
"PIMENTAO VERDE KG","21,03","","","0,390","1,95","","10,91"
"MANGA KG","64,39","1,172","5,75","0,290","1,20","","22,18"
"PIMENTAO VERMELHO KG","18,36","0,200","1,80","0,095","0,86","","2,07"
"BATATA DOCE ROXA KG","45,61","0,980","4,42","0,095","0,46","","10,47"
"COCO SECO KG","","","","0,100","0,43","","-0,43"
"LIMAO KG","46,40","0,860","2,24","0,085","0,22","","18,94"
"MELAO AMARELO KG","15,18","","","0,015","0,05","","7,37"
"BANANA CATURRA KG","681,27","3,600","12,02","","","","198,16"
"BATATA KG","355,21","","","","","","92,43"
"OVOS VERMELHOS NEGOSEK 12UN","182,84","","","","","","59,84"
"TOMATE SALADETE KG","173,14","1,845","13,23","","","","36,32"
"TOMATE KG","119,90","3,380","16,91","","","","18,15"
"LARANJA PERA KG","100,30","","","","","","36,28"
"ALHO KG","84,62","","","","","","36,08"
"UVA ROSADA BJ500GR","82,28","","","","","","45,70"
"OVOS VERMELHOS NEGOSEK 6UN","74,88","","","","","","26,88"
"CEBOLA REDE PRISA 1KG","71,91","","","","","","33,21"
"PEPINO KG","68,57","1,600","6,51","","","","14,75"
"CEBOLA KG","67,51","0,300","0,81","","","","15,17"
"ALFACE CRESPA 1UN","66,31","","","","","","18,81"
"MELANCIA KG","63,37","","","","","","15,57"
"MAMAO KG","46,58","","","","","","17,08"
"CENOURA BDJ 500GR","45,80","","","","","","13,25"
"REPOLHO 1UN","44,92","","","","","","9,76"
"MORANGO BDJ 200GR","29,70","","","","","","8,87"
"ALHO PRISA FIGURA 150GR","26,97","","","","","","9,30"
"ACELGA UN 1UN","13,98","","","","","","1,96"
"UVA ROSADA KG","10,20","","","","","","3,33"
"CEBOLINHA VERDE 1UN","8,92","","","","","","4,92"
"MILHO VERDE BDJ 1UN","6,99","","","","","","3,62"
"REPOLHO ROXO 1UN","5,99","","","","","","2,48"
"TOMATE CEREJA BDJ 300G 1UN","3,99","","","","","","1,24"
"ALFACE ROXA 1UN","3,79","","","","","","1,29"
"GOIABA KG","3,43","11,340","35,61","","","","-33,72"
"CENOURA KG","1,87","","","","","","0,93"
"RUCULA 1UN","","","","","","",""
"TAMARA TUNISIA 200GR","","","","","","",""
"ABOBRINHA KG","","5,665","31,55","","","","-31,55"
"BATATA ROSA KG","","0,750","2,38","","","","-2,38"
,"3.637,22",,"273,19",,"96,14","0,00","799,35"
