"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MACA GALA/FUJI KG","208,82","5,800","34,90","8,255","50,03","","5,92"
"MORANGO BDJ 200GR","","","","4","26,48","","-26,48"
"BANANA PRATA KG","106,97","5,270","24,61","4,445","20,76","","-18,02"
"TOMATE KG","189,72","20,005","74,03","4,845","17,93","","-14,19"
"AMEIXA KG","251,39","7,995","51,96","2,667","17,34","","-22,48"
"ALFACE CRESPA 1UN","57,93","","","6","15,00","","0,43"
"BATATA KG","445,60","12,215","34,97","4,775","13,85","","77,71"
"ALFACE AMERICANA 1UN","21,92","","","5","12,50","","-4,58"
"MARACUJA KG","20,31","2,435","27,81","1,050","11,99","","-33,14"
"BETERRABA KG","11,71","1,325","5,69","2,675","11,48","","-12,65"
"REPOLHO ROXO 1UN","29,95","","","3","10,53","","1,87"
"TOMATE SALADETE KG","126,96","2,960","12,37","2,290","9,57","","29,12"
"COUVE MANTEIGA 1UN","","","","3","9,00","","-9,00"
"CENOURA BDJ 500GR","23,88","2","2,52","7","8,82","","-2,58"
"ACELGA UN 1UN","5,99","","","2","8,42","","-6,64"
"ABOBRINHA KG","7,87","7,730","43,05","1,500","8,36","","-49,03"
"OVOS VERMELHOS NEGOSEK 6UN","65,89","","","2","8,00","","13,89"
"MAMAO KG","92,13","1,610","10,09","0,975","6,11","","17,60"
"BROCOLIS AMERICANO 1UN","","","","2","6,00","","-6,00"
"ABACAXI PEROLA 1UN","7,99","9","50,40","1","5,60","","-53,61"
"MANGA KG","60,06","1,630","6,76","1,250","5,19","","3,72"
"BATATA ROSA KG","5,24","0,135","0,43","1,635","5,18","","-3,70"
"CHUCHU KG","","","","0,569","4,83","","-4,83"
"GOIABA KG","25,91","1,680","5,27","1,285","4,03","","0,27"
"RUCULA 1UN","3,99","","","1","3,00","","-2,01"
"MELANCIA KG","68,34","","","2,578","2,96","","15,95"
"UVA ROSADA BJ500GR","8,99","2","5,32","1","2,66","","-1,65"
"BATATA DOCE ROXA KG","48,20","","","0,440","2,12","","1,32"
"CEBOLINHA VERDE 1UN","6,69","","","2","2,00","","1,69"
"PEPINO KG","6,14","","","0,450","1,60","","0,17"
"UVA ROSADA KG","19,67","","","0,229","1,53","","4,90"
"LARANJA PERA KG","62,14","1,975","6,28","0,440","1,40","","14,87"
"SALSINHA VERDE 1UN","17,94","","","1","1,00","","10,94"
"MELAO AMARELO KG","","","","0,200","0,61","","-0,61"
"COCO SECO KG","","","","0,050","0,21","","-0,21"
"LIMAO KG","67,57","1,595","4,13","0,035","0,09","","21,12"
"ALHO KG","27,67","","","0,005","0,08","","11,75"
"BANANA CATURRA KG","721,98","7,805","26,07","","","","193,56"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","528,62","","","","","","83,62"
"OVOS VERMELHOS NEGOSEK 12UN","219,80","","","","","","69,80"
"CEBOLA KG","91,06","0,915","1,50","","","","39,58"
"UVA BRANCA KG","66,49","4,148","20,74","","","","1,81"
"MILHO VERDE BDJ 1UN","41,94","","","","","","21,72"
"ALHO PRISA FIGURA 150GR","35,96","","","","","","12,40"
"REPOLHO 1UN","28,93","1","3,51","","","","0,85"
"CEBOLA REDE PRISA 1KG","15,98","","","","","","7,38"
"ALHO AGRO NASCENTE 150GR","15,98","","","","","","5,70"
,"3.870,32",,"452,41",,"316,26","0,00","398,25"
