"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","408,52","4,015","9,39","53,891","134,19","","5,79"
"MACA GALA/FUJI KG","217,29","6,660","56,17","4,070","34,68","","-27,53"
"TOMATE SALADETE KG","228,03","8,670","40,25","7,930","34,35","","36,50"
"PEPINO JAPONES KG","42,27","8,840","87,25","2,770","27,34","","-100,16"
"BETERRABA KG","7,73","3,160","10,94","6,605","22,85","","-31,42"
"UVA BRASIL BDJ 500GR","90,93","6","53,16","2","17,72","","-41,97"
"PERA KG","73,72","3,255","16,64","3,215","16,43","","13,73"
"PIMENTAO VERDE KG","5,74","1,465","7,33","3,055","15,28","","-19,78"
"CHUCHU KG","19,73","3,695","31,37","1,695","14,39","","-49,38"
"REPOLHO UN","","","","14","14,00","","-14,00"
"MORGOTE KG","57,08","4,420","25,24","2,120","12,11","","-21,08"
"MAMAO KG","76,96","4,485","35,52","1,315","10,88","","-16,80"
"ABOBRINHA KG","","11,725","68,13","1,805","10,49","","-78,62"
"PEPINO KG","135,57","1,020","3,04","3,650","9,61","","49,92"
"PESSEGO KG","19,81","6,515","22,81","2,645","9,26","","-22,19"
"LARANJA PERA KG","88,19","7,560","21,40","2,970","8,84","","6,52"
"PIMENTAO AMARELO KG","37,83","1,796","13,16","1,202","8,81","","-2,99"
"CENOURA BDJ 500GR","37,81","","","7","8,75","","5,22"
"PIMENTAO VERMELHO KG","27,40","3,393","24,87","1,153","8,45","","-20,62"
"BATATA DOCE ROXA KG","40,15","4,145","12,44","2,295","7,28","","-4,96"
"BANANA PRATA KG","140,73","3,165","14,78","1,380","6,44","","25,49"
"BANANA CATURRA KG","1.056,88","2,490","7,88","1,880","6,39","","378,57"
"MANGA KG","80,97","10,945","42,05","1,460","5,61","","-19,09"
"ALFACE CRESPA 1UN","80,66","","","2","5,00","","11,66"
"AMEIXA KG","333,62","3,961","24,17","0,699","4,26","","149,03"
"CEBOLA CONSERVA KG","28,42","","","1,784","4,00","","6,17"
"TOMATE KG","340,16","11,390","56,85","1,005","3,95","","69,38"
"ALHO KG","120,72","","","0,225","3,57","","48,64"
"MELANCIA KG","178,48","","","1,486","3,30","","48,28"
"CEBOLINHA VERDE 1UN","8,92","3","3,00","3","3,00","","-1,08"
"MELAO AMARELO KG","","","","0,791","2,71","","-2,71"
"REPOLHO 1UN","70,85","1","2,54","1","2,54","","27,67"
"LIMAO SICILIANO KG","","0,135","2,13","0,065","1,02","","-3,15"
"LIMAO KG","39,07","0,845","2,97","0,220","0,79","","15,26"
"CEBOLA KG","97,97","3,069","5,68","0,356","0,66","","30,81"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","461,67","","","","","","131,67"
"OVOS VERMELHOS NEGOSEK 12UN","417,62","","","","","","151,62"
"UVA UVARIA SEM SEMENTE 500GR","111,94","","","","","","27,94"
"OVOS VERMELHOS NEGOSEK 6UN","111,80","","","","","","34,85"
"UVA THOMPSON 500GR","77,94","1","6,74","","","","30,76"
"MORANGO BDJ 200GR","59,40","","","","","","15,84"
"ALHO AGRO NASCENTE 150GR","47,94","","","","","","17,10"
"BROCOLIS AMERICANO 1UN","35,94","","","","","","17,94"
"SALSINHA VERDE 1UN","35,88","","","","","","23,88"
"MILHO VERDE BDJ 1UN","29,45","","","","","","11,40"
"COUVE FLOR 1UN","27,96","","","","","","11,96"
"CEBOLA REDE AGRO NASCENTE 500GR","27,92","","","","","","12,32"
"CEBOLA REDE PRISA 1KG","23,97","","","","","","11,07"
"ALHO PRISA FIGURA 150GR","17,98","","","","","","6,20"
"ABACAXI PEROLA 1UN","15,98","3","12,18","","","","-4,32"
"MARACUJA KG","9,68","0,330","3,37","","","","0,49"
"ALFACE AMERICANA 1UN","4,99","","","","","","2,49"
"ALFACE ROXA 1UN","","2","5,00","","","","-5,00"
"BATATA SALSA BDJ 500GR","","2","7,22","","","","-7,22"
"TOMATE CEREJA 250GR","","2","6,00","","","","-6,00"
,"5.710,27",,"741,67",,"478,95","0,00","936,10"
