"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"MORANGO BDJ 200GR","","","","6","62,82","","-62,82"
"MACA GALA/FUJI KG","137,01","1,105","5,64","6,796","35,48","","17,26"
"BATATA KG","507,17","2,245","7,86","6,840","23,94","","106,25"
"CEBOLA KG","121,20","1,255","4,67","1,235","4,59","","32,21"
"CHUCHU KG","","3,170","13,19","1,025","4,26","","-17,45"
"PIMENTAO VERDE KG","","","","0,580","3,28","","-3,28"
"PEPINO KG","22,31","0,500","1,29","0,725","1,86","","9,59"
"LIMAO KG","43,84","0,460","1,29","0,606","1,70","","15,70"
"BANANA CATURRA KG","782,47","","","0,205","0,71","","188,43"
"BATATA DOCE ROXA KG","54,13","","","0,150","0,68","","25,88"
"OVOS VERMELHOS NEGOSEK 12UN","455,62","","","","","","113,62"
"TOMATE KG","269,35","2,960","12,82","","","","80,57"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","197,89","","","","","","38,39"
"TOMATE SALADETE KG","192,91","1,305","7,01","","","","75,18"
"PONKAN KG","121,47","4,200","15,87","","","","38,30"
"ALFACE CRESPA 1UN","119,44","","","","","","11,44"
"MELANCIA KG","113,09","22,302","26,76","","","","1,00"
"REPOLHO 1UN","108,84","","","","","","20,68"
"OVOS VERMELHOS NEGOSEK 6UN","96,34","","","","","","20,34"
"ALHO KG","96,21","","","","","","53,26"
"MANGA KG","91,42","","","","","","31,56"
"CEBOLA REDE PRISA 1KG","87,89","","","","","","37,29"
"BANANA PRATA KG","83,50","2,700","12,61","","","","11,05"
"LARANJA PERA KG","70,99","1,380","4,27","","","","22,23"
"COUVE FLOR 1UN","48,93","","","","","","13,93"
"MAMAO KG","48,79","4,185","20,93","","","","-2,67"
"CENOURA BDJ 500GR","35,94","1","4,61","","","","3,67"
"ABACAXI PEROLA 1UN","31,96","","","","","","10,32"
"UVA RUBI BDJ 500GR","29,70","","","","","","14,70"
"ALHO PRISA FIGURA 150GR","26,97","","","","","","9,30"
"ABOBRINHA KG","24,02","0,915","4,60","","","","2,14"
"BATATA SALSA KG","23,19","1,540","8,35","","","","-3,81"
"SALSINHA VERDE 1UN","19,90","","","","","","9,90"
"ABACATE KG","14,46","","","","","","10,69"
"CEBOLA CONSERVA KG","12,97","","","","","","4,00"
"ALFACE ROXA 1UN","11,97","","","","","","2,97"
"ACELGA UN 1UN","7,99","","","","","","1,45"
"RUCULA 1UN","7,98","","","","","","1,98"
"TOMATE CEREJA BDJ 300G 1UN","4,99","","","","","","1,53"
"PEPINO JAPONES KG","4,79","","","","","","2,24"
"BATATA SALSA BDJ 500GR","","1","5,45","","","","-5,45"
"MORGOTE KG","","3,404","21,38","","","","-21,38"
"MELAO AMARELO KG","","","","","","",""
"TAMARA TUNISIA 200GR","","1","3,78","","","","-3,78"
"ALFACE LISA 1UN","","","","","","",""
,"4.127,64",,"182,38",,"139,32","0,00","918,41"
