"Nm.Produto","Vl.Venda","Qt.Quebra","Vl.Quebra","Qt.Desvio","Vl.Desvio","Vl.Devolução","Vl.Rentab.Final"
"BATATA KG","826,81","10,320","66,54","1,885","12,23","","-21,78"
"MARACUJA KG","11,72","2,050","15,48","0,920","6,95","","-15,92"
"CEBOLA KG","108,46","0,090","0,31","1,981","6,85","","38,67"
"MANGA KG","103,83","2,100","11,48","0,825","4,51","","16,76"
"PINHAO KG","30,16","","","0,555","4,44","","7,90"
"PERA KG","35,02","5,035","19,03","1","3,78","","-6,73"
"BANANA PRATA KG","","8,750","40,86","0,755","3,53","","-44,39"
"CAQUI KG","79,70","6,815","28,22","0,805","3,33","","6,84"
"PIMENTAO VERDE KG","24,10","0,459","3,18","0,478","3,30","","0,80"
"ABOBRINHA KG","20,84","6,235","23,50","0,860","3,24","","-19,02"
"PONKAN KG","31,56","1,819","3,80","1,277","2,67","","11,88"
"MACA GALA/FUJI KG","135,43","2,320","10,34","0,480","2,14","","56,07"
"KIWI KG","37,58","0,685","6,16","0,200","1,80","","-1,12"
"BETERRABA KG","20,16","1,205","5,53","0,375","1,72","","-0,33"
"BANANA CATURRA KG","657,97","2,080","4,19","0,450","0,99","","262,84"
"LARANJA PERA KG","20,46","2,290","6,32","0,307","0,85","","1,97"
"CEBOLA CONSERVA KG","15,55","0,540","1,86","0,025","0,09","","2,85"
"OVOS VERMELHOS NEGOSEK GRANDE 20UN","724,47","","","","","","61,97"
"TOMATE KG","411,72","9,029","64,26","","","","31,48"
"ALFACE CRESPA 1UN","100,72","","","","","","16,72"
"OVOS VERMELHOS NEGOSEK 12UN","83,93","","","","","","20,93"
"REPOLHO 1UN","82,48","","","","","","20,50"
"CENOURA BDJ 500GR","63,84","","","","","","27,03"
"ALHO KG","60,40","","","","","","26,82"
"BATATA DOCE ROXA KG","53,46","","","","","","23,38"
"OVOS VERMELHOS NEGOSEK 6UN","45,43","","","","","","12,18"
"MAMAO KG","43,47","0,966","3,43","","","","12,75"
"ALHO PRISA FIGURA 150GR","35,96","","","","","","12,40"
"CEBOLA REDE PRISA 1KG","31,96","","","","","","11,56"
"COUVE FLOR 1UN","21,97","","","","","","-0,02"
"PEPINO KG","21,18","2,810","14,98","","","","-5,21"
"CEBOLINHA VERDE 1UN","17,91","","","","","","8,91"
"SALSINHA VERDE 1UN","17,91","","","","","","8,91"
"LIMAO KG","17,76","1,070","2,72","","","","5,93"
"UVA THOMPSON 500GR","16,98","","","","","","0,98"
"MORANGO BDJ 200GR","14,99","6","73,02","","","","-70,20"
"UVA ISIS BDJ 500GR","12,99","","","","","","4,85"
"ALFACE ROXA 1UN","11,97","","","","","","2,97"
"BATATA SALSA BDJ 500GR","7,99","","","","","","3,63"
"MILHO VERDE BDJ 1UN","5,99","1","3,60","","","5,99","-1,21"
"ALFACE AMERICANA 1UN","4,99","","","","","","1,99"
"LARANJA BAHIA KG","","1,170","4,42","","","","-4,42"
"MELAO AMARELO KG","","1,795","8,76","","","","-8,76"
"ABACAXI PEROLA 1UN","","","","","","",""
,"4.069,82",,"421,99",,"62,42","5,99","523,36"
